城市,最高景点评分_加权得分,常住人口(万人)_加权得分,城镇化率(%)_加权得分,PM2.5浓度_加权得分,空气质量优良天数比例(%)_加权得分,污水处理率(%)_加权得分,垃圾处理率(%)_加权得分,图书馆藏书量(万册)_加权得分,博物馆数量_加权得分,公共交通客运总量(万人次)_加权得分,客运量(万人次)_加权得分,地区生产总值(亿元)_加权得分,人均地区生产总值(元)_加权得分,综合得分
北京,0.3327482474650192,0.054879582618791715,0.0002726929293536573,0.007496963423794525,0.0002708996472352236,0.0057053462999187505,0.010175376934152148,0.06325832159994724,0.12977229849935973,0.12977229849935973,0.004905030977924976,0.03310035400380607,0.052328013115114896,0.8246854260137777
上海,0.3327482474650192,0.0625200795513802,0.0002798940234716302,0.00899635610855343,0.000320840180318325,0.0056890790499717825,0.010175376934152148,0.06488614924967989,0.09458958646175553,0.11256522863210666,0.0012052699816225327,0.03572898307199369,0.0493650247833273,0.7790701154933523
成都,0.3327482474650192,0.053711931924774865,0.0002410857318178839,0.0048730262254664414,0.0002853269123481195,0.0054008474805410656,0.010175376934152148,0.016348711347555334,0.11016226228167869,0.07701191551574149,0.06488614924967988,0.016615550657155823,0.023579186760599623,0.7160396184865305
重庆,0.3327482474650192,0.08039021191198582,0.00020301048567315281,0.005622722567845895,0.00032564926868929023,0.0059951543867826,0.010175376934152148,0.022695673962618703,0.06056040596636787,0.09682434963408149,0.003509344747820682,0.02275079218675161,0.020808623407665327,0.6626095629254538
广州,0.3327482474650192,0.047188318264724236,0.00026807905467926747,0.010870596964502061,0.00033082828693494523,0.0059190296819381805,0.010175376934152148,0.02625654694640888,0.04095036974868685,0.10693682664857267,0.0015756085971567004,0.02291042553097353,0.04085259508609102,0.6469828492098397
深圳,0.3327482474650192,0.044548412347816584,0.00032430795725313984,0.012744837820450692,0.0003582030976619787,0.0056890790499717825,0.010175376934152148,0.05055657027535063,0.034605946266495935,0.06419404812759426,0.0010827777656653276,0.02614110035451238,0.05082899877367736,0.6339979062356214
杭州,0.3327482474650192,0.031171196788101863,0.00025704025171997965,0.007871811594984252,0.0003086324944535669,0.005749418497460257,0.010175376934152148,0.02477741509160373,0.04960185631531083,0.04520056324696328,0.0009154480563281483,0.015083070552625394,0.040702634261521695,0.5645627115502443
武汉,0.3327482474650192,0.03434416063053894,0.000259584350839503,0.005247874396656168,0.00028939614096970556,0.005785477568176037,0.010175376934152148,0.008248703571241418,0.05306245094196042,0.04806782259180268,0.00012783455559396817,0.015047343089870964,0.036052957843489,0.5494572300803102
南京,0.3327482474650192,0.023632234698471363,0.0002699763489378951,0.008621507937363704,0.00029938424758632593,0.006065937007076536,0.010175376934152148,0.020770454723031045,0.042680667062011644,0.03944355624869752,0.001346460386308408,0.013077771685685278,0.04720172853186681,0.5463333032762078
西安,0.3327482474650192,0.03259268458951367,0.00023841227172618137,0.0014993926847589052,0.0002386417621622869,0.005661274102377243,0.010175376934152148,0.00745044193531483,0.07670984755739929,0.04683073136630457,0.0007656717486546184,0.008965312675015819,0.020212640487050206,0.544088675579449
青岛,0.3194383175664184,0.025713698979110085,0.00023159926052474593,0.008621507937363704,0.0002882863513456367,0.005877628526671916,0.010175376934152148,0.007685224769410886,0.07786337909961584,0.031379857847765605,0.00047947498239946573,0.011815147948768093,0.038043427956534925,0.5376129281600814
苏州,0.3327482474650192,0.03228808006063971,0.0002497097966298275,0.008621507937363704,0.00029605487871411907,0.005251269113127466,0.010175376934152148,0.022265238766775934,0.027107991242088476,0.02340400440225157,0.002608206529805291,0.01857523999717539,0.04945559518232461,0.5330465223060673
宁波,0.3327482474650192,0.02401299035956381,0.0002382829107540022,0.01124544513569179,0.0003430359727997034,0.005860266751882836,0.010175376934152148,0.011394793548128564,0.04441096437533645,0.016477605357463072,0.0004065902059264869,0.01234193798470043,0.04344469021018143,0.5131002272115999
天津,0.3327482474650192,0.03401417239092548,0.0002626027735236832,0.004123329883086989,0.00024352483650819017,0.00582554320230468,0.010175376934152148,0.01900958346731063,0.029991820097629802,0.02438575962400173,0.0015347778585042987,0.012557823078791025,0.029306502450636457,0.5041790640623943
济南,0.3327482474650192,0.0233530138803369,0.00021857692265871105,0.005247874396656168,0.00022798778177122528,0.005849582582781866,0.010175376934152148,0.008428703744048395,0.0536392167130687,0.017008188888187024,0.00044684855104637836,0.009532391126394639,0.03304661450103382,0.49992262348715516
哈尔滨,0.3327482474650192,0.024216060045479784,0.00020365729053404858,0.005997570739035621,0.000310482143827015,0.005537070636578451,0.010175376934152148,0.05197309337439683,0.039220072435362054,0.014441944923912878,0.0004298675429152393,0.004073690912786991,0.00975190787892413,0.4990790423229243
无锡,0.3327482474650192,0.018428573996874552,0.0002532025428786647,0.00899635610855343,0.0003016038268344637,0.005769451314524581,0.010175376934152148,0.008201747004422208,0.03633624357982073,0.0084352239990459,0.0012760559818096406,0.011584059679037315,0.054109725882275216,0.49661586831524795
福州,0.3327482474650192,0.020890793938605726,0.00021266943826252964,0.012369989649260968,0.00035931288728604756,0.005585149397532824,0.010175376934152148,0.011003488824635138,0.023647396615438885,0.017260948106576055,0.0006384095865931605,0.009662378278118203,0.03824297978645688,0.4827971409079378
大连,0.3327482474650192,0.018530108839832537,0.00025156397056439546,0.008621507937363704,0.00031973039069425614,0.005824207681167058,0.010175376934152148,0.022077412499499093,0.016726207362139697,0.027619859502666166,0.0008120356247879532,0.0064887153632300345,0.027466884018543428,0.4776618575896596
