Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
1-1城市行政区划和区域分布,,,,,,
,,,,,,
Administrative Division and Regional Distribution of Cities,,,,,,
,,,,,,
地区,Region,城市合计 Total,按行政级别分组 Grouped by Administrative Levels,,,
,,,直辖市 Municipality Directly under the Central Government,副省级市 Vice-provincial City,地级市 Prefecture-level City,县级市 County-level City
全国总计,National Total,694,4,15,278,397
北京,Beijing,1,1,,,
天津,Tianjin,1,1,,,
河北,Hebei,32,,,11,21
山西,Shanxi,22,,,11,11
内蒙古,Inner Mongolia,20,,,9,11
辽宁,Liaoning,30,,2,12,16
吉林,Jilin,28,,1,7,20
黑龙江,Heilongjiang,33,,1,11,21
上海,Shanghai,1,1,,,
江苏,Jiangsu,34,,1,12,21
浙江,Zhejiang,31,,2,9,20
安徽,Anhui,25,,,16,9
福建,Fujian,20,,1,8,11
江西,Jiangxi,23,,,11,12
山东,Shandong,42,,2,14,26
河南,Henan,38,,,17,21
湖北,Hubei,38,,1,11,26
湖南,Hunan,32,,,13,19
广东,Guangdong,41,,2,19,20
广西,Guangxi,24,,,14,10
海南,Hainan,9,,,4,5
重庆,Chongqing,1,1,,,
四川,Sichuan,37,,1,17,19
贵州,Guizhou,16,,,6,10
云南,Yunnan,26,,,8,18
西藏,Xizang,8,,,6,2
陕西,Shaanxi,17,,1,9,7
甘肃,Gansu,17,,,12,5
青海,Qinghai,7,,,2,5
宁夏,Ningxia,7,,,5,2
新疆,Xinjiang,33,,,4,29
