Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
1-2分地区城市情况一览表,,,,,
,,,,,
List of City's Basic Conditions by Region,,,,,
,,,,,
省级单位,地级及以上城市,下辖的县级城市,省级单位,地级及以上城市,下辖的县级城市
,City at Prefecture,County-level City,,City at Prefecture,County-level City
Province,Level and above,,Province,Level and above,
北京,,,,,汾 阳 Fenyang
Beijing,,,内蒙古,呼和浩特Hohhot,
天津,,,Inner Mongolia,,
Tianjin,,,,包 头 Baotou,
河北,石家庄 Shij iazhuang,辛集 Xinji,,乌 海 Wuhai,
Hebei,,晋州 Jinzhou,,赤 峰 Chifeng,
,,新乐 Xinle,,通 辽 Tongliao,霍林郭勒Huolinguole
,唐 山 Tangshan,遵化 Zunhua,,呼伦贝尔Hulunbuir,满洲里Manzhouli
,,迁安 Qian'an,,,扎兰屯 Zhalantun
,,滦州 Luanzhou,,,牙克石 Yakeshi
,秦皇岛 Qinhuangdao,,,,根 河Genhe
,邯郸 Handan,武安 Wuan,,,额尔古纳 Eerguna
,邢台 Xingtai,南宫 Nangong,,鄂尔多斯 Erdos,
,,沙河 Shahe,,乌兰察布 Ulanqab,丰 镇 Fengzhen
,保定 Baoding,定州 Dingzhou,,巴彦淖尔 Bayannur,
,,涿州 Zhuozhou,,,（二连浩特）Erlianhaote
,,安国 Anguo,,,（乌兰浩特）Wulanhaote
,,高碑店 Gaobeidian,,,（锡林浩特）Xilinhaote
,张家口 Zhangj iakou,,,,（阿尔 ill） Aershan
,承德 Chengde,平泉 Pingquan,,沈 阳 Shenyang,新 民 Xinmin
,沧州 Cangzhou,任 丘 Renqiu,辽 宁,大 连 Dalian,瓦房店 Wafangdian
,,泊头 Botou,Liaoning,,庄 河 Zhuanghe
,,黄骅 Huanghua,,鞍 山 Anshan,海 城 Haicheng
,,河间 Hejian,,抚 顺Fushun,
,廊坊 Langfang,霸州 Bazhou,,本 溪 Benxi,
,,三河 Sanhe,,丹 东 Dandong,东 港 Donggang
,衡水 Hengshui,深州 Shenzhou,,,凤 城 Fengcheng
山西,太原 Taiyuan,古 交 Gujiao,,锦 州 Jinzhou,凌 海 Linghai
Shanxi,大同 Datong,,,,北 镇 Beizhen
,阳 泉 Yangquan,,,营 口 Yingkou,大石桥 Dashiqiao
,长治 Changzhi,潞城 Lucheng,,,盖    州I Gaizhou
,晋城 Jincheng,高 平 Gaoping,,阜 新 Fuxin,
,朔州 Shuozhou,,,辽    阳 Liaoyang,灯 塔Dengta
,晋 中 Jinzhong,介休 Jiexiu,,盘 锦 Panjin,
,忻州 Xinzhou,原平 Yuanping,,铁 岭Tiding,调兵山 Diaobingshan
,临汾 Linfbn,侯马 Houma,,,开 原 Kaiyuan
,,霍州 Huozhou,,朝   阳 Chaoyang,北 票 Beipiao
,运城 Yuncheng,永济 Yongji,,,凌 源 Lingyuan
,,河津 Hejin,,,
,吕梁 Lvliang,孝义 Xiaoyi,,,
,,,,,
注：加括号的城市为省（自治区）直辖县级市，或地区（自治州、盟）管辖的县级市。,,,,,
