Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
1-2 续表 1 continued,,,,,
,,,,,
省级单位,地级及以上城市,下辖的县级城市,省级单位,地级及以上城市,下辖的县级城市
Province,City at Prefecture,County-level City,Province,City at Prefecture,County-level City
,Level and above,,,Level and above,
,葫芦岛Huludao,兴城 Xingcheng,,黑河 Heihe,北 安 Beian
吉林,长 春 Changchun,榆树 Yushu,,,五大连池 Wudalianchi
Jilin,,德惠 Dehui,,,嫩 江 Nenjiang
,,公主岭 Gongzhuling,,绥化 Suihua,安 达 Anda
,吉 林Jilin,桦甸 Huadian,,,肇 东 Zhaodong
,,蛟河 Jiaohe,,,海 伦 Hailun
,,舒兰 Shulan,,,（漠 河）Mohe
,,磐石 Panshi,上海,,
,四 平Siping,双 辽 Shuangliao,Shanghai,,
,辽 源 Liaoyuan,,江苏,南京 Nanjing,
,通 化 Tonghua,梅河口 Meihekou,Jiangsu,无锡 Wuxi,江 阴 Jiangyin
,,集安 Ji'an,,,宜 兴Yixing
,白    山 Baishan,临江 Linjiang,,徐州 Xuzhou,新 沂Xinyi
,白 城 Baicheng,洮南 Taonan,,,邳 州 Pizhou
,,大安 Daan,,常州 Changzhou,溧 阳Liyang
,松 原 Songyuan,扶余 Fuyu,,苏州 Suzhou,常 熟 Changshu
,,（延吉）Yanji,,,张家港 Zhangjiagang
,,（图们）Tumen,,,昆    山 Kunshan
,,（敦化）Dunhua,,,太 仓 Taicang
,,（浑春）Hunchun,,南通 Nantong,启 东 Qidong
,,（龙 井）Longjing,,,如 皋 Rugao
,,（和龙）Helong,,,海 安 Haian
黑龙江,哈尔滨Harbin,尚 志 Shangzhi,,连云港 Lianyungang,
Heilongjiang,,五常 Wuchang,,淮安 Huaian,
,齐齐哈尔Qiqihar,讷河 Nehe,,盐城 Yancheng,东 台 Dongtai
,鸡 西Jixi,密山 Mishan,,扬州 Yangzhou,仪 征 Yizheng
,,虎林 Hulin,,,高 邮 Gaoyou
,鹤 岗Hegang,,,镇江 Zhenjiang,丹 阳 Danyang
,双鸭山 Shuangyashan,,,,扬 中 Yangzhong
,大 庆Daqing,,,,句 容 Jurong
,伊 春Yichun,铁力 Tieli,,泰州 Taizhou,兴 化 Xinghua
,佳木斯Jiamusi,同 江 Tongjiang,,,泰 兴 Taixing
,,富锦 Fujin,,,靖 江 Jingjiang
,,抚 远 Fuyuan,,宿 迁 Suqian,
,七台河Qitaihe,,浙江,杭 州 Hangzhou,建 德 Jiande
,牡丹江 Mudanjiang,绥芬河 Suifenhe,Zhejiang,宁波 Ningbo,余 姚 Yuyao
,,海林 Hailin,,,慈 溪Cixi
,,宁安 Ning'an,,温州 Wenzhou,瑞 安 Ruian
,,穆棱 Muling,,,乐 清 Leqing
,,东宁 Dongning,,,龙 港 Longgang
,,,,嘉兴 Jiaxing,海 宁 Haining
,,,,,平 湖 Pinghu
