Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
1—2 续表 4 continued,,,,,
,,,,,
,,,,,
省级单位,地级及以上城市,下辖的县级城市,省级单位,地级及以上城市,下辖的县级城市
Province,City at Prefecture,County-level City,Province,City at Prefecture,County-level City
,Level and above,,,Level and above,
广东,广 州 Guangzhou,,,崇 左 Chongzuo,凭祥 Pingxiang
Guangdong,韶 关 Shaoguan,乐 昌 Lechang,,贺州 Hezhou,
,,南雄 Nanxiong,,河池 Hechi,
,深圳 Shenzhen,,海南,海 口 Haikou,
,珠海 Zhuhai,,Hainan,三 亚 Sanya,
,汕头 Shantou,,,三 沙 Sansha,
,佛山 Foshan,,,儋州 Danzhou,
,江 门 Jiangmen,台山 Taishan,,,（五指山）Wuzhishan
,,鹤山 Heshan,,,（琼海）Qionghai
,,开平 Kaiping,,,（文昌）Wenchang
,,恩平 Enping,,,（万宁）Wanning
,湛 江 Zhanjiang,廉江 Lianjiang,,,（东方）Dongfang
,,雷州 Leizhou,重庆,,
,,吴川 Wuchuan,Chongqing,,
,惠州 Huizhou,,四川,成都 Chengdu,都江堰 Dujiangyan
,茂名 Maoming,高州 Gaozhou,Sichuan,,彭州 Pengzhou
,,化州 Huazhou,,,邛崃 Qionglai
,,信宜 Xinyi,,,崇州 Chongzhou
,肇 庆 Zhaoqing,四会 Sihui,,,简 阳 Jianyang
,潮州 Chaozhou,,,自 贡 Zigong,
,梅州 Meizhou,兴宁 Xingning,,攀枝花 Panzhihua,
,中 山 Zhongshan,,,泸州   Luzhou,
,东莞 Dongguan,,,德阳 Deyang,广 汉 Guanghan
,汕尾 Shanwei,陆 丰 Lufeng,,,什邡 Shifang
,河源 Heyuan,,,,绵竹 Mianzhu
,阳 江 Yangjiang,阳 春 Yangchun,,绵阳 Mianyang,江油 Jiangyou
,清远 Qingyuan,连 州 Lianzhou,,广 元 Guangyuan,
,,英德 Yingde,,遂 宁 Suining,射洪 Shehong
,揭 阳 Jieyang,普宁 Puning,,内江 Neijiang,隆 昌 Longchang
,云浮 Yunfii,罗定 Luoding,,资阳 Ziyang,
广西,南宁 Nanning,横州 Hengzhou,,乐 山 Leshan,峨嵋山 Emeishan
Guangxi,柳州 Liuzhou,,,宜宾 Yibin,
,桂林 Guilin,荔浦 Lipu,,南充 Nanchong,阆中 Langzhong
,梧州 Wuzhou,岑溪 Cenxi,,达州 Dazhou,万源 Wanyuan
,北海 Beihai,,,广 安 Guang*an,华蓥 Huaying
,防城港 Fangchenggang,东兴 Dongxing,,雅安 Yaan,
,钦州 Qinzhou,,,眉 山 Meishan,
,玉林 Yulin,北流 Beiliu,,巴中   B azhong,
,贵港 Guigang,桂 平 Guiping,,,（康定）Kangding
,百色 Baise,靖西 Jingxi,,,（马尔康）Maerkang
,,平果 Pingguo,,,（西昌）Xichang
,来宾 Laibin,合山 Heshan,,,（会理）Huili
