Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
2-11商品房销售面积,,,,,,,
,,,,,,,
Sales Area of Commercial Residential Building,,,,,,,
,,,,,,,
单位：万平方米,,,,,,,
,,,,,,,
(10 000 sq.m),,,,,,,
,,,,,,,
城 市,City,商品房销售面积,,,,待售面积 Area for Sale,
,,Sales Area of Commercial Residential Building,,住宅 Residential Buildings,,,
,,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City
北京市,Beijing,1132,1132,818,818,2993,2993
天津市,Tianjin,1179,1179,1110,1110,1301,1301
河北省,Hebei,,,,,,
  石家庄市,  Shijiazhuang,588,309,567,294,166,73
  唐山市,  Tangshan,369,218,343,200,124,76
  秦皇岛市,  Qinhuangdao,100,69,88,59,107,64
  邯郸市,  Handan,638,331,617,325,78,61
  邢台市,  Xingtai,,,,,,
  保定市,  Baoding,544,190,510,185,192,42
  张家口市,  Zhangjiakou,215,101,210,100,172,81
  承德市,  Chengde,,,,,,
  沧州市,  Cangzhou,406,87,391,81,74,2
  廊坊市,  Langfang,394,80,347,75,103,22
  衡水市,  Hengshui,,,,,,
山西省,Shanxi,,,,,,
  太原市,  Taiyuan,528,483,506,465,65,53
  大同市,  Datong,213,173,208,169,84,60
  阳泉市,  Yangquan,59,38,56,36,43,28
  长治市,  Changzhi,275,161,250,138,98,49
  晋城市,  Jincheng,165,69,153,68,33,12
  朔州市,  Shuozhou,44,12,44,12,143,18
  晋中市,  Jinzhong,231,114,216,102,62,99
  运城市,  Yuncheng,345,105,341,103,128,44
  忻州市,  Xinzhou,107,63,104,62,51,38
  临汾市,  Linfen,250,127,241,121,65,34
  吕梁市,  Lvliang,137,27,136,27,32,
内蒙古自治区,Inner Mongolia,,,,,,
  呼和浩特市,  Hohhot,178,142,172,137,122,71
  包头市,  Baotou,232,214,200,183,56,45
  乌海市,  Wuhai,36,36,34,34,20,20
  赤峰市,  Chifeng,199,103,179,90,163,89
  通辽市,  Tongliao,182,30,169,27,144,27
  鄂尔多斯市,  Erdos,264,131,255,97,78,30
  呼伦贝尔市,  Hulunbuir,131,35,117,31,203,58
  巴彦淖尔市,  Bayannur,45,32,42,29,45,31
  乌兰察布市,  Ulanqab,63,26,60,24,106,49
辽宁省,Liaoning,,,,,,
  沈阳市,  Shenyang,534,508,466,442,506,470
  大连市,  Dalian,310,266,267,227,604,431
  鞍山市,  Anshan,193,81,179,77,269,108
  抚顺市,  Fushun,69,61,62,56,128,110
  本溪市,  Benxi,43,27,41,27,59,37
  丹东市,  Dandong,93,32,86,31,314,126
  锦州市,  Jinzhou,110,67,101,61,133,80
  营口市,  Yingkou,181,135,160,123,181,121
  阜新市,  Fuxin,48,33,44,30,234,146
  辽阳市,  Liaoyang,69,42,66,40,72,45
  盘锦市,  Panjin,127,126,114,113,117,116
  铁岭市,  Tieling,64,21,60,20,202,13
  朝阳市,  Chaoyang,121,39,116,38,189,49
  葫芦岛市,  Huludao,111,37,104,36,211,110
吉林省,Jilin,,,,,,
  长春市,  Changchun,572,457,538,427,646,447
  吉林市,  Jilin,107,61,104,60,122,53
  四平市,  Siping,64,43,54,35,51,28
  辽源市,  Liaoyuan,35,28,31,24,40,27
  通化市,  Tonghua,38,23,35,21,100,49
  白山市,  Baishan,17,9,15,9,76,49
  松原市,  Songyuan,94,35,86,33,68,40
  白城市,  Baicheng,20,11,19,7,62,41
黑龙江省,Heilongjiang,,,,,,
  哈尔滨市,  Harbin,389,330,343,287,650,568
  齐齐哈尔市,  Qiqihar,79,37,73,34,153,90
  鸡西市,  Jixi,30,10,27,8,70,21
  鹤岗市,  Hegang,10,6,9,5,34,16
  双鸭山市,  Shuangyashan,14,3,13,3,51,11
  大庆市,  Daqing,75,62,67,55,103,82
  伊春市,  Yichun,15,6,14,5,27,4
  佳木斯市,  Jiamusi,61,37,58,35,92,34
  七台河市,  Qitaihe,12,11,11,10,40,29
  牡丹江市,  Mudanjiang,52,28,45,24,130,53
  黑河市,  Heihe,35,15,33,14,39,12
  绥化市,  Suihua,79,20,75,19,156,17
上海市,Shanghai,1808,1808,1454,1454,2920,2920
江苏省,Jiangsu,,,,,,
  南京市,  Nanjing,906,906,797,797,475,475
  无锡市,  Wuxi,1082,732,793,515,188,53
  徐州市,  Xuzhou,1181,607,1090,560,139,64
  常州市,  Changzhou,619,538,475,403,510,469
  苏州市,  Suzhou,1704,898,1516,823,1075,577
  南通市,  Nantong,1264,608,971,425,381,280
  连云港市,  Lianyungang,341,182,302,164,205,121
  淮安市,  Huai'an,678,263,595,233,79,33
  盐城市,  Yancheng,863,383,717,314,358,226
  扬州市,  Yangzhou,632,436,516,340,255,102
  镇江市,  Zhenjiang,507,169,417,118,277,95
  泰州市,  Taizhou,569,288,440,223,42,34
  宿迁市,  Suqian,688,228,457,175,251,148
浙江省,Zhejiang,,,,,,
  杭州市,  Hangzhou,1448,1395,1202,1154,551,429
  宁波市,  Ningbo,902,559,731,456,619,375
  温州市,  Wenzhou,706,331,629,291,307,191
  嘉兴市,  Jiaxing,435,173,398,160,148,36
  湖州市,  Huzhou,377,194,309,156,231,127
  绍兴市,  Shaoxing,716,454,532,359,115,61
  金华市,  Jinhua,508,168,472,166,197,20
  衢州市,  Quzhou,94,39,81,32,83,32
  舟山市,  Zhoushan,84,75,71,63,79,52
  台州市,  Taizhou,576,251,456,199,239,115
  丽水市,  Lishui,261,120,230,105,156,101
安徽省,Anhui,,,,,,
  合肥市,  Hefei,1109,713,937,604,548,384
