Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2-14规模以上工业企业资产及利润状况,,,,,
,,,,,
Assets and Profits of Industrial Enterprises above Designated Size,,,,,
,,,,,
单位：万元,,,,,
,,,,,
(10 000 yuan),,,,,
,,,,,
城 市,City,规模以上工业资产总计 Total Industrial Assets Above Designated Size,,规模以上工业利润总额 Total ProfitsAssets Above Designated Size,
,,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City
北京市,Beijing,729939536,729939536,16840812,16840812
天津市,Tianjin,268418640,268418640,15010822,15010822
河北省,Hebei,,,,
  石家庄市,  Shijiazhuang,90602290,45407577,2959102,2057383
  唐山市,  Tangshan,151694802,87252528,1064177,784087
  秦皇岛市,  Qinhuangdao,29053618,20426678,1063047,875417
  邯郸市,  Handan,81932351,32760191,659077,538409
  邢台市,  Xingtai,44332678,18745805,1014361,517014
  保定市,  Baoding,65594160,38592700,964905,241116
  张家口市,  Zhangjiakou,39227296,23791209,891664,303125
  承德市,  Chengde,28489231,8741986,975145,22109
  沧州市,  Cangzhou,51744545,7865278,1022303,58652
  廊坊市,  Langfang,32940048,9228156,451773,357925
  衡水市,  Hengshui,19788631,9057522,594230,398640
山西省,Shanxi,,,,
  太原市,  Taiyuan,78937407,62182870,2471141,2266143
  大同市,  Datong,62822636,50546112,1391484,891206
  阳泉市,  Yangquan,32439671,24670279,529768,444759
  长治市,  Changzhi,76059335,27693321,4774897,1317746
  晋城市,  Jincheng,62472209,3547530,2755145,-5435
  朔州市,  Shuozhou,36436627,19815890,2640581,1532480
  晋中市,  Jinzhong,44997832,22914431,804099,-38945
  运城市,  Yuncheng,36378722,2096026,1357274,1959
  忻州市,  Xinzhou,32537105,2474833,2132263,30994
  临汾市,  Linfen,48446385,3897941,2591245,396030
  吕梁市,  Lvliang,73426110,6785789,6742583,757279
内蒙古自治区,Inner Mongolia,,,,
  呼和浩特市,  Hohhot,48403477,11421170,3062988,873183
  包头市,  Baotou,69480737,58514027,3112831,2533170
  乌海市,  Wuhai,25294795,25294795,-91581,-91581
  赤峰市,  Chifeng,24584959,10353296,371455,837
  通辽市,  Tongliao,22108746,2539521,1158056,141511
  鄂尔多斯市,  Erdos,151848520,18618587,17697498,2447486
  呼伦贝尔市,  Hulunbuir,14839448,2632031,1418453,181263
  巴彦淖尔市,  Bayannur,17461892,4555959,1004856,418404
  乌兰察布市,  Ulanqab,20399760,2449433,481349,-3850
辽宁省,Liaoning,,,,
  沈阳市,  Shenyang,,,,
  大连市,  Dalian,102188297,65866080,5202865,4186482
  鞍山市,  Anshan,47286150,36590702,966306,786327
  抚顺市,  Fushun,11724538,10639972,268000,197258
  本溪市,  Benxi,33174335,31448722,240651,160703
  丹东市,  Dandong,8468374,4345028,306822,126306
  锦州市,  Jinzhou,10478845,6965978,418300,360264
  营口市,  Yingkou,32909732,24695881,59593,-63147
  阜新市,  Fuxin,7738115,4011885,232469,69895
  辽阳市,  Liaoyang,26350494,16784460,-33284,77155
  盘锦市,  Panjin,38215000,30065000,-726000,-275000
  铁岭市,  Tieling,10401640,1805969,141055,8329
  朝阳市,  Chaoyang,11999009,3355522,198571,60993
  葫芦岛市,  Huludao,7630461,3880532,330002,187190
吉林省,Jilin,,,,
  长春市,  Changchun,117819896,107254983,7257044,7139405
  吉林市,  Jilin,26347576,19709712,-75840,-196077
  四平市,  Siping,4436848,2339869,90712,61404
  辽源市,  Liaoyuan,5806684,3154146,-139616,-71778
  通化市,  Tonghua,10422787,5378452,-85441,-211668
  白山市,  Baishan,5055370,3074977,209336,69298
  松原市,  Songyuan,11424020,6530821,-68062,-137778
  白城市,  Baicheng,8937304,1916135,383125,95997
黑龙江省,Heilongjiang,,,,
  哈尔滨市,  Harbin,50920930,44159397,962168,787281
  齐齐哈尔市,  Qiqihar,19904665,11074727,225831,-82706
  鸡西市,  Jixi,8483356,4885243,98418,27691
  鹤岗市,  Hegang,5494480,3921115,86461,51585
  双鸭山市,  Shuangyashan,7162393,4539493,144797,112018
  大庆市,  Daqing,61433568,12189866,2350056,-117111
  伊春市,  Yichun,2993078,1860099,378804,32306
  佳木斯市,  Jiamusi,6367783,2962599,67233,50406
  七台河市,  Qitaihe,7395263,6564536,-503071,-338329
  牡丹江市,  Mudanjiang,5336812,2541054,68222,56991
  黑河市,  Heihe,4026583,755674,534192,32903
  绥化市,  Suihua,10240904,1378418,-17585,4600
上海市,Shanghai,585589694,585589694,25194929,25194929
江苏省,Jiangsu,,,,
  南京市,  Nanjing,187644972,187644972,7866062,7866062
  无锡市,  Wuxi,253736992,135429085,16662208,8882504
  徐州市,  Xuzhou,77576273,48097549,3484101,2355451
  常州市,  Changzhou,199119405,168677239,11086522,8858265
  苏州市,  Suzhou,482791607,219208300,22859474,11899570
  南通市,  Nantong,160639037,75303040,7696702,3331589
  连云港市,  Lianyungang,67068295,57346520,3530099,2732743
  淮安市,  Huai'an,41208904,23414380,2205953,1140342
  盐城市,  Yancheng,88818239,40673189,3833072,621563
  扬州市,  Yangzhou,71485300,42287900,2871500,1500700
  镇江市,  Zhenjiang,68516038,27743964,2827447,1003282
  泰州市,  Taizhou,81600121,35394739,4425885,1548877
  宿迁市,  Suqian,49399262,26674662,4091903,2173292
浙江省,Zhejiang,,,,
  杭州市,  Hangzhou,273207310,255937023,14260535,13077085
  宁波市,  Ningbo,280887771,172426706,13751688,8682243
