Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2-15规模以上服务业营业收入及增速,,,,,
Operating Receipt of the Service Industry and Its Growth,,,,,
Rate Above the Designated Size,,,,,
,,,,,
城 市,City,规模以上服务业营业收入(万元) Operating Receipt of the Service Industry Above the Designated Size (10 000 yuan),,规模以上服务业营业收入增速(%) Growth Rate of the Service Industry Operating Receipt Above Designated Size (%),
,,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City
北京市,Beijing,1732020894,1732020894,2.0,2.0
天津市,Tianjin,109287611,109287611,,
河北省,Hebei,,,,
  石家庄市,  Shijiazhuang,17856406,15767079,4.4,3.2
  唐山市,  Tangshan,10204591,8962566,0.3,1.7
  秦皇岛市,  Qinhuangdao,2187788,2047326,4.6,4.9
  邯郸市,  Handan,2170803,1681938,0.8,3.7
  邢台市,  Xingtai,1206579,837628,0.4,1.2
  保定市,  Baoding,6494988,3001719,2.0,1.4
  张家口市,  Zhangjiakou,2852455,1469432,2.8,4.4
  承德市,  Chengde,1178572,947818,8.1,7.2
  沧州市,  Cangzhou,4739407,1256273,0.9,6.9
  廊坊市,  Langfang,7514701,6007661,4.0,4.2
  衡水市,  Hengshui,883542,655291,1.1,5.2
山西省,Shanxi,,,,
  太原市,  Taiyuan,25875218,25512664,-0.5,-0.6
  大同市,  Datong,1657029,1100914,4.7,-6.1
  阳泉市,  Yangquan,836319,747759,5.6,4.1
  长治市,  Changzhi,2045778,1058706,7.4,7.1
  晋城市,  Jincheng,1257704,830967,10.6,11.5
  朔州市,  Shuozhou,656181,500391,2.6,8.3
  晋中市,  Jinzhong,3809845,1223125,14.3,13.1
  运城市,  Yuncheng,2297961,966631,-2.0,-1.4
  忻州市,  Xinzhou,1348422,410419,0.8,5.4
  临汾市,  Linfen,1732630,1200880,14.9,16.8
  吕梁市,  Lvliang,1569381,457940,-6.2,-1.6
内蒙古自治区,Inner Mongolia,,,,
  呼和浩特市,  Hohhot,10598361,9021633,16.9,16.6
  包头市,  Baotou,3776118,3652793,1.9,1.8
  乌海市,  Wuhai,832989,832989,-2.9,-2.9
  赤峰市,  Chifeng,859640,776583,-0.6,2.6
  通辽市,  Tongliao,1418520,447559,-0.1,-0.3
  鄂尔多斯市,  Erdos,5648477,2819693,6.7,16.0
  呼伦贝尔市,  Hulunbuir,949448,304432,24.7,2.1
  巴彦淖尔市,  Bayannur,567645,280349,15.5,-2.2
  乌兰察布市,  Ulanqab,1070669,710858,27.3,23.1
辽宁省,Liaoning,,,,
  沈阳市,  Shenyang,22722645,22477427,10.4,10.8
  大连市,  Dalian,18194491,17202139,-5.3,-5.7
  鞍山市,  Anshan,2639728,2319693,2.8,4.9
  抚顺市,  Fushun,752079,732392,4.4,4.1
  本溪市,  Benxi,6341545,582503,13.8,10.5
  丹东市,  Dandong,7676956,619630,5.4,3.4
  锦州市,  Jinzhou,1264354,1172286,-5.5,-5.7
  营口市,  Yingkou,2922685,2737224,-7.8,-7.8
  阜新市,  Fuxin,351484,324404,2.6,8.1
  辽阳市,  Liaoyang,615160,532408,-8.9,-11.6
  盘锦市,  Panjin,1370785,1229317,-2.4,-0.8
  铁岭市,  Tieling,588003,64423,10.2,40.2
  朝阳市,  Chaoyang,800054,563312,-7.9,6.6
  葫芦岛市,  Huludao,570840,388021,1.7,6.9
吉林省,Jilin,,,,
  长春市,  Changchun,11064444,10571573,6.6,6.8
  吉林市,  Jilin,1738648,1279371,8.3,-1.7
  四平市,  Siping,396733,372580,-0.7,-1.4
  辽源市,  Liaoyuan,195078,149348,,-2.1
  通化市,  Tonghua,365627,286867,1.2,-1.6
  白山市,  Baishan,292500,186000,22.4,17.7
  松原市,  Songyuan,465819,358225,8.6,7.5
  白城市,  Baicheng,271214,213719,6.0,11.1
黑龙江省,Heilongjiang,,,,
  哈尔滨市,  Harbin,12583894,12380604,16.0,16.1
  齐齐哈尔市,  Qiqihar,1569957,1058305,-7.6,-7.6
  鸡西市,  Jixi,710797,465986,-20.5,-12.4
  鹤岗市,  Hegang,658963,262275,6.4,5.5
  双鸭山市,  Shuangyashan,310740,252539,-10.5,7.3
  大庆市,  Daqing,1170385,1132259,-10.7,-6.8
  伊春市,  Yichun,106423,101315,4.8,4.2
  佳木斯市,  Jiamusi,897184,303418,-6.1,-7.9
  七台河市,  Qitaihe,239963,153846,19.2,3.3
  牡丹江市,  Mudanjiang,610377,457531,-10.1,-2.1
  黑河市,  Heihe,600259,175781,-15.3,7.0
  绥化市,  Suihua,1009643,397799,-13.7,-26.4
上海市,Shanghai,507288600,507288600,2.6,2.6
江苏省,Jiangsu,,,,
  南京市,  Nanjing,84070888,84070888,7.2,7.2
  无锡市,  Wuxi,20942470,17003894,7.5,8.8
  徐州市,  Xuzhou,11297162,7039290,6.1,7.1
  常州市,  Changzhou,11523179,9711999,11.5,12.7
  苏州市,  Suzhou,54305093,39037439,13.6,15.2
  南通市,  Nantong,11559303,8082062,0.1,2.7
  连云港市,  Lianyungang,7522327,6839687,3.0,2.7
  淮安市,  Huai'an,7629360,6898221,27.8,41.3
  盐城市,  Yancheng,9062967,4451712,5.1,7.4
  扬州市,  Yangzhou,7780614,5489649,11.9,9.4
  镇江市,  Zhenjiang,4773052,3775143,4.5,1.5
  泰州市,  Taizhou,6693573,4050197,4.5,6.0
  宿迁市,  Suqian,8403133,7274174,32.4,36.2
浙江省,Zhejiang,,,,
  杭州市,  Hangzhou,191381351,187247322,9.7,9.8
  宁波市,  Ningbo,51992084,45870204,-6.2,-7.8
  温州市,  Wenzhou,8733863,6614023,3.7,2.4
  嘉兴市,  Jiaxing,13827064,5893183,13.7,16.6
  湖州市,  Huzhou,4292458,2114516,14.8,10.1
  绍兴市,  Shaoxing,5255577,3789614,8.6,3.7
  金华市,  Jinhua,10332315,4249746,5.2,9.7
  衢州市,  Quzhou,2900468,1674506,10.5,10.6
  舟山市,  Zhoushan,4506535,3932229,7.4,10.4
  台州市,  Taizhou,5271193,2925125,7.3,7.9
  丽水市,  Lishui,1447729,903141,23.4,14.0
安徽省,Anhui,,,,
  合肥市,  Hefei,28388822,24190299,9.5,8.6
  芜湖市,  Wuhu,11056080,10847950,15.4,16.3
  蚌埠市,  Bengbu,2241246,1576734,-7.9,-7.1
  淮南市,  Huainan,1251212,1251212,9.3,9.3
  马鞍山市,  Ma'anshan,3033158,2409561,1.3,-1.8
  淮北市,  Huaibei,1107225,1049625,-0.3,0.1
  铜陵市,  Tongling,1751972,1742537,-3.7,-3.8
  安庆市,  Anqing,5629734,4596170,20.2,14.0
  黄山市,  Huangshan,718541,607104,35.2,31.1
  滁州市,  Chuzhou,1748843,1125865,6.1,13.9
  阜阳市,  Fuyang,2123254,1725235,-2.3,4.4
  宿州市,  Suzhou,1701388,1560792,-1.0,0.3
  六安市,  Lu'an,1440850,946301,7.0,4.7
  亳州市,  Bozhou,1157325,892163,0.4,5.8
  池州市,  Chizhou,1365201,1008511,17.2,45.1
  宣城市,  Xuancheng,902444,666127,3.3,7.8
福建省,Fujian,,,,
  福州市,  Fuzhou,33928889,24726542,7.9,10.7
  厦门市,  Xiamen,35346397,35346397,17.7,17.7
  莆田市,  Putian,3362936,1886543,2.9,-5.5
  三明市,  Sanming,1367763,847612,6.2,6.7
  泉州市,  Quanzhou,6713034,4208291,2.6,2.4
  漳州市,  Zhangzhou,2886034,2372772,19.2,18.1
  南平市,  Nanping,1296858,713426,1.4,1.6
  龙岩市,  Longyan,2588208,1728988,5.5,2.5
  宁德市,  Ningde,2096426,1701234,8.7,5.5
江西省,Jiangxi,,,,
  南昌市,  Nanchang,15443438,14061710,10.7,10.8
  景德镇市,  Jingdezhen,1570614,1176250,3.7,9.7
  萍乡市,  Pingxiang,853011,686650,4.4,1.4
  九江市,  Jiujiang,4248166,1898082,5.9,4.0
  新余市,  Xinyu,503343,426632,4.8,4.3
  鹰潭市,  Yingtan,1379525,1068618,4.5,1.6
  赣州市,  Ganzhou,3581195,2400853,1.3,4.4
  吉安市,  Ji'an,2828997,820152,0.6,3.8
  宜春市,  Yichun,3543969,1094645,5.3,1.2
  抚州市,  Fuzhou,3131367,,5.9,
  上饶市,  Shangrao,6642559,4779174,6.4,6.5
山东省,Shandong,,,,
  济南市,  Jinan,42639802,42236608,14.4,14.5
  青岛市,  Qingdao,37530053,34086480,-5.1,-6.9
  淄博市,  Zibo,5887550,5311252,0.4,1.8
  枣庄市,  Zaozhuang,1823529,1435081,5.9,3.9
  东营市,  Dongying,6972147,6468177,8.8,10.4
  烟台市,  Yantai,9003370,7493969,6.6,7.7
  潍坊市,  Weifang,5411384,3614956,6.3,7.6
  济宁市,  Jining,5465577,2833558,10.1,83.0
  泰安市,  Tai'an,3065230,2220942,15.0,17.7
  威海市,  Weihai,2577393,2147801,10.1,10.6
  日照市,  Rizhao,5226014,4784705,6.2,6.6
  临沂市,  Linyi,4904650,3337926,1.9,7.5
  德州市,  Dezhou,3233823,1093806,14.0,15.5
  聊城市,  Liaoeheng,2577903,2004011,-7.9,-4.5
  滨州市,  Binzhou,2400297,1096753,10.0,4.7
  菏泽市,  Heze,3141566,1602413,9.9,10.9
河南省,Henan,,,,
  郑州市,  Zhengzhou,44662652,29483995,19.5,19.6
  开封市,  Kaifeng,1334930,939317,-20.9,1.0
  洛阳市,  Luoyang,5531073,4918318,14.7,13.4
  平顶山市,  Pingdingshan,2706402,549140,-4.9,6.2
  安阳市,  Anyang,1515917,1097791,1.8,1.3
  鹤壁市,  Hebi,614277,479932,2.5,9.8
  新乡市,  Xinxiang,1906097,1045344,-3.5,3.0
  焦作市,  Jiaozuo,1690255,854443,12.9,-0.3
  濮阳市,  Puyang,1772636,1421150,2.0,1.8
  许昌市,  Xuchang,1459384,1200348,-24.8,-8.8
  漯河市,  Luohe,966095,877473,-7.1,-8.7
  三门峡市,  Sanmenxia,740398,582602,-1.9,0.4
  南阳市,  Nanyang,2553364,1577924,0.1,6.8
  商丘市,  Shangqiu,1738623,1261742,-16.7,2.0
  信阳市,  Xinyang,1654138,943605,14.4,8.0
  周口市,  Zhoukou,2402184,1604026,7.8,10.2
  驻马店市,  Zhumadian,1523931,973358,-0.1,-2.4
湖北省,Hubei,,,,
  武汉市,  Wuhan,77001748,77001748,13.2,13.2
  黄石市,  Huangshi,1906558,1463146,16.6,22.8
  十堰市,  Shiyan,1705800,1110911,10.1,1.6
  宜昌市,  Yichang,7827576,4484930,26.2,19.6
  襄阳市,  Xiangyang,4619943,3139903,4.8,4.1
  鄂州市,  Ezhou,593792,593792,10.5,10.5
  荆门市,  Jingmen,1237732,848642,17.3,6.5
  孝感市,  Xiaogan,3547576,1016381,-1.2,11.7
  荆州市,  Jingzhou,2217969,1319800,9.5,-0.5
  黄冈市,  Huanggang,1894927,972588,15.8,3.5
  咸宁市,  Xianning,1779118,626492,39.9,12.8
  随州市,  Suizhou,570704,326522,1.7,3.8
湖南省,Hunan,,,,
  长沙市,  Changsha,30795871,26564156,4.3,6.0
  株洲市,  Zhuzhou,6702577,4989520,10.9,4.3
  湘潭市,  Xiangtan,2116826,1534499,12.6,12.7
  衡阳市,  Hengyang,4039761,2500330,16.1,10.1
  邵阳市,  Shaoyang,2417151,973493,11.8,8.1
  岳阳市,  Yueyang,6107865,3377222,19.1,15.6
  常德市,  Changde,4520873,2558225,7.5,5.0
  张家界市,  Zhangjiajie,699672,666171,96.4,101.4
  益阳市,  Yiyang,894322,774013,5.6,5.5
  郴州市,  Chenzhou,1971058,1395410,18.5,23.7
  永州市,  Yongzhou,1452273,852299,22.4,9.2
  怀化市,  Huaihua,1295795,751485,8.8,10.3
  娄底市,  Loudi,1807474,1383022,14.6,20.1
广东省,Guangdong,,,,
  广州市,  Guangzhou,189942498,189942498,10.3,10.3
  韶关市,  Shaoguan,1087001,899044,2.0,4.0
  深圳市,  Shenzhen,227017899,227017899,6.7,6.7
  珠海市,  Zhuhai,15354223,15354223,14.8,14.8
  汕头市,  Shantou,3489421,3486682,1.5,1.5
  佛山市,  Foshan,14365587,14365587,3.5,3.5
  江门市,  Jiangmen,2637543,2063059,11.6,8.0
  湛江市,  Zhanjiang,3006315,2542849,2.6,-1.7
  茂名市,  Maoming,1621965,1438226,7.5,6.3
  肇庆市,  Zhaoqing,1391594,1276917,14.2,15.8
  惠州市,  Huizhou,6505561,5672109,5.9,6.7
  梅州市,  Meizhou,893744,747642,9.8,12.1
  汕尾市,  Shanwei,1169407,705931,12.0,10.2
  河源市,  Heyuan,804503,701727,1.7,2.8
  阳江市,  Yangjiang,821978,679342,-2.9,-2.4
  清远市,  Qingyuan,2187682,1877780,2.9,4.7
