Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
2-19学生数(一),,,,
,,,,
Number of students( I),,,,
,,,,
单位：人,,,,
,,,,
(person),,,,
,,,,
城 市,City,普通、职业本专科 Undergraduate in Regular &Vocational HEIs,中等职业教育学校 Vocational Secondary Schools,
,,全市 Total City,全市 Total City,市辖区 Districts under City
北京市,Beijing,618348,58509,58509
天津市,Tianjin,596569,82710,82710
河北省,Hebei,,,
  石家庄市,  Shijiazhuang,682079,237757,182252
  唐山市,  Tangshan,217862,57036,27494
  秦皇岛市,  Qinhuangdao,143540,38734,26389
  邯郸市,  Handan,86906,100755,57757
  邢台市,  Xingtai,94508,78542,27310
  保定市,  Baoding,193587,111538,44584
  张家口市,  Zhangjiakou,80049,42385,23527
  承德市,  Chengde,58439,42893,14340
  沧州市,  Cangzhou,103709,108338,20886
  廊坊市,  Langfang,192150,35073,10950
  衡水市,  Hengshui,27179,30729,16465
山西省,Shanxi,,,
  太原市,  Taiyuan,748299,60178,53934
  大同市,  Datong,50010,24916,17745
  阳泉市,  Yangquan,,,
  长治市,  Changzhi,59798,36253,28202
  晋城市,  Jincheng,17922,14295,8471
  朔州市,  Shuozhou,26509,16884,7061
  晋中市,  Jinzhong,,44868,17944
  运城市,  Yuncheng,70857,44742,14448
  忻州市,  Xinzhou,29524,21988,6659
  临汾市,  Linfen,30936,29164,12663
  吕梁市,  Lvliang,20449,29889,6726
内蒙古自治区,Inner Mongolia,,,
  呼和浩特市,  Hohhot,259301,28598,22845
  包头市,  Baotou,86300,22217,20251
  乌海市,  Wuhai,4984,4024,4024
  赤峰市,  Chifeng,32408,33681,13813
  通辽市,  Tongliao,39429,19262,1920
  鄂尔多斯市,  Erdos,20986,16908,3306
  呼伦贝尔市,  Hulunbuir,7965,16693,2498
  巴彦淖尔市,  Bayannur,11311,13242,8302
  乌兰察布市,  Ulanqab,37167,9491,
辽宁省,Liaoning,,,
