Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
2-1人口数,,,,
,,,,
Permanent Resident Population,,,,
,,,,
城 市,City,常住人口（万人） Permanent Resident Population (10 000 persons),,
,,,,常住人口城镇化率(%) Urbanization Rate of Permanent Resident Population(%)
,,全市 Total City,市辖区 Districts under City,全市 Total City
北京市,Beijing,2186,2186,87.83
天津市,Tianjin,1364,1364,85.49
河北省,Hebei,,,
  石家庄市,  Shijiazhuang,1123,578,72.28
  唐山市,  Tangshan,772,380,66.71
  秦皇岛市,  Qinhuangdao,311,189,66.43
  邯郸市,  Handan,917,366,61.44
  邢台市,  Xingtai,696,210,56.32
  保定市,  Baoding,1149,335,59.45
  张家口市,  Zhangjiakou,405,173,68.35
  承德市,  Chengde,330,73,59.12
  沧州市,  Cangzhou,726,79,54.14
  廊坊市,  Langfang,548,112,66.81
  衡水市,  Hengshui,416,114,57.42
山西省,Shanxi,,,
  太原市,  Taiyuan,545,468,89.50
  大同市,  Datong,308,204,74.44
  阳泉市,  Yangquan,130,72,73.01
  长治市,  Changzhi,313,169,59.12
  晋城市,  Jincheng,217,59,65.04
  朔州市,  Shuozhou,158,71,64.26
  晋中市,  Jinzhong,338,126,62.52
  运城市,  Yuncheng,471,99,52.53
  忻州市,  Xinzhou,263,58,56.53
  临汾市,  Linfen,389,95,55.91
  吕梁市,  Lvliang,335,47,56.10
内蒙古自治区,Inner Mongolia,,,
  呼和浩特市,  Hohhot,360,272,80.72
  包头市,  Baotou,276,234,87.56
  乌海市,  Wuhai,56,56,96.38
  赤峰市,  Chifeng,397,146,55.57
  通辽市,  Tongliao,281,70,51.89
  鄂尔多斯市,  Erdos,222,71,79.19
  呼伦贝尔市,  Hulunbuir,217,44,75.76
  巴彦淖尔市,  Bayannur,150,59,61.65
  乌兰察布市,  Ulanqab,160,43,61.94
辽宁省,Liaoning,,,
  沈阳市,  Shenyang,,,85.12
  大连市,  Dalian,754,589,82.93
  鞍山市,  Anshan,322,151,75.81
  抚顺市,  Fushun,175,124,79.57
  本溪市,  Benxi,125,81,80.51
  丹东市,  Dandong,209,77,70.26
  锦州市,  Jinzhou,263,108,61.34
  营口市,  Yingkou,227,115,68.56
  阜新市,  Fuxin,157,72,62.96
  辽阳市,  Liaoyang,153,85,68.40
  盘锦市,  Panjin,138,116,78.71
  铁岭市,  Tieling,226,37,57.12
  朝阳市,  Chaoyang,279,69,51.68
  葫芦岛市,  Huludao,234,91,56.62
吉林省,Jilin,,,
  长春市,  Changchun,910,590,68.18
  吉林市,  Jilin,353,186,65.57
  四平市,  Siping,167,58,53.25
  辽源市,  Liaoyuan,94,44,59.82
  通化市,  Tonghua,120,42,62.51
  白山市,  Baishan,90,42,80.30
  松原市,  Songyuan,213,69,48.69
  白城市,  Baicheng,147,46,56.18
黑龙江省,Heilongjiang,,,
  哈尔滨市,  Harbin,978,692,71.82
  齐齐哈尔市,  Qiqihar,386,135,55.24
  鸡西市,  Jixi,142,64,74.66
  鹤岗市,  Hegang,85,52,84.44
  双鸭山市,  Shuangyashan,115,38,70.68
  大庆市,  Daqing,270,172,73.90
  伊春市,  Yichun,82,34,85.38
  佳木斯市,  Jiamusi,208,83,66.68
  七台河市,  Qitaihe,66,47,79.02
  牡丹江市,  Mudanjiang,222,91,66.95
  黑河市,  Heihe,123,22,66.90
  绥化市,  Suihua,356,67,45.40
上海市,Shanghai,2487,2487,89.50
江苏省,Jiangsu,,,
  南京市,  Nanjing,955,955,87.20
  无锡市,  Wuxi,750,443,83.31
  徐州市,  Xuzhou,902,362,67.60
  常州市,  Changzhou,538,457,78.50
  苏州市,  Suzhou,1296,684,82.50
  南通市,  Nantong,775,383,72.60
  连云港市,  Lianyungang,459,224,64.00
  淮安市,  Huai'an,454,284,67.70
  盐城市,  Yancheng,669,237,66.30
  扬州市,  Yangzhou,459,266,72.80
  镇江市,  Zhenjiang,323,127,80.70
  泰州市,  Taizhou,451,173,70.10
  宿迁市,  Suqian,498,163,65.00
浙江省,Zhejiang,,,
  杭州市,  Hangzhou,1252,1130,84.20
  宁波市,  Ningbo,970,527,79.85
  温州市,  Wenzhou,976,312,74.66
  嘉兴市,  Jiaxing,558,159,73.15
  湖州市,  Huzhou,344,160,67.50
  绍兴市,  Shaoxing,539,306,73.10
  金华市,  Jinhua,716,150,70.40
  衢州市,  Quzhou,230,92,60.56
  舟山市,  Zhoushan,117,89,73.97
  台州市,  Taizhou,671,223,64.80
  丽水市,  Lishui,253,58,64.60
安徽省,Anhui,,,
  合肥市,  Hefei,985,549,85.55
  芜湖市,  Wuhu,376,249,74.46
  蚌埠市,  Bengbu,326,132,59.65
  淮南市,  Huainan,302,156,63.29
  马鞍山市,  Ma'anshan,219,102,73.62
  淮北市,  Huaibei,194,103,65.64
  铜陵市,  Tongling,130,84,67.20
  安庆市,  Anqing,412,82,57.49
  黄山市,  Huangshan,132,55,60.23
  滁州市,  Chuzhou,406,81,63.85
  阜阳市,  Fuyang,808,212,45.16
  宿州市,  Suzhou,526,177,48.09
  六安市,  Lu'an,434,196,51.41
  亳州市,  Bozhou,490,153,45.95
  池州市,  Chizhou,132,61,61.39
  宣城市,  Xuancheng,249,77,63.55
福建省,Fujian,,,
  福州市,  Fuzhou,847,419,73.91
  厦门市,  Xiamen,533,533,90.81
  莆田市,  Putian,318,228,65.04
  三明市,  Sanming,243,66,65.90
  泉州市,  Quanzhou,888,179,70.79
  漳州市,  Zhangzhou,506,214,64.19
  南平市,  Nanping,263,79,62.30
  龙岩市,  Longyan,269,117,65.44
  宁德市,  Ningde,316,65,63.96
江西省,Jiangxi,,,
  南昌市,  Nanchang,657,441,79.58
  景德镇市,  Jingdezhen,162,59,67.51
  萍乡市,  Pingxiang,180,86,70.42
  九江市,  Jiujiang,454,122,63.82
  新余市,  Xinyu,120,92,75.08
  鹰潭市,  Yingtan,115,61,67.13
  赣州市,  Ganzhou,899,261,58.18
  吉安市,  Ji'an,439,68,55.07
  宜春市,  Yichun,494,114,59.18
  抚州市,  Fuzhou,356,148,59.72
  上饶市,  Shangrao,640,206,57.06
山东省,Shandong,,,
  济南市,  Jinan,944,858,75.28
  青岛市,  Qingdao,1037,744,78.30
  淄博市,  Zibo,467,338,75.66
  枣庄市,  Zaozhuang,381,226,61.73
  东营市,  Dongying,221,144,72.49
  烟台市,  Yantai,703,319,69.23
  潍坊市,  Weifang,937,253,66.12
  济宁市,  Jining,824,225,63.05
  泰安市,  Tai'an,535,193,66.45
  威海市,  Weihai,291,176,72.68
  日照市,  Rizhao,295,154,63.56
  临沂市,  Linyi,1094,378,58.16
  德州市,  Dezhou,554,149,56.33
  聊城市,  Liaocheng,586,199,55.80
  滨州市,  Binzhou,390,119,61.92
  菏泽市,  Heze,864,222,53.83
河南省,Henan,,,
  郑州市,  Zhengzhou,1301,686,80.00
  开封市,  Kaifeng,471,176,54.54
  洛阳市,  Luoyang,708,363,67.42
  平顶山市,  Pingdingshan,492,118,56.10
  安阳市,  Anyang,538,158,55.70
  鹤壁市,  Hebi,157,70,63.19
  新乡市,  Xinxiang,613,143,60.00
  焦作市,  Jiaozuo,352,109,65.25
  濮阳市,  Puyang,370,97,52.57
  许昌市,  Xuchang,438,134,56.12
  漯河市,  Luohe,237,133,57.53
  三门峡市,  Sanmenxia,202,61,59.55
  南阳市,  Nanyang,950,206,53.16
  商丘市,  Shangqiu,766,195,48.76
  信阳市,  Xinyang,605,149,52.70
  周口市,  Zhoukou,867,180,45.31
  驻马店市,  Zhumadian,677,106,46.84
湖北省,Hubei,,,
  武汉市,  Wuhan,1377,1377,84.79
  黄石市,  Huangshi,244,86,68.24
  十堰市,  Shiyan,315,138,63.58
  宜昌市,  Yichang,392,160,65.32
  襄阳市,  Xiangyang,528,234,64.15
  鄂州市,  Ezhou,107,107,67.92
  荆门市,  Jingmen,255,78,61.20
  孝感市,  Xiaogan,417,97,62.83
  荆州市,  Jingzhou,514,127,58.18
  黄冈市,  Huanggang,579,50,50.52
  咸宁市,  Xianning,261,61,58.85
  随州市,  Suizhou,200,68,59.12
湖南省,Hunan,,,
  长沙市,  Changsha,1051,636,83.59
  株洲市,  Zhuzhou,385,173,72.83
  湘潭市,  Xiangtan,270,111,66.16
  衡阳市,  Hengyang,650,136,57.00
  邵阳市,  Shaoyang,636,81,54.33
  岳阳市,  Yueyang,499,134,6239
  常德市,  Changde,519,145,57.90
  张家界市,  Zhangjiajie,150,57,54.22
  益阳市,  Yiyang,376,122,52.67
  郴州市,  Chenzhou,460,101,60.40
  永州市,  Yongzhou,508,113,49.71
  怀化市,  Huaihua,447,71,50.04
  娄底市,  Loudi,374,76,49.82
广东省,Guangdong,,,
  广州市,  Guangzhou,1883,1883,86.76
  韶关市,  Shaoguan,286,104,59.65
  深圳市,  Shenzhen,1779,1779,99.80
  珠海市,  Zhuhai,249,249,90.87
  汕头市,  Shantou,556,549,71.15
  佛山市,  Foshan,962,962,95.39
  江门市,  Jiangmen,482,216,68.66
  湛江市,  Zhanjiang,708,199,48.07
  茂名市,  Maoming,625,258,47.32
  肇庆市,  Zhaoqing,413,169,53.09
  惠州市,  Huizhou,607,352,73.30
  梅州市,  Meizhou,385,99,54.39
  汕尾市,  Shanwei,269,47,59.31
  河源市,  Heyuan,284,71,51.96
  阳江市,  Yangjiang,262,130,56.99
  清远市,  Qingyuan,399,175,57.16
  东莞市,  Dongguan,1049,,92.83
  中山市,  Zhongshan,446,,87.56
  潮州市,  Chaozhou,258,176,65.10
  揭阳市,  Jieyang,565,188,52.27
  云浮市,  Yunfu,240,65,46.59
广西壮族自治区,Guangxi,,,
  南宁市,  Nanning,894,614,71.37
  柳州市,  Liuzhou,415,252,71.23
  桂林市,  Guilin,495,174,55.12
  梧州市,  Wuzhou,283,87,56.88
  北海市,  Beihai,189,101,60.47
  防城港市,  Fangchenggang,107,65,64.57
  钦州市,  Qinzhou,332,141,44.91
  贵港市,  Guigang,431,168,52.17
  玉林市,  Yulin,582,124,52.10
  百色市,  Baise,351,77,46.67
  贺州市,  Hezhou,201,105,51.14
  河池市,  Hechi,335,91,47.84
  来宾市,  Laibin,205,92,50.22
  崇左市,  Chongzuo,206,44,46.69
海南省,Hainan,,,
  海口市,  Haikou,300,300,83.34
  三亚市,  Sanya,111,111,72.34
  三沙市,  Sansha,,,100.00
  儋州市,  Danzhou,102,,56.59
重庆市,Chongqing,3191,2535,71.67
四川省,Sichuan,,,
  成都市,  Chengdu,2140,1586,80.50
  自贡市,  Zigong,243,127,57.69
  攀枝花市,  Panzhihua,122,81,70.78
  泸州市,  Luzhou,427,161,53.16
  德阳市,  Deyang,345,104,58.77
  绵阳市,  Mianyang,491,229,56.01
  广元市,  Guangyuan,225,89,49.57
  遂宁市,  Suining,275,126,59.78
  内江市,  Neijiang,306,117,52.57
  乐山市,  Leshan,315,125,55.79
  南充市,  Nanchong,551,191,52.83
  眉山市,  Meishan,296,124,52.81
  宜宾市,  Yibin,463,221,54.91
  广安市,  Guang'an,323,97,46.57
  达州市,  Dazhou,532,185,52.48
  雅安市,  Ya'an,143,62,55.17
  巴中市,  Bazhong,263,104,48.52
  资阳市,  Ziyang,225,85,43.86
贵州省,Guizhou,,,
  贵阳市,  Guiyang,640,484,80.50
  六盘水市,  Liupanshui,303,142,51.61
  遵义市,  Zunyi,658,236,59.51
  安顺市,  Anshun,246,123,49.03
  毕节市,  Bijie,673,127,45.00
  铜仁市,  Tongren,321,61,49.11
云南省,Yunnan,,,
  昆明市,  Kunming,868,613,82.32
  曲靖市,  Qujing,569,159,51.79
  玉溪市,  Yuxi,227,86,57.08
  保山市,  Baoshan,241,91,37.81
  昭通市,  Zhaotong,485,87,41.85
  丽江市,  Lijiang,125,28,50.44
  普洱市,  Pu'er,234,42,43.12
  临沧市,  Lincang,220,37,37.52
西藏自治区,Xizang,,,
  拉萨市,  Lhasa,87,63,71.28
  日喀则市,  Xigazê,80,16,24.59
  昌都市,  Qamdo,76,15,30.00
  林芝市,  Nyingchi,24,8,42.37
  山南市,  Lhoka,35,8,33.24
  那曲市,  Nagqu,51,10,26.00
陕西省,Shaanxi,,,
  西安市,  Xi'an,1308,1202,79.88
  铜川市,  Tongchuan,70,63,65.04
  宝鸡市,  Baoji,326,185,61.00
  咸阳市,  Xianyang,412,94,60.19
  渭南市,  Weinan,460,117,52.35
  延安市,  Yan'an,226,81,63.02
  汉中市,  Hanzhong,317,108,54.28
  榆林市,  Yulin,361,98,63.50
  安康市,  Ankang,246,90,53.77
  商洛市,  Shangluo,201,47,51.59
甘肃省,Gansu,,,
  兰州市,  Lanzhou,443,326,84.80
  嘉峪关市,  Jiayuguan,32,,94.67
  金昌市,  Jinchang,43,26,79.83
  白银市,  Baiyin,149,52,59.48
  天水市,  Tianshui,291,119,49.03
  武威市,  Wuwei,143,87,50.87
  张掖市,  Zhangye,110,51,54.86
  平凉市,  Pingliang,179,50,48.09
  酒泉市,  Jiuquan,104,45,67.07
  庆阳市,  Qingyang,213,51,45.21
  定西市,  Dingxi,248,42,41.46
  陇南市,  Longnan,234,54,40.10
青海省,Qinghai,,,
  西宁市,  Xining,248,197,80.57
  海东市,  Haidong,134,35,44.54
宁夏回族自治区,Ningxia,,,
  银川市,  Yinchuan,291,193,82.84
  石嘴山市,  Shizuishan,75,48,80.74
  吴忠市,  Wuzhong,140,46,57.94
  固原市,  Guyuan,115,48,45.66
  中卫市,  Zhongwei,108,40,51.62
新疆维吾尔自治区,Xinjiang,,,
  乌鲁木齐市,  Urumqi,408,401,96.56
