Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
2-23医院、床位和医生数,,,,,,,
,,,,,,,
"Number of Hospitals, Beds and Doctors",,,,,,,
,,,,,,,
城 市,City,医院数 (个) Number of Hospitals (unit),,医院床位数 (张) Number of Beds of Hospitals (bed),,执业(助理)医师数 (人) Number of Licensed (Assistant) Doctors (person),
,,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City
北京市,Beijing,765,765,130831,130831,133685,133685
天津市,Tianjin,459,459,66704,66704,56473,56473
河北省,Hebei,,,,,,
  石家庄市,  Shijiazhuang,342,177,64563,40895,48765,31182
  唐山市,  Tangshan,275,151,48076,28979,31188,17460
  秦皇岛市,  Qinhuangdao,92,48,18617,12631,11793,7852
  邯郸市,  Handan,314,141,50866,23815,31980,14947
  邢台市,  Xingtai,196,76,36818,14138,26814,10409
  保定市,  Baoding,462,148,59845,23378,44165,16292
  张家口市,  Zhangjiakou,157,79,25326,14212,15126,8114
  承德市,  Chengde,97,35,19813,7390,13023,4280
  沧州市,  Cangzhou,224,28,45207,13269,29116,8360
  廊坊市,  Langfang,189,55,24146,6404,22066,6817
  衡水市,  Hengshui,145,35,21566,7109,15745,6161
山西省,Shanxi,,,,,,
  太原市,  Taiyuan,161,148,42900,41044,27778,26319
  大同市,  Datong,100,76,16428,13624,9906,7541
  阳泉市,  Yangquan,54,45,6549,5395,4706,3275
  长治市,  Changzhi,95,63,15575,11172,10509,6644
  晋城市,  Jincheng,87,40,11979,6684,7401,3320
  朔州市,  Shuozhou,85,48,10168,4988,4141,2255
  晋中市,  Jinzhong,103,48,14671,7120,9216,3768
  运城市,  Yuncheng,263,106,24170,4608,15211,5406
  忻州市,  Xinzhou,130,40,11810,3570,7410,2052
  临汾市,  Linfen,183,63,20532,8767,13321,4852
  吕梁市,  Lvliang,122,22,13020,2714,8825,1468
内蒙古自治区,Inner Mongolia,,,,,,
  呼和浩特市,  Hohhot,113,97,20542,18303,14333,12334
  包头市,  Baotou,108,91,17724,16463,10577,9478
  乌海市,  Wuhai,28,28,3250,3250,2059,2059
  赤峰市,  Chifeng,111,54,24635,12736,16193,7759
  通辽市,  Tongliao,99,49,16304,9915,10519,4831
  鄂尔多斯市,  Erdos,103,47,11696,5696,7850,2251
  呼伦贝尔市,  Hulunbuir,166,24,14005,4495,8793,2713
  巴彦淖尔市,  Bayannur,58,37,8063,4311,5873,2880
  乌兰察布市,  Ulanqab,67,26,9159,1875,5778,799
辽宁省,Liaoning,,,,,,
  沈阳市,  Shenyang,312,279,74320,68836,37290,34807
  大连市,  Dalian,246,189,48846,36624,24446,21638
  鞍山市,  Anshan,101,52,20945,12796,8794,4704
  抚顺市,  Fushun,52,40,10180,8552,5132,4088
  本溪市,  Benxi,43,30,11157,8138,3839,2772
  丹东市,  Dandong,80,38,14997,6633,7512,3337
  锦州市,  Jinzhou,79,47,15408,9345,7291,4581
  营口市,  Yingkou,121,73,14800,8541,6656,3934
  阜新市,  Fuxin,50,39,9983,7455,4684,2598
  辽阳市,  Liaoyang,62,57,13484,10620,5400,3960
  盘锦市,  Panjin,66,57,9274,7996,4703,4296
  铁岭市,  Tieling,110,37,14430,2494,8198,2327
  朝阳市,  Chaoyang,122,38,18438,6432,8341,2904
  葫芦岛市,  Huludao,116,68,15078,8805,5864,3173
吉林省,Jilin,,,,,,
  长春市,  Changchun,282,197,65943,48823,37763,28525
  吉林市,  Jilin,172,103,26830,17154,14516,9391
  四平市,  Siping,68,42,12523,7579,6189,2744
  辽源市,  Liaoyuan,34,21,6457,4186,3349,1882
  通化市,  Tonghua,52,31,8963,5254,4724,2081
  白山市,  Baishan,38,1,8266,5364,3717,1862
  松原市,  Songyuan,83,40,12356,6034,7303,3007
  白城市,  Baicheng,54,26,8369,3235,5641,2289
黑龙江省,Heilongjiang,,,,,,
  哈尔滨市,  Harbin,355,270,83300,71822,34000,27497
  齐齐哈尔市,  Qiqihar,151,82,31494,19003,12354,6991
  鸡西市,  Jixi,63,32,11652,6204,4814,2184
  鹤岗市,  Hegang,43,27,7824,5493,3147,2086
  双鸭山市,  Shuangyashan,59,23,8842,4623,3630,1550
  大庆市,  Daqing,128,96,17012,13304,10080,7591
  伊春市,  Yichun,43,15,6622,2923,2553,1295
  佳木斯市,  Jiamusi,103,50,15739,9873,7315,4004
  七台河市,  Qitaihe,20,15,4713,3821,2209,1810
  牡丹江市,  Mudanjiang,90,37,16500,10038,8281,4599
  黑河市,  Heihe,61,8,8156,1170,4062,788
  绥化市,  Suihua,125,35,19064,4731,12417,2998
上海市,Shanghai,480,480,165230,165230,92287,92287
江苏省,Jiangsu,,,,,,
  南京市,  Nanjing,311,311,66127,66127,42328,42328
  无锡市,  Wuxi,218,151,44183,32460,27000,17109
  徐州市,  Xuzhou,205,109,46409,28190,30200,15799
  常州市,  Changzhou,98,82,25863,22709,17560,15066
  苏州市,  Suzhou,266,130,72811,31190,43648,18403
  南通市,  Nantong,244,97,40560,23554,24147,13260
  连云港市,  Lianyungang,92,51,20081,11632,13868,7811
  淮安市,  Huai'an,66,39,20050,13581,15037,9606
  盐城市,  Yancheng,173,95,31367,14062,21226,8796
  扬州市,  Yangzhou,102,68,20051,12885,14181,8680
  镇江市,  Zhenjiang,68,36,14179,8550,9795,4883
  泰州市,  Taizhou,96,42,22904,10782,14832,6060
  宿迁市,  Suqian,243,76,33218,11137,15441,5245
浙江省,Zhejiang,,,,,,
  杭州市,  Hangzhou,414,370,95220,88290,62661,57495
