Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2-26市政公用事业,,,,,
,,,,,
Municipal Public Utilities,,,,,
,,,,,
城 市,City,年末实有城市 道路面积 （万平方米） Area of Urban Paved Roads at Year-end （10 000 sq.m）,排水管道长度 （公里） Length of Urban Sewage Pipes （km）,境内公路总里程（公里） Total Mileage of Domestic Roads （km）,
,,,,,高速公路里程 （公里） The Mileage of Expressway （km）
,,市辖区 Districts under City,市辖区 Districts under City,全市 Total City,全市 Total City
北京市,Beijing,17037,20585,22433,1211
天津市,Tianjin,19130,25252,15221,1358
河北省,Hebei,,,,
  石家庄市,  Shijiazhuang,,3528,21376,915
  唐山市,  Tangshan,4982,3136,20369,839
  秦皇岛市,  Qinhuangdao,,1930,8885,357
  邯郸市,  Handan,,2348,20552,535
  邢台市,  Xingtai,,1714,21830,649
  保定市,  Baoding,,1188,23868,1404
  张家口市,  Zhangjiakou,,606,23734,1346
  承德市,  Chengde,1294,702,25077,759
  沧州市,  Cangzhou,,,19696,682
  廊坊市,  Langfang,1574,978,11631,564
  衡水市,  Hengshui,,824,14086,360
山西省,Shanxi,,,,
  太原市,  Taiyuan,7118,5086,6754,292
  大同市,  Datong,2387,1645,12761,562
  阳泉市,  Yangquan,1003,541,5453,
  长治市,  Changzhi,1650,781,12706,471
  晋城市,  Jincheng,,624,9848,426
  朔州市,  Shuozhou,,491,10292,468
  晋中市,  Jinzhong,,,16250,656
  运城市,  Yuncheng,1077,752,16572,634
  忻州市,  Xinzhou,939,830,17654,917
  临汾市,  Linfen,777,547,19733,774
  吕梁市,  Lvliang,443,437,18139,705
内蒙古自治区,Inner Mongolia,,,,
  呼和浩特市,  Hohhot,3273,3329,8635,514
  包头市,  Baotou,3657,2710,9549,140
  乌海市,  Wuhai,2411,287,1083,101
  赤峰市,  Chifeng,2147,1199,30028,1006
  通辽市,  Tongliao,1255,797,23259,647
  鄂尔多斯市,  Erdos,2996,2278,25879,1311
  呼伦贝尔市,  Hulunbuir,943,440,29558,696
  巴彦淖尔市,  Bayannur,1157,721,24156,369
  乌兰察布市,  Ulanqab,1132,798,18139,986
辽宁省,Liaoning,,,,
  沈阳市,  Shenyang,10573,7546,13667,672
  大连市,  Dalian,7198,3315,13427,529
  鞍山市,  Anshan,3032,1249,8006,184
  抚顺市,  Fushun,1848,1012,6660,326
  本溪市,  Benxi,2218,653,4726,233
  丹东市,  Dandong,1233,690,10330,361
  锦州市,  Jinzhou,1035,748,10497,239
  营口市,  Yingkou,3234,2003,4553,195
  阜新市,  Fuxin,938,701,9309,367
  辽阳市,  Liaoyang,1968,1032,4178,159
  盘锦市,  Panjin,1976,1291,3986,141
  铁岭市,  Tieling,1402,458,12386,346
  朝阳市,  Chaoyang,718,557,18897,386
  葫芦岛市,  Huludao,1944,684,10237,229
吉林省,Jilin,,,,
  长春市,  Changchun,8771,6389,28364,655
  吉林市,  Jilin,,,15656,685
  四平市,  Siping,738,429,8107,413
  辽源市,  Liaoyuan,,393,5311,247
  通化市,  Tonghua,,240,6278,484
  白山市,  Baishan,608,280,6711,261
  松原市,  Songyuan,,602,13932,616
  白城市,  Baicheng,,781,13481,525
黑龙江省,Heilongjiang,,,,
  哈尔滨市,  Harbin,7028,4173,25179,1077
  齐齐哈尔市,  Qiqihar,1247,1040,24822,600
  鸡西市,  Jixi,,313,1097,183
  鹤岗市,  Hegang,571,308,5963,10
  双鸭山市,  Shuangyashan,,408,,
  大庆市,  Daqing,3887,1914,7693,325
  伊春市,  Yichun,885,453,7578,167
  佳木斯市,  Jiamusi,,593,10465,618
  七台河市,  Qitaihe,489,422,2012,166
  牡丹江市,  Mudanjiang,1173,827,12495,448
  黑河市,  Heihe,256,191,16600,527
  绥化市,  Suihua,394,437,21599,446
上海市,Shanghai,14008,22615,12989,881
江苏省,Jiangsu,,,,
  南京市,  Nanjing,18740,10867,9893,598
  无锡市,  Wuxi,7804,13635,7327,326
  徐州市,  Xuzhou,4819,3862,15999,464
  常州市,  Changzhou,5349,10076,8411,379
  苏州市,  Suzhou,11782,11740,11322,620
  南通市,  Nantong,6278,3864,17565,486
  连云港市,  Lianyungang,2853,3467,12270,354
  淮安市,  Huai'an,4274,3540,13791,400
  盐城市,  Yancheng,3917,3009,36354,417
  扬州市,  Yangzhou,3470,4017,9687,308
  镇江市,  Zhenjiang,,2153,6887,202
  泰州市,  Taizhou,3199,2476,10205,323
  宿迁市,  Suqian,2871,2416,12389,295
浙江省,Zhejiang,,,,
  杭州市,  Hangzhou,10823,11533,16621,878
  宁波市,  Ningbo,7705,8214,11487,666
  温州市,  Wenzhou,4310,3388,15633,630
  嘉兴市,  Jiaxing,2358,2390,7599,428
  湖州市,  Huzhou,3070,2002,8181,453
  绍兴市,  Shaoxing,5656,6121,9918,593
  金华市,  Jinhua,2712,2525,13141,418
  衢州市,  Quzhou,1585,2231,8784,422
  舟山市,  Zhoushan,1594,1267,1976,70
  台州市,  Taizhou,2662,3937,13059,499
  丽水市,  Lishui,833,1186,15085,452
安徽省,Anhui,,,,
  合肥市,  Hefei,10340,9325,20514,623
  芜湖市,  Wuhu,4914,3529,11122,351
  蚌埠市,  Bengbu,,1479,11103,272
  淮南市,  Huainan,2320,1396,9516,211
  马鞍山市,  Ma'anshan,2151,1643,7815,194
  淮北市,  Huaibei,1682,1169,5417,91
  铜陵市,  Tongling,1538,1876,5870,158
  安庆市,  Anqing,2728,1544,26566,508
  黄山市,  Huangshan,1207,941,7768,420
  滁州市,  Chuzhou,2998,2522,20766,767
  阜阳市,  Fuyang,2766,1918,21349,284
  宿州市,  Suzhou,1969,1220,21268,354
  六安市,  Lu'an,2090,1077,25485,404
  亳州市,  Bozhou,1828,1413,18241,319
  池州市,  Chizhou,862,831,9564,327
  宣城市,  Xuancheng,,,16690,517
福建省,Fujian,,,,
  福州市,  Fuzhou,6578,4778,11749,764
  厦门市,  Xiamen,7303,4889,2196,136
  莆田市,  Putian,2084,3044,6560,261
  三明市,  Sanming,964,747,16438,945
  泉州市,  Quanzhou,4134,3027,19879,684
  漳州市,  Zhangzhou,2549,1675,13501,716
  南平市,  Nanping,1010,662,16231,1043
  龙岩市,  Longyan,1224,926,15179,805
  宁德市,  Ningde,846,491,13005,596
江西省,Jiangxi,,,,
  南昌市,  Nanchang,5864,2970,10574,430
  景德镇市,  Jingdezhen,269,1074,735,
  萍乡市,  Pingxiang,1211,892,9108,197
  九江市,  Jiujiang,2708,2552,23623,320
  新余市,  Xinyu,1618,1117,5013,131
  鹰潭市,  Yingtan,,350,5407,114
  赣州市,  Ganzhou,4291,3022,44948,1743
  吉安市,  Ji'an,1350,1052,30656,916
  宜春市,  Yichun,,,27349,863
  抚州市,  Fuzhou,2543,2042,19328,762
  上饶市,  Shangrao,2408,1730,27067,718
山东省,Shandong,,,,
  济南市,  Jinan,14556,9729,18357,828
  青岛市,  Qingdao,15379,18977,15634,909
  淄博市,  Zibo,6241,4032,11638,400
  枣庄市,  Zaozhuang,3326,1619,9334,286
  东营市,  Dongying,3469,2990,9361,237
  烟台市,  Yantai,,4547,19887,668
  潍坊市,  Weifang,4916,3173,29759,867
  济宁市,  Jining,6277,3027,21390,499
  泰安市,  Tai'an,3033,1578,16705,476
  威海市,  Weihai,4474,3225,6993,235
  日照市,  Rizhao,2215,2991,10350,223
  临沂市,  Linyi,6460,4310,32557,686
  德州市,  Dezhou,2690,1188,5040,569
  聊城市,  Liaocheng,3384,2405,21596,474
  滨州市,  Binzhou,2766,1926,17818,491
  菏泽市,  Heze,,1867,30262,590
河南省,Henan,,,,
  郑州市,  Zhengzhou,9822,7167,14122,633
  开封市,  Kaifeng,2339,1243,10236,449
  洛阳市,  Luoyang,3982,1437,20342,738
  平顶山市,  Pingdingshan,1389,758,15042,478
  安阳市,  Anyang,1679,1503,13247,339
  鹤壁市,  Hebi,1098,707,4749,98
  新乡市,  Xinxiang,1332,1161,14176,488
  焦作市,  Jiaozuo,2087,1317,8169,240
  濮阳市,  Puyang,1252,1007,7559,313
  许昌市,  Xuchang,2579,1053,10436,287
  漯河市,  Luohe,1312,1295,5758,173
  三门峡市,  Sanmenxia,786,713,10475,426
  南阳市,  Nanyang,2722,2173,42005,898
  商丘市,  Shangqiu,2231,1972,25145,583
