Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
2-29用电量情况(全市),,,,
Electricity Consumption(Total City),,,,
,,,,
单位：万千瓦时,,,,
,,,,
(10 000 kW h),,,,
,,,,
城 市,City,全社会用电量 Total Electricity Consumption,,
,,,工业用电 Industrial Electricity,居民生活用电 Household electricity
北京市,Beijing,13577778,2752332,3345760
天津市,Tianjin,10509342,6270972,1630456
河北省,Hebei,,,
  石家庄市,  Shijiazhuang,6419351,3535705,1101291
  唐山市,  Tangshan,9624371,7577318,724540
  秦皇岛市,  Qinhuangdao,1993908,1275477,270044
  邯郸市,  Handan,4968253,3265674,836934
  邢台市,  Xingtai,3786408,2313018,728976
  保定市,  Baoding,5151709,2322203,1298320
  张家口市,  Zhangjiakou,2427435,1025991,313834
  承德市,  Chengde,2467105,1775762,269772
  沧州市,  Cangzhou,4856412,3272012,700681
  廊坊市,  Langfang,3703888,1808905,695742
  衡水市,  Hengshui,1882513,1043540,358320
山西省,Shanxi,,,
  太原市,  Taiyuan,3366220,1878567,581491
  大同市,  Datong,2195945,1295730,283485
  阳泉市,  Yangquan,1015479,731340,97678
  长治市,  Changzhi,2321730,1801291,246215
  晋城市,  Jincheng,2303360,1954022,133937
  朔州市,  Shuozhou,1086161,835001,70041
  晋中市,  Jinzhong,2859877,2150273,302143
  运城市,  Yuncheng,3791542,2747642,512309
  忻州市,  Xinzhou,1717629,1067191,204493
  临汾市,  Linfen,2714120,1885439,369389
  吕梁市,  Lvliang,2993476,2393189,258603
内蒙古自治区,Inner Mongolia,,,
  呼和浩特市,  Hohhot,3778008,2706056,285786
  包头市,  Baotou,10203527,9623300,211571
  乌海市,  Wuhai,2420783,2294329,44172
  赤峰市,  Chifeng,2260499,1711206,289248
  通辽市,  Tongliao,5738580,5074469,238422
  鄂尔多斯市,  Erdos,9579500,8765800,183400
  呼伦贝尔市,  Hulunbuir,1353770,905988,187647
  巴彦淖尔市,  Bayannur,1685902,1256528,119943
  乌兰察布市,  Ulanqab,6811101,6232606,129594
辽宁省,Liaoning,,,
  沈阳市,  Shenyang,4299139,1792174,872541
  大连市,  Dalian,4686142,2906448,694380
  鞍山市,  Anshan,3191167,2594701,287378
  抚顺市,  Fushun,1156396,851804,151949
  本溪市,  Benxi,1495958,1266383,108932
  丹东市,  Dandong,1112721,707431,186006
  锦州市,  Jinzhou,1061853,551420,221678
  营口市,  Yingkou,2761973,2271851,199363
  阜新市,  Fuxin,685044,405591,138040
  辽阳市,  Liaoyang,1185029,894399,132699
  盘锦市,  Panjin,1309203,1004460,109803
  铁岭市,  Tieling,910215,534246,167509
  朝阳市,  Chaoyang,1377973,380554,182900
  葫芦岛市,  Huludao,1163736,723520,166283
吉林省,Jilin,,,
  长春市,  Changchun,3259300,1499020,591247
  吉林市,  Jilin,1751000,1257000,230000
  四平市,  Siping,582988,317324,112130
  辽源市,  Liaoyuan,295063,174051,60181
  通化市,  Tonghua,490414,289199,62417
  白山市,  Baishan,390202,209246,78334
  松原市,  Songyuan,710777,357916,135383
  白城市,  Baicheng,654500,334930,114347
黑龙江省,Heilongjiang,,,
  哈尔滨市,  Harbin,2955514,1175803,682444
  齐齐哈尔市,  Qiqihar,1126880,578226,234432
  鸡西市,  Jixi,543888,355020,92665
  鹤岗市,  Hegang,524878,406479,58820
  双鸭山市,  Shuangyashan,508632,356910,73277
  大庆市,  Daqing,2363233,1940734,161680
  伊春市,  Yichun,472389,344696,67310
  佳木斯市,  Jiamusi,597819,216334,160609
  七台河市,  Qitaihe,301224,216914,42043
  牡丹江市,  Mudanjiang,776710,444792,151413
  黑河市,  Heihe,532594,351762,79429
  绥化市,  Suihua,848094,412693,205707
上海市,Shanghai,18488109,8415199,3014085
江苏省,Jiangsu,,,
  南京市,  Nanjing,7472669,3658320,1188897
  无锡市,  Wuxi,8640720,6150278,970879
  徐州市,  Xuzhou,4528542,2605917,887578
  常州市,  Changzhou,6250919,4663599,665952
  苏州市,  Suzhou,17193090,12353753,1835648
  南通市,  Nantong,6585292,4503896,944888
  连云港市,  Lianyungang,3194525,2164188,468100
  淮安市,  Huai'an,2762571,1745133,453176
  盐城市,  Yancheng,4825862,3219512,717560
  扬州市,  Yangzhou,3316720,2146640,516646
  镇江市,  Zhenjiang,3067996,2161338,394140
  泰州市,  Taizhou,3775239,2681970,523006
  宿迁市,  Suqian,3128178,2130508,464140
浙江省,Zhejiang,,,
  杭州市,  Hangzhou,9871300,4356923,1912971
  宁波市,  Ningbo,10317964,7238621,1295263
  温州市,  Wenzhou,5807216,3151605,1420355
  嘉兴市,  Jiaxing,7225646,5577363,707233
  湖州市,  Huzhou,3849216,2647780,491729
  绍兴市,  Shaoxing,5599291,4109128,672463
  金华市,  Jinhua,5536118,3497707,895315
  衢州市,  Quzhou,2396520,1778456,285715
  舟山市,  Zhoushan,1920184,1484404,147162
  台州市,  Taizhou,4394454,2735615,879275
  丽水市,  Lishui,1507210,903533,288170
安徽省,Anhui,,,
  合肥市,  Hefei,5395426,2705367,886361
  芜湖市,  Wuhu,2683362,1880178,341362
  蚌埠市,  Bengbu,1253508,602011,263346
  淮南市,  Huainan,1126165,600102,249487
  马鞍山市,  Ma'anshan,2553010,2075753,202396
  淮北市,  Huaibei,925189,580396,163078
  铜陵市,  Tongling,1167012,921089,99145
  安庆市,  Anqing,1636326,982748,328176
  黄山市,  Huangshan,533258,252106,123265
  滁州市,  Chuzhou,3285290,2480657,345104
  阜阳市,  Fuyang,2097629,802695,649078
  宿州市,  Suzhou,1288985,488108,401795
  六安市,  Lu'an,1704233,944029,360735
  亳州市,  Bozhou,1096225,367508,386075
  池州市,  Chizhou,1130870,891592,111361
  宣城市,  Xuancheng,2001366,1438335,260574
福建省,Fujian,,,
  福州市,  Fuzhou,6041044,3369040,1171088
  厦门市,  Xiamen,3607258,1703671,791564
  莆田市,  Putian,1636792,878224,434732
  三明市,  Sanming,1856958,1306105,273247
  泉州市,  Quanzhou,6425333,4169813,1255412
  漳州市,  7hangzhou,3508607,1999044,727785
  南平市,  Nanping,1370372,733260,300578
  龙岩市,  Longyan,1560049,928447,349847
  宁德市,  Ningde,3145164,2400757,403940
江西省,Jiangxi,,,
  南昌市,  Nanchang,3070132,1391488,584904
  景德镇市,  Jingdezhen,749724,442814,155844
  萍乡市,  Pingxiang,877000,552000,176600
  九江市,  Jiujiang,2810107,2003508,390580
  新余市,  Xinyu,1051435,834707,92412
  鹰潭市,  Yingtan,663639,452943,92518
  赣州市,  Ganzhou,3011665,1612703,675210
  吉安市,  Ji'an,1571112,921233,302847
  宜春市,  Yichun,2783818,1965801,393138
  抚州市,  Fuzhou,1289594,747133,264838
  上饶市,  Shangrao,2377157,1400272,499234
山东省,Shandong,,,
  济南市,  Jinan,5408519,2807205,1042900
  青岛市,  Qingdao,6228675,3238874,1086238
  淄博市,  Zibo,4350269,3467572,429221
  枣庄市,  Zaozhuang,2121577,1450709,323564
  东营市,  Dongying,4085311,3502257,230738
  烟台市,  Yantai,6181297,4654351,624597
  潍坊市,  Weifang,7600894,5626839,828479
  济宁市,  Jining,4316435,2787171,737502
  泰安市,  Tai'an,2756576,1895138,410230
  威海市,  Weihai,1826169,1123741,277901
  日照市,  Rizhao,2982835,2328298,277784
  临沂市,  Linyi,6326362,4323706,982571
  德州市,  Dezhou,3112921,2081557,457639
  聊城市,  Liaocheng,7086703,6018261,508598
  滨州市,  Binzhou,11789298,10998287,387087
