Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
2-2水资源总量和用水总量,,,,
,,,,
Total Water Resources and Consumption,,,,
,,,,
单位：亿立方米,,,,
,,,,
(108cu.m),,,,
,,,,
城 市,City,水资源总量 Total Water Resources,用水总量 Total Water Consumption,
,,全市 Total City,全市 Total City,市辖区 Districts under City
北京市,Beijing,42,41,41
天津市,Tianjin,18,33,33
河北省,Hebei,,,
  石家庄市,  Shijiazhuang,38,32,9
  唐山市,  Tangshan,22,24,13
  秦皇岛市,  Qinhuangdao,9,7,3
  邯郸市,  Handan,26,19,6
  邢台市,  Xingtai,31,19,7
  保定市,  Baoding,63,33,17
  张家口市,  Zhangjiakou,17,7,6
  承德市,  Chengde,18,8,1
  沧州市,  Cangzhou,9,15,3
  廊坊市,  Langfang,8,9,2
  衡水市,  Hengshui,8,14,3
山西省,Shanxi,,,
  太原市,  Taiyuan,,7,5
  大同市,  Datong,,,
  阳泉市,  Yangquan,2,2,1
  长治市,  Changzhi,,5,2
  晋城市,  Jincheng,,4,1
  朔州市,  Shuozhou,7,5,1
  晋中市,  Jinzhong,,6,2
  运城市,  Yuncheng,13,15,2
  忻州市,  Xinzhou,21,6,1
  临汾市,  Linfen,,,
  吕梁市,  Lvliang,,,
内蒙古自治区,Inner Mongolia,,,
  呼和浩特市,  Hohhot,10,10,3
  包头市,  Baotou,6,10,5
  乌海市,  Wuhai,2,0,0
  赤峰市,  Chifeng,29,25,5
  通辽市,  Tongliao,37,38,8
  鄂尔多斯市,  Erdos,29,18,1
  呼伦贝尔市,  Hulunbuir,316,18,1
  巴彦淖尔市,  Bayannur,51,47,9
  乌兰察布市,  Ulanqab,13,7,1
辽宁省,Liaoning,,,
  沈阳市,  Shenyang,26,27,20
  大连市,  Dalian,29,16,10
  鞍山市,  Anshan,44,9,2
  抚顺市,  Fushun,25,5,3
  本溪市,  Benxi,33,3,1
  丹东市,  Dandong,82,8,1
  锦州市,  Jinzhou,11,8,2
  营口市,  Yingkou,13,8,3
  阜新市,  Fuxin,11,3,1
  辽阳市,  Liaoyang,10,9,2
  盘锦市,  Panjin,2,14,9
  铁岭市,  Tieling,22,7,1
  朝阳市,  Chaoyang,9,5,1
