Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
2-30天然气供应及利用情况(市辖区),,,
Supply and Consumption of Natural Gas (Districts under City),,,
,,,
单位：万立方米,,,
(10 000 cubic meters),,,
,,,
城 市,City,天然气供气总量 Total Natural Gas Supply,居民家庭用量 Consumptionof Gas for Residential Use
北京市,Beijing,2011672,198310
天津市,Tianjin,675018,116332
河北省,Hebei,,
  石家庄市,  Shijiazhuang,103526,49743
  唐山市,  Tangshan,81674,10768
  秦皇岛市,  Qinhuangdao,67882,7694
  邯郸市,  Handan,62414,30217
  邢台市,  Xingtai,19264,12597
  保定市,  Baoding,37564,20567
  张家口市,  Zhangjiakou,16172,3958
  承德市,  Chengde,7543,1303
  沧州市,  Cangzhou,,
  廊坊市,  Langfang,60006,40148
  衡水市,  Hengshui,13026,6362
山西省,Shanxi,,
  太原市,  Taiyuan,105269,29363
  大同市,  Datong,24061,6642
  阳泉市,  Yangquan,34837,5021
  长治市,  Changzhi,28083,11142
  晋城市,  Jincheng,87000,22000
  朔州市,  Shuozhou,8692,8590
  晋中市,  Jinzhong,13001,2593
  运城市,  Yuncheng,11563,7210
  忻州市,  Xinzhou,4654,2918
  临汾市,  Linfen,11300,2656
  吕梁市,  Lvliang,1570,715
内蒙古自治区,Inner Mongolia,,
  呼和浩特市,  Hohhot,81709,20600
  包头市,  Baotou,123540,64063
  乌海市,  Wuhai,24805,2219
  赤峰市,  Chifeng,4990,2620
  通辽市,  Tongliao,3980,2162
  鄂尔多斯市,  Erdos,13448,4023
  呼伦贝尔市,  Hulunbuir,1465,919
  巴彦淖尔市,  Bayannur,5667,1180
  乌兰察布市,  Ulanqab,3147,615
辽宁省,Liaoning,,
  沈阳市,  Shenyang,98964,26971
  大连市,  Dalian,56215,15197
  鞍山市,  Anshan,22886,10130
  抚顺市,  Fushun,10580,2810
  本溪市,  Benxi,11500,2603
  丹东市,  Dandong,1758,553
  锦州市,  Jinzhou,18779,5720
  营口市,  Yingkou,22365,6579
  阜新市,  Fuxin,5405,760
  辽阳市,  Liaoyang,10860,2151
  盘锦市,  Panjin,14219,5132
  铁岭市,  Tieling,10794,1316
  朝阳市,  Chaoyang,3387,1110
  葫芦岛市,  Huludao,18465,4539
吉林省,Jilin,,
  长春市,  Changchun,99377,26274
  吉林市,  Jilin,,
  四平市,  Siping,9555,2945
  辽源市,  Liaoyuan,2726,
  通化市,  Tonghua,2724,
  白山市,  Baishan,2101,468
  松原市,  Songyuan,10684,4990
  白城市,  Baicheng,1426,302
黑龙江省,Heilongjiang,,
  哈尔滨市,  Harbin,89383,17925
  齐齐哈尔市,  Qiqihar,30447,4228
  鸡西市,  Jixi,2303,1149
  鹤岗市,  Hegang,998,745
  双鸭山市,  Shuangyashan,,
  大庆市,  Daqing,40037,10898
  伊春市,  Yichun,281,53
  佳木斯市,  Jiamusi,5398,3298
  七台河市,  Qitaihe,1139,96
  牡丹江市,  Mudanjiang,3215,1808
  黑河市,  Heihe,278,72
  绥化市,  Suihua,1699,1046
上海市,Shanghai,983385,190275
江苏省,Jiangsu,,
  南京市,  Nanjing,204377,73433
  无锡市,  Wuxi,130308,33008
  徐州市,  Xuzhou,65105,24337
  常州市,  Changzhou,170158,17021
  苏州市,  Suzhou,140948,38202
  南通市,  Nantong,74076,20519
  连云港市,  Lianyungang,142849,14585
  淮安市,  Huai'an,41038,15691
  盐城市,  Yancheng,43702,14499
  扬州市,  Yangzhou,31017,14949
  镇江市,  Zhenjiang,56013,8929
  泰州市,  Taizhou,78739,8180
  宿迁市,  Suqian,44610,6692
浙江省,Zhejiang,,
  杭州市,  Hangzhou,189836,56486
  宁波市,  Ningbo,121446,22898
  温州市,  Wenzhou,43493,6034
  嘉兴市,  Jiaxing,46200,6239
  湖州市,  Huzhou,33499,6553
  绍兴市,  Shaoxing,147748,9094
  金华市,  Jinhua,20370,2873
  衢州市,  Quzhou,23173,2367
  舟山市,  Zhoushan,9000,2953
  台州市,  Taizhou,30803,3656
  丽水市,  Lishui,7065,1434
安徽省,Anhui,,
  合肥市,  Hefei,140096,52738
  芜湖市,  Wuhu,56957,14632
  蚌埠市,  Bengbu,,
  淮南市,  Huainan,20562,8397
  马鞍山市,  Ma'anshan,32945,6718
  淮北市,  Huaibei,17058,6709
  铜陵市,  Tongling,24617,4321
  安庆市,  Anqing,14600,4176
  黄山市,  Huangshan,6214,1141
  滁州市,  Chuzhou,25703,8747
  阜阳市,  Fuyang,16027,6568
  宿州市,  Suzhou,13707,5402
  六安市,  Lu'an,16144,6770
  亳州市,  Bozhou,11814,4359
  池州市,  Chizhou,5915,1976
  宣城市,  Xuancheng,14236,2925
福建省,Fujian,,
  福州市,  Fuzhou,24380,9669
  厦门市,  Xiamen,44429,6693
  莆田市,  Putian,26390,3420
  三明市,  Sanming,5117,3176
  泉州市,  Quanzhou,22933,3496
  漳州市,  Zhangzhou,19912,2524
  南平市,  Nanping,2417,939
  龙岩市,  Longyan,8401,1852
  宁德市,  Ningde,14936,1282
江西省,Jiangxi,,
  南昌市,  Nanchang,40527,18074
  景德镇市,  Jingdezhen,16674,2721
  萍乡市,  Pingxiang,26784,14785
  九江市,  Jiujiang,36680,6294
  新余市,  Xinyu,13333,3962
  鹰潭市,  Yingtan,8949,1393
  赣州市,  Ganzhou,18264,6647
  吉安市,  Ji'an,4913,2586
  宜春市,  Yichun,,
  抚州市,  Fuzhou,13195,2984
  上饶市,  Shangrao,20270,3611
山东省,Shandong,,
  济南市,  Jinan,178940,61899
  青岛市,  Qingdao,180294,34968
  淄博市,  Zibo,111565,16406
  枣庄市,  Zaozhuang,18833,5134
  东营市,  Dongying,37567,17429
  烟台市,  Yantai,44487,11737
  潍坊市,  Weifang,52679,15545
  济宁市,  Jining,44699,19311
  泰安市,  Tai'an,45248,4310
  威海市,  Weihai,19387,5459
  日照市,  Rizhao,25635,7462
  临沂市,  Linyi,75348,13815
  德州市,  Dezhou,43105,5209
  聊城市,  Liaocheng,56280,13413
  滨州市,  Binzhou,31090,9605
  菏泽市,  Heze,,
河南省,Henan,,
  郑州市,  Zhengzhou,135765,46905
  开封市,  Kaifeng,20177,7961
  洛阳市,  Luoyang,88445,15521
  平顶山市,  Pingdingshan,16701,6158
  安阳市,  Anyang,18560,7379
  鹤壁市,  Hebi,8091,3626
  新乡市,  Xinxiang,24236,11622
  焦作市,  Jiaozuo,35825,5610
  濮阳市,  Puyang,12684,7088
  许昌市,  Xuchang,13218,8406
  漯河市,  Luohe,13426,7230
  三门峡市,  Sanmenxia,9500,2841
  南阳市,  Nanyang,20026,6692
  商丘市,  Shangqiu,26756,5141
  信阳市,  Xinyang,18900,7410
  周口市,  Zhoukou,12212,6048
  驻马店市,  Zhumadian,8178,5311
湖北省,Hubei,,
  武汉市,  Wuhan,278342,94322
  黄石市,  Huangshi,40209,4152
  十堰市,  Shiyan,21317,6853
  宜昌市,  Yichang,27883,10269
  襄阳市,  Xiangyang,39294,11006
  鄂州市,  Ezhou,12000,6240
  荆门市,  Jingmen,14019,4061
  孝感市,  Xiaogan,12033,4280
  荆州市,  Jingzhou,21699,6547
  黄冈市,  Huanggang,11226,4098
  咸宁市,  Xianning,23371,2827
  随州市,  Suizhou,8104,3552
湖南省,Hunan,,
  长沙市,  Changsha,106628,53741
  株洲市,  Zhuzhou,32901,13042
  湘潭市,  Xiangtan,17800,6751
  衡阳市,  Hengyang,29547,9533
  邵阳市,  Shaoyang,8748,5249
