Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2-5空气质量状况和污水及生活垃圾处理率(全市),,,,,
"Air Quality Condition, Ratio of Waste Water and",,,,,
Consumption (Total City),,,,,
,,,,,
城 市,City,细颗粒物年平均浓度 (微克/立方米) Annual Mean Concentration ofPM25 (ug/m3),空气质量优良 天数比例 (%) Proportion of Days with Good Air Quality (%),污水处理厂 集中处理率 (%) Ratio of Waste Water Centralized Treated of Sewage Work(%),生活垃圾 无害化处理率 (%) Rate of Domestic Garbage Harmless Treatment (%)
北京市,Beijing,32,74.20,97.30,100.00
天津市,Tianjin,41,66.80,98.20,100.00
河北省,Hebei,,,,
  石家庄市,  Shijiazhuang,44,62.00,99.80,100.00
  唐山市,  Tangshan,40,68.22,99.37,100.00
  秦皇岛市,  Qinhuangdao,31,80.80,97.59,100.00
  邯郸市,  Handan,46,64.90,99.54,100.00
  邢台市,  Xingtai,45,57.80,,
  保定市,  Baoding,41,63.00,99.80,100.00
  张家口市,  Zhangjiakou,18,86.60,99.13,100.00
  承德市,  Chengde,23,82.19,97.14,100.00
  沧州市,  Cangzhou,44,62.19,99.99,100.00
  廊坊市,  Langfang,40,65.50,99.00,100.00
  衡水市,  Hengshui,44,60.00,99.74,100.00
山西省,Shanxi,,,,
  太原市,  Taiyuan,41,64.38,100.00,100.00
  大同市,  Datong,27,85.80,98.03,100.00
  阳泉市,  Yangquan,38,77.80,100.00,100.00
  长治市,  Changzhi,,,95.74,100.00
  晋城市,  Jincheng,35,68.80,99.94,100.00
  朔州市,  Shuozhou,31,81.10,96.60,100.00
  晋中市,  Jinzhong,37,60.00,62.00,100.00
  运城市,  Yuncheng,49,64.10,97.59,100.00
  忻州市,  Xinzhou,37,76.40,97.17,100.00
  临汾市,  Linfen,49,60.50,99.72,100.00
  吕梁市,  Lvliang,26,79.20,,
内蒙古自治区,Inner Mongolia,,,,
  呼和浩特市,  Hohhot,29,80.00,97.44,100.00
  包头市,  Baotou,26,78.63,96.33,100.00
  乌海市,  Wuhai,26,83.30,98.53,100.00
  赤峰市,  Chifeng,22,93.90,97.94,100.00
  通辽市,  Tongliao,28,89.00,98.97,100.00
  鄂尔多斯市,  Erdos,20,86.80,99.45,100.00
  呼伦贝尔市,  Hulunbuir,18,100.00,99.00,100.00
  巴彦淖尔市,  Bayannur,26,85.80,98.76,100.00
  乌兰察布市,  Ulanqab,23,90.70,100.00,99.31
辽宁省,Liaoning,,,,
  沈阳市,  Shenyang,33,88.20,98.79,100.00
  大连市,  Dalian,29,87.40,98.19,100.00
  鞍山市,  Anshan,35,88.80,96.72,100.00
  抚顺市,  Fushun,35,81.90,90.17,100.00
  本溪市,  Benxi,32,95.60,99.16,100.00
  丹东市,  Dandong,26,94.20,92.96,100.00
  锦州市,  Jinzhou,38,79.70,100.00,100.00
  营口市,  Yingkou,34,85.80,96.02,100.00
  阜新市,  Fuxin,31,81.60,100.00,98.81
  辽阳市,  Liaoyang,34,89.80,100.00,100.00
  盘锦市,  Panjin,29,90.10,100.00,100.00
  铁岭市,  Tieling,35,89.60,88.13,100.00
  朝阳市,  Chaoyang,29,88.20,100.00,100.00
  葫芦岛市,  Huludao,35,77.80,99.04,100.00
吉林省,Jilin,,,,
  长春市,  Changchun,32,86.03,100.00,100.00
  吉林市,  Jilin,32,89.00,,
  四平市,  Siping,32,87.67,100.00,100.00
  辽源市,  Liaoyuan,30,88.70,96.61,100.00
  通化市,  Tonghua,22,96.70,99.05,100.00
  白山市,  Baishan,23,96.90,97.76,100.00
  松原市,  Songyuan,30,86.80,100.00,100.00
  白城市,  Baicheng,,,97.26,100.00
黑龙江省,Heilongjiang,,,,
  哈尔滨市,  Harbin,36,84.90,96.04,100.00
  齐齐哈尔市,  Qiqihar,22,92.50,94.09,100.00
  鸡西市,  Jixi,28,93.20,,100.00
  鹤岗市,  Hegang,20,98.36,99.18,100.00
  双鸭山市,  Shuangyashan,24,95.60,97.73,
  大庆市,  Daqing,26,92.00,83.66,100.00
  伊春市,  Yichun,22,98.30,98.40,100.00
  佳木斯市,  Jiamusi,27,93.70,100.00,95.00
  七台河市,  Qitaihe,28,93.00,95.28,100.00
  牡丹江市,  Mudanjiang,28,95.10,100.00,
  黑河市,  Heihe,17,98.60,97.07,100.00
  绥化市,  Suihua,38,88.10,99.66,100.00
上海市,Shanghai,28,87.70,,100.00
江苏省,Jiangsu,,,,
  南京市,  Nanjing,29,81.90,100.00,100.00
  无锡市,  Wuxi,28,82.50,97.78,100.00
  徐州市,  Xuzhou,43,66.00,95.20,100.00
  常州市,  Changzhou,34,78.80,93.80,100.00
  苏州市,  Suzhou,29,81.00,93.90,100.00
  南通市,  Nantong,27,83.60,97.02,100.00
  连云港市,  Lianyungang,32,78.90,98.16,100.00
  淮安市,  Huai'an,36,79.50,93.36,100.00
  盐城市,  Yancheng,28,83.40,95.97,100.00
  扬州市,  Yangzhou,34,77.10,95.70,100.00
