Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
2-6地区生产总值,,,,,,,
,,,,,,,
Gross Regional Product,,,,,,,
,,,,,,,
城 市,City,地区生产总值（当年价格） （亿元） Gross Regional Product （Current Prices） （100 000 000 yuan）,,人均地区生产总值 (元) Per Capita GRP (yuan),,地区生产总值增长率 (%) GRP Growth Rate (%),
,,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City
北京市,Beijing,43761,43761,200278,200278,5.20,5.20
天津市,Tianjin,16737,16737,122752,122752,4.27,4.27
河北省,Hebei,,,,,,
  石家庄市,  Shijiazhuang,7534,4710,67099,81615,6.10,6.40
  唐山市,  Tangshan,9133,5301,118418,139772,5.85,6.20
  秦皇岛市,  Qinhuangdao,2001,1358,64491,72044,5.60,5.87
  邯郸市,  Handan,4382,1808,47493,49189,5.65,3.88
  邢台市,  Xingtai,2586,813,36994,39014,4.10,3.40
  保定市,  Baoding,4825,1792,41990,53595,6.18,5.51
  张家口市,  Zhangjiakou,1843,887,45360,51065,5.05,5.06
  承德市,  Chengde,1852,474,55915,65140,5.55,5.77
  沧州市,  Cangzhou,4440,661,60909,83067,5.75,5.27
  廊坊市,  Langfang,3608,1072,65763,95335,3.80,5.30
  衡水市,  Hengshui,1888,634,45364,55748,5.60,6.00
山西省,Shanxi,,,,,,
  太原市,  Taiyuan,5574,5011,102370,107293,3.80,4.00
  大同市,  Datong,1872,1390,60580,68160,5.10,5.30
  阳泉市,  Yangquan,1003,658,76830,90706,3.20,3.14
  长治市,  Changzhi,2806,1394,89536,82713,5.60,4.30
  晋城市,  Jincheng,2333,431,107003,73606,7.00,3.50
  朔州市,  Shuozhou,1539,915,97133,109257,4.70,7.60
  晋中市,  Jinzhong,2091,470,61760,37237,4.00,-0.80
  运城市,  Yuncheng,2330,413,49445,42300,5.60,7.60
  忻州市,  Xinzhou,1444,248,54578,42960,3.00,6.30
  临汾市,  Linfen,2312,476,59342,50355,7.60,8.60
  吕梁市,  Lvliang,2366,222,70450,47478,4.30,-0.30
内蒙古自治区,Inner Mongolia,,,,,,
  呼和浩特市,  Hohhot,3802,2684,106337,100541,10.00,8.60
  包头市,  Baotou,4264,3808,155050,163198,10.18,10.38
  乌海市,  Wuhai,713,713,127342,127342,0.10,0.10
  赤峰市,  Chifeng,2198,887,55144,60316,4.81,3.88
  通辽市,  Tongliao,1609,351,57056,49917,5.20,5.30
  鄂尔多斯市,  Erdos,5850,1171,264699,165297,7.00,10.49
  呼伦贝尔市,  Hulunbuir,1596,293,73192,76519,6.10,7.05
  巴彦淖尔市,  Bayannur,1161,378,76893,65222,7.95,9.33
  乌兰察布市,  Ulanqab,1085,266,67158,61503,7.80,8.40
辽宁省,Liaoning,,,,,,
  沈阳市,  Shenyang,8122,7470,88519,93118,6.10,6.10
  大连市,  Dalian,8753,6873,116557,117279,5.95,6.19
  鞍山市,  Anshan,2012,1052,61658,69171,5.70,5.53
  抚顺市,  Fushun,949,801,52663,63737,4.40,4.20
  本溪市,  Benxi,971,799,77217,85639,5.75,5.09
  丹东市,  Dandong,945,358,44926,41020,6.05,6.70
  锦州市,  Jinzhou,1253,706,47577,65027,5.40,5.33
  营口市,  Yingkou,1479,990,64999,83386,5.30,6.16
  阜新市,  Fuxin,602,283,38310,38310,4.60,2.19
  辽阳市,  Liaoyang,878,561,57132,65765,1.60,-0.90
  盘锦市,  Panjin,1382,1231,99717,105629,1.65,2.66
  铁岭市,  Tieling,765,178,33596,47907,5.35,4.76
  朝阳市,  Chaoyang,1044,265,37368,38403,5.30,5.30
  葫芦岛市,  Huludao,912,432,38815,46546,6.00,6.05
吉林省,Jilin,,,,,,
  长春市,  Changchun,7002,5798,77084,98827,6.56,6.75
  吉林市,  Jilin,1584,1014,44932,53651,6.70,6.40
  四平市,  Siping,589,200,34922,34064,5.90,5.60
  辽源市,  Liaoyuan,517,240,54345,38193,5.70,5.60
  通化市,  Tonghua,614,246,50644,56004,5.59,5.44
  白山市,  Baishan,553,235,61378,46956,5.30,4.60
  松原市,  Songyuan,893,302,41654,43765,5.90,5.20
  白城市,  Baicheng,593,187,40199,41150,6.00,5.91
黑龙江省,Heilongjiang,,,,,,
  哈尔滨市,  Harbin,5576,4313,56901,62292,3.10,3.70
  齐齐哈尔市,  Qiqihar,1328,503,34036,37068,1.60,1.60
  鸡西市,  Jixi,656,233,45684,36098,1.30,-3.70
  鹤岗市,  Hegang,384,204,44915,39174,2.20,0.70
  双鸭山市,  Shuangyashan,541,202,46701,52957,2.20,-0.40
  大庆市,  Daqing,2862,2324,105493,134650,1.75,0.95
  伊春市,  Yichun,358,142,43198,41647,3.67,2.62
  佳木斯市,  Jiamusi,909,225,43504,26776,3.30,3.50
  七台河市,  Qitaihe,263,146,39710,41629,3.40,4.00
  牡丹江市,  Mudanjiang,953,313,43181,34476,4.23,4.75
  黑河市,  Heihe,661,84,53250,38458,4.00,3.80
  绥化市,  Suihua,1235,219,,,3.00,2.90
上海市,Shanghai,47219,47219,190300,190300,5.00,5.00
江苏省,Jiangsu,,,,,,
  南京市,  Nanjing,17421,17421,183015,183015,4.55,4.55
  无锡市,  Wuxi,15456,8158,206278,184486,6.00,6.10
  徐州市,  Xuzhou,8900,4404,98683,122012,7.10,5.90
  常州市,  Changzhou,10116,8559,188366,187524,6.80,6.30
  苏州市,  Suzhou,24653,11612,190605,170260,4.10,4.40
  南通市,  Nantong,11813,6014,152508,157185,5.80,5.70
  连云港市,  Lianyungang,4364,2666,94917,118937,10.20,12.20
  淮安市,  Huai'an,5015,3294,110329,,7.80,7.80
  盐城市,  Yancheng,7404,2924,110681,123171,5.90,5.00
  扬州市,  Yangzhou,7423,4382,161940,165104,6.00,6.10
  镇江市,  Zhenjiang,5264,2401,163272,188701,6.30,6.38
  泰州市,  Taizhou,6732,2843,149383,164218,6.80,6.40
  宿迁市,  Suqian,4398,1560,88379,95824,7.80,7.20
浙江省,Zhejiang,,,,,,
  杭州市,  Hangzhou,20059,18859,161129,168040,5.55,5.54
  宁波市,  Ningbo,16453,10471,170363,199885,5.50,5.10
  温州市,  Wenzhou,8731,3347,89821,108213,6.94,5.95
  嘉兴市,  Jiaxing,7062,1904,126851,120300,6.25,5.85
  湖州市,  Huzhou,4015,1825,117195,118851,5.80,5.83
  绍兴市,  Shaoxing,7791,4678,144992,153508,7.75,7.85
  金华市,  Jinhua,6011,1126,84133,75374,6.76,6.56
  衢州市,  Quzhou,2125,998,92662,108689,6.80,7.28
  舟山市,  Zhoushan,2101,1154,179322,129149,8.24,5.51
  台州市,  Taizhou,6241,2211,93214,99610,4.50,4.90
  丽水市,  Lishui,1964,518,77908,90403,7.50,7.60
安徽省,Anhui,,,,,,
  合肥市,  Hefei,12674,8404,130074,155434,5.75,4.64
  芜湖市,  Wuhu,4741,3736,126648,138360,5.70,5.58
  蚌埠市,  Bengbu,2116,1139,64402,86166,5.60,4.00
  淮南市,  Huainan,1602,931,53005,59636,5.05,5.05
