Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
2-7地区生产总值构成,,,,,,,
,,,,,,,
Composition of Gross Regional Product,,,,,,,
,,,,,,,
单位：%,,,,,,,
城 市,City,第一产业占 地区生产总值的比重 Primary Industry as Percentage to GRP,,第二产业占 地区生产总值的比重 Secondary Industry as Percentage to GRP,,第三产业占 地区生产总值的比重 Tertiary Industry as Percentage to GRP,
,,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City
北京市,Beijing,0.24,0.24,14.91,14.91,84.85,84.85
天津市,Tianjin,1.60,1.60,35.74,35.74,62.65,62.65
河北省,Hebei,,,,,,
  石家庄市,  Shijiazhuang,7.66,1.83,30.65,28.82,61.69,69.35
  唐山市,  Tangshan,7.17,4.03,51.02,51.11,41.80,44.85
  秦皇岛市,  Qinhuangdao,12.99,5.77,32.00,32.99,55.00,61.24
  邯郸市,  Handan,10.26,6.41,41.24,38.40,48.50,55.19
  邢台市,  Xingtai,13.52,7.61,36.15,38.37,50.33,54.02
  保定市,  Baoding,11.87,5.27,34.44,39.78,53.69,54.95
  张家口市,  Zhangjiakou,17.46,7.95,25.19,24.69,57.35,67.36
  承德市,  Chengde,23.24,1.22,31.69,43.64,45.07,55.13
  沧州市,  Cangzhou,8.39,0.12,37.99,30.19,53.62,69.69
  廊坊市,  Langfang,6.04,1.30,31.98,18.16,61.98,71.17
  衡水市,  Hengshui,13.76,4.50,32.30,34.82,53.94,60.67
山西省,Shanxi,,,,,,
  太原市,  Taiyuan,0.82,0.28,42.01,39.25,57.16,60.47
  大同市,  Datong,6.09,2.51,42.49,44.45,51.42,53.04
  阳泉市,  Yangquan,1.75,0.55,53.34,50.09,44.91,49.35
  长治市,  Changzhi,3.66,2.42,64.67,57.93,31.67,39.65
  晋城市,  Jincheng,3.48,0.19,64.52,23.32,31.99,76.49
  朔州市,  Shuozhou,6.72,2.32,47.20,49.88,46.08,47.80
  晋中市,  Jinzhong,7.56,10.21,53.53,26.86,38.91,62.93
  运城市,  Yuncheng,14.85,6.35,41.12,28.56,44.03,65.09
  忻州市,  Xinzhou,9.15,6.94,50.18,30.34,40.67,62.72
  临汾市,  Linfen,7.70,3.28,53.30,30.66,39.01,66.06
  吕梁市,  Lvliang,4.64,1.54,67.35,53.24,28.01,45.22
内蒙古自治区,Inner Mongolia,,,,,,
  呼和浩特市,  Hohhot,4.41,1.32,35.19,27.10,60.40,71.57
  包头市,  Baotou,3.17,1.09,54.63,55.20,42.20,43.71
  乌海市,  Wuhai,1.12,1.12,63.83,63.83,35.04,35.04
  赤峰市,  Chifeng,20.95,12.29,32.59,35.45,46.46,52.26
  通辽市,  Tongliao,25.31,16.97,30.64,22.58,44.05,60.45
  鄂尔多斯市,  Erdos,3.46,0.20,67.33,41.70,29.21,58.09
  呼伦贝尔市,  Hulunbuir,24.81,3.63,34.07,37.40,41.12,58.97
  巴彦淖尔市,  Bayannur,26.69,22.24,32.60,28.98,40.71,48.77
  乌兰察布市,  Ulanqab,17.13,2.25,43.45,45.98,39.42,51.77
辽宁省,Liaoning,,,,,,
  沈阳市,  Shenyang,4.12,2.06,36.36,37.51,59.52,60.43
  大连市,  Dalian,6.81,3.41,42.45,41.32,50.75,55.27
  鞍山市,  Anshan,6.22,0.77,40.11,47.78,53.67,51.46
  抚顺市,  Fushun,6.40,1.40,47.12,51.68,46.49,46.91
  本溪市,  Benxi,6.12,4.07,47.80,50.86,46.09,45.07
  丹东市,  Dandong,20.65,5.63,24.84,25.79,54.50,68.58
  锦州市,  Jinzhou,18.19,2.77,26.59,35.80,55.22,61.44
  营口市,  Yingkou,8.86,3.04,41.63,46.74,49.51,50.22
  阜新市,  Fuxin,21.63,1.30,25.86,32.36,52.51,66.34
  辽阳市,  Liaoyang,11.74,3.45,40.02,48.80,48.23,47.75
  盘锦市,  Panjin,7.91,4.91,50.20,52.22,41.89,42.86
  铁岭市,  Tieling,22.51,2.65,28.34,26.54,49.16,70.82
  朝阳市,  Chaoyang,23.79,7.88,27.95,29.12,48.26,63.00
  葫芦岛市,  Huludao,17.33,5.56,35.91,49.75,46.76,44.69
吉林省,Jilin,,,,,,
  长春市,  Changchun,7.58,1.50,37.37,42.04,55.05,56.46
  吉林市,  Jilin,13.12,3.12,36.39,43.46,50.49,53.42
  四平市,  SiPing,32.45,3.16,20.08,36.17,47.47,60.66
  辽源市,  Liaoyuan,10.60,1.13,30.43,38.25,58.97,60.62
  通化市,  Tonghua,11.78,1.51,29.33,30.67,58.89,67.82
  白山市,  Baishan,13.05,9.17,26.03,28.10,60.92,62.72
  松原市,  Songyuan,28.06,4.91,23.71,40.18,48.23,54.91
  白城市,  Baicheng,27.74,14.94,18.84,26.21,53.42,58.85
黑龙江省,Heilongjiang,,,,,,
  哈尔滨市,  Harbin,11.30,4.72,23.20,26.85,65.50,68.42
  齐齐哈尔市,  Qiqihar,30.82,7.43,22.24,25.74,46.94,66.83
  鸡西市,  Jixi,34.81,6.38,24.07,47.56,41.12,46.06
  鹤岗市,  Hegang,27.67,8.17,32.62,48.50,39.71,43.33
  双鸭山市,  Shuangyashan,39.35,11.86,24.99,51.98,35.65,36.17
  大庆市,  Daqing,8.79,2.63,57.12,64.19,34.08,33.17
  伊春市,  Yichun,35.67,20.26,20.25,19.02,44.08,60.71
  佳木斯市,  Jiamusi,45.08,15.66,13.53,23.02,41.39,61.33
  七台河市,  Qitaihe,16.52,12.35,41.79,43.53,41.69,44.12
  牡丹江市,  Mudanjiang,23.36,6.15,20.38,22.90,56.26,70.95
  黑河市,  Heihe,40.36,16.53,14.26,17.96,45.38,65.51
  绥化市,  Suihua,46.11,40.55,13.37,18.08,40.52,41.37
上海市,Shanghai,0.20,0.20,24.59,24.59,75.20,75.20
江苏省,Jiangsu,,,,,,
  南京市,  Nanjing,1.82,1.82,34.03,34.03,64.14,64.14
  无锡市,  Wuxi,0.88,0.47,47.73,44.13,51.39,55.39
  徐州市,  Xuzhou,8.66,3.51,40.70,42.28,50.64,54.21
  常州市,  Changzhou,1.77,1.39,48.02,46.87,50.22,51.74
  苏州市,  Suzhou,0.79,0.57,46.81,44.86,52.39,54.57
  南通市,  Nantong,4.40,2.52,48.49,47.35,47.11,50.13
  连云港市,  Lianyungang,9.98,6.45,46.10,48.77,43.92,44.79
  淮安市,  Huai'an,9.23,7.30,40.34,40.16,50.43,52.54
  盐城市,  Yancheng,11.06,8.01,40.27,42.24,48.67,49.75
  扬州市,  Yangzhou,4.54,2.62,47.28,45.65,48.18,51.73
  镇江市,  Zhenjiang,3.18,1.41,47.63,44.22,49.19,54.37
  泰州市,  Taizhou,5.12,3.04,48.41,48.69,46.47,48.27
  宿迁市,  Suqian,8.86,5.70,44.15,45.98,46.99,48.32
浙江省,Zhejiang,,,,,,
  杭州市,  Hangzhou,1.73,1.24,28.25,27.37,70.02,71.38
  宁波市,  Ningbo,2.33,1.06,45.83,41.04,51.84,57.89
  温州市,  Wenzhou,2.06,0.63,41.31,37.71,56.63,61.65
  嘉兴市,  Jiaxing,2.00,1.81,53.48,48.09,44.52,50.10
  湖州市,  Huzhou,3.96,3.21,49.28,48.51,46.76,48.27
  绍兴市,  Shaoxing,3.07,2.43,47.86,48.42,49.07,49.16
  金华市,  Jinhua,2.60,2.77,39.38,35.50,58.02,61.73
  衢州市,  Quzhou,4.29,2.91,42.76,43.54,52.95,53.55
  舟山市,  Zhoushan,8.75,9.16,47.81,27.85,43.44,62.99
  台州市,  Taizhou,5.35,2.59,42.12,38.87,52.53,58.54
  丽水市,  Lishui,5.86,4.27,37.67,32.86,56.47,62.87
安徽省,Anhui,,,,,,
  合肥市,  Hefei,2.98,0.11,36.63,33.66,60.40,66.22
  芜湖市,  Wuhu,3.86,2.09,46.01,46.03,50.13,51.88
  蚌埠市,  Bengbu,13.25,3.12,32.27,40.99,54.48,55.89
  淮南市,  Huainan,9.52,4.79,41.06,41.13,49.42,54.08
  马鞍山市,  Ma'anshan,4.21,1.10,46.52,46.12,49.27,52.78
  淮北市,  Huaibei,6.57,3.77,42.84,36.57,50.60,59.66
  铜陵市,  Tongling,5.17,2.81,46.28,50.26,48.55,46.92
  安庆市,  Anqing,8.91,2.01,42.53,42.72,48.56,55.27
  黄山市,  Huangshan,7.63,4.60,34.39,32.96,57.98,62.44
  滁州市,  Chuzhou,7.80,2.24,49.25,59.29,42.95,38.47
  阜阳市,  Fuyang,13.03,8.65,35.18,32.08,51.79,59.27
  宿州市,  Suzhou,14.77,9.09,32.26,36.95,52.97,53.97
  六安市,  Lu'an,12.88,11.47,39.01,34.93,48.11,53.60
  亳州市,  Bozhou,12.93,10.31,34.85,40.91,52.22,48.77
  池州市,  Chizhou,8.75,6.51,43.96,48.01,47.29,45.48
  宣城市,  Xuancheng,9.21,10.30,46.44,38.71,44.35,51.00
福建省,Fujian,,,,,,
  福州市,  Fuzhou,5.58,1.38,36.16,28.90,58.26,69.72
  厦门市,  Xiamen,0.34,0.34,35.55,35.55,64.10,64.10
  莆田市,  Putian,4.88,5.12,48.96,49.07,46.16,45.82
  三明市,  Sanning,11.81,5.84,44.65,46.86,43.55,47.30
  泉州市,  Quanzhou,2.15,0.84,53.15,40.81,44.70,58.35
  漳州市,  Zhangzhou,10.46,3.76,47.04,53.04,42.50,43.20
  南平市,  Nanping,16.81,12.22,35.68,36.85,47.51,50.94
  龙岩市,  Longyan,9.73,6.29,40.36,42.26,49.91,51.45
  宁德市,  Ningde,10.54,3.28,56.11,71.33,33.36,25.39
江西省,Jiangxi,,,,,,
  南昌市,  Nanchang,3.43,1.50,46.32,44.63,50.25,53.87
  景德镇市,  Jingdezhen,6.38,1.25,43.07,38.19,50.55,60.56
  萍乡市,  Pingxiang,6.75,3.35,41.28,40.24,51.97,56.41
  九江市,  Jiujiang,6.77,2.03,43.29,41.37,49.94,56.60
  新余市,  Xinyu,5.91,4.98,40.49,41.59,53.60,53.43
  鹰潭市,  Yingtan,5.85,5.33,51.53,43.72,42.63,50.96
  赣州市,  Ganzhou,9.91,3.35,39.17,40.94,50.92,55.71
  吉安市,  Ji'an,9.44,4.41,44.10,38.54,46.47,57.05
  宜春市,  Yichun,10.04,8.09,41.01,34.93,48.96,56.97
  抚州市,  Fuzhou,11.94,9.73,39.09,45.39,48.96,44.88
  上饶市,  Shangrao,9.79,4.46,38.48,42.68,51.73,52.86
山东省,Shandong,,,,,,
  济南市,  Jinan,3.37,2.68,33.80,33.34,62.83,63.98
  青岛市,  Qingdao,3.13,1.73,33.43,32.74,63.45,65.54
  淄博市,  Zibo,4.26,2.56,48.69,48.45,47.06,48.99
  枣庄市,  Zaozhuang,9.31,8.82,38.15,34.95,52.54,56.23
