Unnamed: 0,Unnamed: 1,Unnamed: 2
3-1人口状况,,
Population,,
,,
单位：万人,,
城市,City,年末户籍人口 Household Registered Population at Year-end
河北省,Hebei,
  辛集市,  Xinji,62
  晋州市,  Jinzhou,57
  新乐市,  Xinle,52
  遵化市,  Zunhua,74
  迁安市,  Qian'an,77
  滦州市,  Luanzhou,56
  武安市,  Wu'an,86
  南宫市,  Nangong,50
  沙河市,  Shahe,47
  涿州市,  Zhuozhou,70
  定州市,  Dingzhou,123
  安国市,  Anguo,41
  高碑店市,  Gaobeidian,57
  平泉市,  Pingquan,47
  泊头市,  Botou,62
  任丘市,  Renqiu,81
  黄骅市,  Huanghua,49
  河间市,  Hejian,90
  霸州市,  Bazhou,66
  三河市,  Sanhe,78
  深州市,  Shenzhou,54
山西省,Shanxi,
  古交市,  Gujiao,21
  高平市,  Gaoping,48
  怀仁市,  Huairen,30
  介休市,  Jiexiu,45
  永济市,  Yongji,44
  河津市,  Hejin,40
  原平市,  Yuanping,47
  侯马市,  Houma,24
  霍州市,  Huozhou,30
  孝义市,  Xiaoyi,50
  汾阳市,  Fenyang,43
内蒙古自治区,Inner Mongolia,
  霍林郭勒市,  Huolinguole,8
  满洲里市,  Manzhouli,9
  牙克石市,  Yakeshi,30
  扎兰屯市,  Zhalantun,39
  额尔古纳市,  Eerguna,8
  根河市,  Genhe,12
  丰镇市,  Fengzhen,30
  乌兰浩特市,  Wulanhaote,32
  阿尔山市,  Aershan,4
  二连浩特市,  Erlianhaote,4
  锡林浩特市,  Xilinhaote,21
辽宁省,Liaoning,
  新民市,  Xinmin,63
  瓦房店市,  Wafangdian,94
  庄河市,  Zhuanghe,84
  海城市,  Haicheng,103
  东港市,  Donggang,57
  凤城市,  Fengcheng,53
  凌海市,  Linghai,48
  北镇市,  Beizhen,47
  盖州市,  Gaizhou,65
  大石桥市,  Dashiqiao,66
  灯塔市,  Dengta,42
  调兵山市,  Diaobingshan,21
  开原市,  Kaiyuan,53
  北票市,  Beipiao,52
  凌源市,  Lingyuan,62
  兴城市,  Xingcheng,51
吉林省,Jilin,
  榆树市,  Yushu,118
  德惠市,  Dehui,85
  公主岭市,  Gongzhuling,100
  蛟河市,  Jiaohe,39
  桦甸市,  Huadian,40
  舒兰市,  Shulan,58
  磐石市,  Panshi,48
  双辽市,  Shuangliao,38
  梅河口市,  Meihekou,57
  集安市,  Ji'an,20
  临江市,  Linjiang,14
  扶余市,  Fuyu,70
  洮南市,  Taonan,39
  大安市,  Daan,36
  延吉市,  Yanji,57
  图们市,  Tumen,10
  敦化市,  Dunhua,43
  珲春市,  Hunchun,22
  龙井市,  Longjing,14
  和龙市,  Helong,15
黑龙江省,Heilongjiang,
  尚志市,  Shangzhi,54
  五常市,  Wuchang,87
  讷河市,  Nehe,67
  虎林市,  Hulin,26
  密山市,  Mishan,37
  铁力市,  Tieli,27
  同江市,  Tongjiang,17
  富锦市,  Fujin,44
  抚远市,  Fuyuan,8
  绥芬河市,  Suifenhe,7
  海林市,  Hailin,33
  宁安市,  Ning'an,39
  穆棱市,  Muling,25
  东宁市,  Dongning,19
  北安市,  Bei'an,40
  五大连池市,  Wudalianchi,32
  嫩江市,  Nenjiang,43
  安达市,  Anda,43
  肇东市,  Zhaodong,83
  海伦市,  Hailun,73
  漠河市,  Mohe,6
江苏省,Jiangsu,
  江阴市,  Jiangyin,127
  宜兴市,  Yixing,106
  新沂市,  Xinyi,109
  邳州市,  Pizhou,190
  溧阳市,  Liyang,78
  常熟市,  Changshu,105
  张家港市,  Zhangjiagang,92
  昆山市,  Kunshan,126
  太仓市,  Taicang,54
  启东市,  Qidong,107
  如皋市,  Rugao,138
  海安市,  Haian,89
  东台市,  Dongtai,103
  仪征市,  Yizheng,54
  高邮市,  Gaoyou,77
  丹阳市,  Danyang,78
  扬中市,  yang7hong,28
  句容市,  Jurong,58
  兴化市,  Xinghua,147
  靖江市,  Jingjiang,63
  泰兴市,  Taixing,113
浙江省,Zhejiang,
  建德市,  Jiande,50
  余姚市,  Yuyao,83
  慈溪市,  Cixi,107
  瑞安市,  Rui'an,125
  乐清市,  Yueqing,131
  龙港市,  Longgang,38
  海宁市,  Haining,72
  平湖市,  Pinghu,52
  桐乡市,  Tongxiang,72
  诸暨市,  Zhuji,107
  嵊州市,  Shengzhou,70
  兰溪市,  Lanxi,65
  义乌市,  Yiwu,91
  东阳市,  Dongyang,85
  永康市,  Yongkang,63
  江山市,  Jiangshan,60
  温岭市,  Wenling,121
  临海市,  Linhai,119
  玉环市,  Yuhuan,44
  龙泉市,  Longquan,29
安徽省,Anhui,
  巢湖市,  Chaohu,84
  无为市,  Wuwei,121
  桐城市,  Tongcheng,74
  潜山市,  Qianshan,59
  天长市,  Tianchang,63
  明光市,  Mingguang,63
  界首市,  Jieshou,83
  宁国市,  Ningguo,38
  广德市,  Guangde,51
福建省,Fujian,
  福清市,  Fuqing,141
  永安市,  Yong'an,32
  石狮市,  Shishi,38
  晋江市,  Jinjiang,126
  南安市,  Nan'an,166
  邵武市,  Shaowu,30
  武夷山市,  Wuyishan,25
  建瓯市,  Jian'ou,53
  漳平市,  Zhangping,29
  福安市,  Fu'an,67
  福鼎市,  Fuding,60
江西省,Jiangxi,
  乐平市,  Leping,94
  瑞昌市,  Ruichang,45
  共青城市,  Gongqingcheng,12
  庐山市,  Lushan,28
  贵溪市,  Guixi,64
  瑞金市,  Ruijin,71
  龙南市,  Longnan,34
  井冈山市,  Jinggangshan,19
  丰城市,  Fengcheng,146
  樟树市,  Zhangshu,60
  高安市,  Gaoan,86
  德兴市,  Dexing,33
山东省,Shandong,
  胶州市,  Jiaozhou,88
  平度市,  Pingdu,136
  莱西市,  Laixi,73
  滕州市,  Tengzhou,174
  龙口市,  Longkou,62
  莱阳市,  Laiyang,81
  莱州市,  Laizhou,81
  招远市,  Zhaoyuan,54
  栖霞市,  Qixia,48
  海阳市,  Haiyang,61
  青州市,  Qingzhou,96
  诸城市,  Zhucheng,111
  寿光市,  Shouguang,111
  安丘市,  Anqiu,96
  高密市,  Gaomi,89
  昌邑市,  Changyi,57
  曲阜市,  Qufu,65
  邹城市,  Zoucheng,120
  新泰市,  Xintai,143
  肥城市,  Feicheng,95
  荣成市,  Rongcheng,64
  乳山市,  Rushan,52
  乐陵市,  Laoling,70
  禹城市,  Yucheng,53
  临清市,  Linqing,83
  邹平市,  Zouping,74
河南省,Henan,
  巩义市,  Gongyi,85
  荥阳市,  Xingyang,72
  新密市,  Xinmi,89
  新郑市,  Xinzheng,66
  登封市,  Dengfeng,73
  舞钢市,  Wugang,33
  汝州市,  Ruzhou,118
  林州市,  Linzhou,113
  卫辉市,  Weihui,54
  辉县市,  Huixian,93
  长垣市,  Changyuan,104
  沁阳市,  Qinyang,49
  孟州市,  Mengzhou,38
  禹州市,  Yuzhou,134
  长葛市,  Changge,78
  义马市,  Yima,14
  灵宝市,  Lingbao,74
  邓州市,  Dengzhou,185
  永城市,  Yongcheng,164
  项城市,  Xiangcheng,134
  济源市,  Jiyuan,73
湖北省,Hubei,
  大冶市,  Daye,100
  丹江口市,  Danjiangkou,45
  宜都市,  Yidu,38
  当阳市,  Dangyang,46
  枝江市,  Zhijiang,46
  老河口市,  Laohekou,50
  枣阳市,  Zaoyang,110
  宜城市,  Yicheng,55
  钟祥市,  Zhongxiang,101
  京山市,  Jingshan,67
  应城市,  Yingcheng,62
  安陆市,  Anlu,59
  汉川市,  Hanchuan,102
  石首市,  Shishou,59
  洪湖市,  Honghu,89
