Unnamed: 0,Unnamed: 1,Unnamed: 2
3-2行政区域土地面积,,
Total Land Area of Administrative region,,
,,
单位：平方公里                                                                             (sq.km),,
,,
城 市,City,行政区域土地面积 Total Land Area of Administrative region
河北省,Hebei,
  辛集市,  Xinji,951
  晋州市,  Jinzhou,619
  新乐市,  Xinle,525
  遵化市,  Zunhua,1514
  迁安市,  Qian'an,1227
  滦州市,  Luanzhou,1027
  武安市,  Wu'an,1818
  南宫市,  Nangong,863
  沙河市,  Shahe,830
  涿州市,  Zhuozhou,751
  定州市,  Dingzhou,1284
  安国市,  Anguo,486
  高碑店市,  Gaobeidian,620
  平泉市,  Pingquan,3294
  泊头市,  Botou,1009
  任丘市,  Renqiu,872
  黄骅市,  Huanghua,2425
  河间市,  Hejian,1322
  霸州市,  Bazhou,802
  三河市,  Sanhe,634
  深州市,  Shenzhou,1245
山西省,Shanxi,
  古交市,  Gujiao,1512
  高平市,  Gaoping,980
  怀仁市,  Huairen,1234
  介休市,  Jiexiu,741
  永济市,  Yongji,1208
  河津市,  Hejin,593
  原平市,  Yuanping,2550
  侯马市,  Houma,220
  霍州市,  Huozhou,765
  孝义市,  Xiaoyi,938
  汾阳市,  Fenyang,1181
内蒙古自治区,Inner Mongolia,
  霍林郭勒市,  Huolinguole,585
  满洲里市,  Manzhouli,466
  牙克石市,  Yakeshi,27803
  扎兰屯市,  Zhalantun,16784
  额尔古纳市,  Eerguna,28959
  根河市,  Genhe,20010
  丰镇市,  Fengzhen,2722
  乌兰浩特市,  Wulanhaote,2728
  阿尔山市,  Aershan,7398
  二连浩特市,  Erlianhaote,4013
  锡林浩特市,  Xilinhaote,14778
辽宁省,Liaoning,
  新民市,  Xinrnin,3318
  瓦房店市,  Wafangdian,3747
  庄河市,  Zhuanghe,4115
  海城市,  Haichcng,2566
  东港市,  Donggang,2399
  凤城市,  Fengcheng,5515
  凌海市,  Linghai,2579
  北镇市,  Beizhen,1693
  盖州市,  Gaizhou,2946
  大石桥市,  Dashiqiao,1610
  灯塔市,  Dengta,1170
  调兵山市,  Diaobingshan,262
  开原市,  Kaiyuan,2838
  北票市,  Beipiao,4419
  凌源市,  Lingyuan,3282
  兴城市,  Xingcheng,2103
吉林省,Jilin,
  榆树市,  Yushu,4712
  德惠市,  Dehui,3461
  公主岭市,  Gongzhuling,4141
  蛟河市,  Jiaohe,6370
  桦甸市,  Huadian,6625
  舒兰市,  Shulan,4560
  磐石市,  Panshi,3861
  双辽市,  Shuangliao,3097
  梅河口市,  Meihekou,2179
  集安市,  Ji'an,3349
  临江市,  Linjiang,3009
  扶余市,  Fuyu,4388
  洮南市,  Taonan,5017
  大安市,  Daan,4879
  延吉市,  Yanji,1748
  图们市,  Tumen,1143
  敦化市,  Dunhua,11957
  珲春市,  Hunchun,5171
  龙井市,  Longjing,2207
  和龙市,  Helong,5069
黑龙江省,Heilongjiang,
  尚志市,  Shangzhi,8891
  五常市,  Wuchang,7499
  讷河市,  Nehe,6660
  虎林市,  Hulin,9334
  密山市,  Mishan,7728
  铁力市,  Tieli,3776
  同江市,  Tongjiang,6229
  富锦市,  Fujin,8224
  抚远市,  Fuyuan,6041
  绥芬河市,  Suifenhe,422
  海林市,  Hailin,8712
  宁安市,  Ning'an,7201
  穆棱市,  Muling,6041
  东宁市,  Dongning,7117
  北安市,  Bei'an,7194
  五大连池市,  Wudalianchi,8745
  嫩江市,  Nenjiang,15211
  安达市,  Anda,3586
  肇东市,  Zhaodong,4323
  海伦市,  Hailun,4642
  漠河市,  Mohe,18428
江苏省,Jiangsu,
  江阴市,  Jiangyin,987
  宜兴市,  Yixing,1997
  新沂市,  Xinyi,1592
  邳州市,  Pizhou,2085
  溧阳市,  Liyang,1536
  常熟市,  Changshu,1276
  张家港市,  Zhangjiagang,987
  昆山市,  Kunshan,932
  太仓市,  Taicang,810
  启东市,  Qidong,1681
  如皋市,  Rugao,1574
  海安市,  Haian,1184
  东台市,  Dongtai,3558
  仪征市,  Yizheng,902
  高邮市,  Gaoyou,1922
  丹阳市,  Danyang,1047
  扬中市,  Yangzhong,327
  句容市,  Jurong,1378
  兴化市,  Xinghua,2395
  靖江市,  Jingjiang,656
  泰兴市,  Taixing,1167
浙江省,Zhejiang,
  建德市,  Jiande,2314
  余姚市,  Yuyao,1501
  慈溪市,  Cixi,1361
  瑞安市,  Rui'an,1342
  乐清市,  Yueqing,1396
  龙港市,  Longgang,184
  海宁市,  Haining,863
  平湖市,  Pinghu,557
  桐乡市,  Tongxiang,728
  诸暨市,  Zhuji,2311
  嵊州市,  Shengzhou,1789
  兰溪市,  Lanxi,1312
  义乌市,  Yiwu,1105
  东阳市,  Dongyang,1755
  永康市,  Yongkang,1047
  江山市,  Jiangshan,2019
  温岭市,  Wenling,1074
  临海市,  Linhai,2251
  玉环市,  Yuhuan,510
  龙泉市,  Longquan,3044
安徽省,Anhui,
  巢湖市,  Chaohu,2046
  无为市,  Wuwei,2020
  桐城市,  Tongcheng,1553
  潜山市,  Qianshan,1688
  天长市,  Tianchang,1754
  明光市,  Mingguang,2350
  界首市,  Jieshou,668
  宁国市,  Ningguo,2467
