Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
3-3地区生产总值,,,,,
Gross Regional Product,,,,,
,,,,,
单位：万元,,,,,
(10 000 yuan),,,,,
,,,,,
,,,,,
城 市,City,地区生产总值 Gross Regional Product,第一产业增加值 Value-added of the Primary Industry,第二产业增加值 Value-added of the Secondary Industry,第三产业增加值 Value-added of the Tertiary Industry
河北省,Hebei,,,,
  辛集市,  Xinji,4220352,567752,2308271,1344329
  晋州市,  Jinzhou,2045146,470668,526542,1047936
  新乐市,  Xinle,1826538,397536,490187,938815
  遵化市,  Zunhua,5602937,621254,2235496,2746187
  迁安市,  Qian'an,12628794,361377,7675186,4592231
  滦州市,  Luanzhou,5062822,502955,2890426,1669441
  武安市,  Wu'an,8020043,327654,4668583,3023806
  南宫市,  Nangong,1362048,242480,436088,683480
  沙河市,  Shahe,2198289,80620,849242,1268427
  涿州市,  Zhuozhou,4047629,226774,977404,2843451
  定州市,  Dingzhou,4001211,936764,1339441,1725006
  安国市,  Anguo,1403034,289860,374283,738891
  高碑店市,  Gaobeidian,2400958,163784,919819,1317355
  平泉市,  Pingquan,1701195,615712,279078,806405
  泊头市,  Botou,3119305,234101,1256639,1628565
  任丘市,  Renqiu,7287034,181912,3317868,3787254
  黄骅市,  Huanghua,8011275,599426,4207451,3204398
  河间市,  Hejian,2718401,247974,808114,1662313
  霸州市,  Bazhou,4519829,96360,2173437,2250032
  三河市,  Sanhe,6103411,192365,1767936,4143110
  深州市,  Shenzhou,1837526,459337,566878,811311
山西省,Shanxi,,,,
  古交市,  Gujiao,852366,33272,549438,269656
  高平市,  Gaoping,4340004,183527,2897444,1259033
  怀仁市,  Huairen,3046282,230789,1611189,1204304
  介休市,  Jiexiu,3727812,61392,2656714,1009706
  永济市,  Yongji,1688793,302578,587910,798305
  河津市,  Hejin,4411881,142276,3092185,1177420
  原平市,  Yuanping,2115806,244326,1223958,647522
  侯马市,  Houma,1893299,47637,632525,1213137
  霍州市,  Huozhou,1147022,52232,667827,426963
  孝义市,  Xiaoyi,4722855,89518,3237982,1395355
  汾阳市,  Fenyang,3004323,110203,1847019,1047101
