Unnamed: 0,Unnamed: 1,Unnamed: 2
3-6规模以上工业企业情况,,
Basic Conditions of Industrial Enterprises above Designated Size,,
,,
单位：个,,
(unit),,
,,
城市,City,规模以上工业 企业单位数 Number of Industrial Enterprises above Designated Size
河北省,Hebei,
  辛集市,  Xinji,282
  晋州市,  Jinzhou,251
  新乐市,  Xinle,148
  遵化市,  Zunhua,167
  迁安市,  Qian'an,166
  滦州市,  Luanzhou,93
  武安市,  Wu'an,209
  南宫市,  Nangong,69
  沙河市,  Shahe,112
  涿州市,  Zhuozhou,144
  定州市,  Dingzhou,227
  安国市,  Anguo,121
  高碑店市,  Gaobeidian,98
  平泉市,  Pingquan,62
  泊头市,  Botou,257
  任丘市,  Renqiu,463
  黄骅市,  Huanghua,347
  河间市,  Hejian,279
  霸州市,  Bazhou,285
  三河市,  Sanhe,162
  深州市,  Shenzhou,115
山西省,Shanxi,
  古交市,  Gujiao,59
  高平市,  Gaoping,131
  怀仁市,  Huairen,143
  介休市,  Jiexiu,187
  永济市,  Yongji,95
  河津市,  Hejin,139
  原平市,  Yuanping,75
  侯马市,  Houma,55
  霍州市,  Huozhou,31
  孝义市,  Xiaoyi,181
  汾阳市,  Fenyang,78
内蒙古自治区,Inner Mongolia,
  霍林郭勒市,  Huolinguole,43
  满洲里市,  Manzhouli,10
  牙克石市,  Yakeshi,9
  扎兰屯市,  Zhalantun,13
  额尔古纳市,  Eerguna,6
  根河市,  Genhe,5
  丰镇市,  Fengzhen,44
  乌兰浩特市,  Wulanhaote,41
  阿尔山市,  Aershan,1
  二连浩特市,  Erlianhaote,15
  锡林浩特市,  Xilinhaote,50
辽宁省,Liaoning,
  新民市,  Xinmin,125
  瓦房店市,  Wafangdian,267
  庄河市,  Zhuanghe,156
  海城市,  Haicheng,349
  东港市,  Donggang,160
  凤城市,  Fengcheng,103
  凌海市,  Linghai,50
  北镇市,  Beizhen,38
  盖州市,  Gaizhou,87
  大石桥市,  Dashiqiao,287
  灯塔市,  Dengta,58
  调兵山市,  Diaobingshan,37
  开原市,  Kaiyuan,48
  北票市,  Beipiao,72
  凌源市,  Lingyuan,60
  兴城市,  Xingcheng,57
吉林省,Jilin,
  榆树市,  Yushu,51
  德惠市,  Dehui,62
  公主岭市,  Gongzhuling,111
  蛟河市,  Jiaohe,36
  桦甸市,  Huadian,35
  舒兰市,  Shulan,54
  磐石市,  Panshi,57
  双辽市,  Shuangliao,28
  梅河口市,  Meihekou,76
  集安市,  Ji'an,31
  临江市,  Linjiang,26
  扶余市,  Fuyu,31
  洮南市,  Taonan,29
  大安市,  Daan,30
  延吉市,  Yanji,54
  图们市,  Tumen,22
  敦化市,  Dunhua,76
  珲春市,  Hunchun,73
  龙井市,  Longjing,20
  和龙市,  Helong,28
黑龙江省,Heilongjiang,
  尚志市,  Shangzhi,47
  五常市,  Wuchang,153
  讷河市,  Nehe,34
  虎林市,  Hulin,56
  密山市,  Mishan,50
  铁力市,  Tieli,20
  同江市,  Tongjiang,37
  富锦市,  Fujin,74
  抚远市,  Fuyuan,10
  绥芬河市,  Suifenhe,77
  海林市,  Hailin,41
  宁安市,  Ning'an,42
  穆棱市,  Muling,51
  东宁市,  Dongning,31
  北安市,  Bei'an,33
  五大连池市,  Wudalianchi,21
  嫩江市,  Nenjiang,22
  安达市,  Anda,76
  肇东市,  Zhaodong,49
  海伦市,  Hailun,39
  漠河市,  Mohe,8
江苏省,Jiangsu,
  江阴市,  Jiangyin,2463
  宜兴市,  Yixing,1585
  新沂市,  Xinyi,421
  邳州市,  Pizhou,542
  溧阳市,  Liyang,701
  常熟市,  Changshu,1842
  张家港市,  Zhangjiagang,1566
  昆山市,  Kunshan,2678
  太仓市,  Taicang,1265
  启东市,  Qidong,758
  如皋市,  Rugao,1024
  海安市,  Haian,1315
  东台市,  Dongtai,720
  仪征市,  Yizheng,603
  高邮市,  Gaoyou,763
  丹阳市,  Danyang,1060
  扬中市,  Yangzhong,493
  句容市,  Jurong,314
  兴化市,  Xinghua,788
  靖江市,  Jingjiang,730
  泰兴市,  Taixing,826
浙江省,Zhejiang,
  建德市,  Jiande,412
  余姚市,  Yuyao,1575
  慈溪市,  Cixi,2228
  瑞安市,  Rui'an,1559
  乐清市,  Yueqing,2046
  龙港市,  Longgang,478
  海宁市,  Haining,1623
  平湖市,  Pinghu,883
  桐乡市,  Tongxiang,1252
  诸暨市,  Zhuji,1315
  嵊州市,  Shengzhou,745
  兰溪市,  Lanxi,612
  义乌市,  Yiwu,864
  东阳市,  Dongyang,696
  永康市,  Yongkang,1006
  江山市,  Jiangshan,421
  温岭市,  Wenling,1344
  临海市,  Linhai,664
  玉环市,  Yuhuan,1063
  龙泉市,  Longquan,164
安徽省,Anhui,
  巢湖市,  Chaohu,184
  无为市,  Wuwei,266
  桐城市,  Tongcheng,457
  潜山市,  Qianshan,164
  天长市,  Tianchang,693
  明光市,  Mingguang,193
  界首市,  Jieshou,245
  宁国市,  Ningguo,433
  广德市,  Guangde,538
福建省,Fujian,558
  福清市,  Fuqing,
  永安市,  Yong'an,257
  石狮市,  Shishi,637
  晋江市,  Jinjiang,2603
  南安市,  Nan'an,1384
  邵武市,  Shaowu,148
  武夷山市,  Wuyishan,71
  建瓯市,  Jian'ou,146
