population,area,gdp,administrative_level,airport,train_station,climate_type,travel resort,city
2183.2万,16410,49843.1亿,直辖市,北京首都国际机场、北京大兴国际机场,北京站、北京东站、北京南站、北京西站、北京北站、北京朝阳站、大兴机场站、北京大兴站、清河站、北京城市副中心站、北京丰台站,暖温带半湿润半干旱季风气候,天安门广场、北京故宫、圆明园、颐和园、八达岭长城、明十三陵、慕田峪长城、天坛公园、周口店北京人遗址、中国房山世界地质公园、恭王府、北海公园、古北水镇、奥林匹克公园、密云水库、三里屯、大运河森林公园、新华门、百望山、居庸关长城,北京市
1364万,11966.45,18024.32亿,直辖市,天津滨海国际机场,天津站、天津西站、天津南站、天津北站、滨海站、滨海西站,暖温带半湿润季风性气候,五大道、天津之眼、盘山、天津古文化街、水上公园,天津市
1124.66万,15848,8203.4亿,地级市,石家庄正定国际机场,石家庄站、石家庄北站、石家庄东站,暖温带大陆性季风气候,西柏坡、隆兴寺、荣国府、嶂石岩、赵州桥,石家庄市
772.28万,13472,10003.9亿,地级市,唐山三女河机场,唐山站、唐山西站、唐山北站、唐山南站、唐海南站、曹妃甸东站、南堡北站,暖温带半湿润大陆型季风性气候,清东陵、月坨岛、青山关、潘家口、南湖湿地、滦州古城,唐山市
311.14万,7802,2128.6亿,地级市,秦皇岛北戴河机场,秦皇岛站、山海关站、北戴河站、秦皇岛北站、昌黎站,温带大陆性季风气候,山海关景区、北戴河、碧螺塔酒吧公园、鸽子窝公园、仙螺岛、老虎石公园、蔚蓝海岸、老龙头、沙雕海洋乐园、南戴河国际娱乐中心、西港花园、渔岛,秦皇岛市
918.21万,12066,4704.3亿,地级市,邯郸机场,邯郸站、邯郸东站,温带大陆性季风气候,铜雀台、娲皇宫、邺城遗址、丛台、广府城、八路军一二九师司令部旧址、邯郸方特国色春秋、赵苑,邯郸市
687.78万,12400,2765.9亿,地级市,邢台褡裢机场,邢台东站、邢台站,温带季风气候,,邢台市
904.62万,22000,4339.4亿,地级市,,保定站、保定东站、保定南站、徐水站,暖温带大陆性季风气候,中国古动物馆、直隶总督署、保定陆军军官学校、古莲花池、西大街、白石山、清西陵、淮军公所,保定市
403.26万,36357,1913.3亿,地级市,张家口宁远机场,张家口站、宣化北站、下花园北站、太子城站、崇礼站,温带大陆性季风气候,堡子里、大镜门、小五台山、张家口赛区、多乐美地滑雪场、崇礼冰雪旅游度假区、张家口奥林匹克颁奖广场、草原天路,张家口市
328.57万,39511.89,1962.6亿,地级市,承德普宁机场,承德站、承德南站、承德东站,温带大陆性季风气候,避暑山庄、金山岭长城、磬锤峰、塞罕坝国家森林公园、丰宁京北第一草原,承德市
722.77万,14304.26,4722.8亿,地级市,,沧州站、沧州西站,暖温带大陆性季风气候,泊头清真寺、南大港湿地、东光铁佛寺、南川楼、纪晓岚文化园,沧州市
546.9万,6429,3904.6亿,地级市,北京大兴国际机场,廊坊站、廊坊北站、廊坊西站、大兴机场站、广阳站、安次站、燕郊站、香河站、大厂站,暖温带大陆性季风气候,,廊坊市
412.99万,8836,1971.8亿,地级市,和冀州通用机场建设工程,衡水站、衡水北站、衡水南站、景州站,温带季风气候,衡水湖、武强年画博物馆、冀州城,衡水市
543.50万,6988,5418.87亿,地级市,太原武宿国际机场、太原尧城机场,太原站、太原南站、太原北站、太原西站,暖温带大陆性季风气候,晋祠、永祚寺、天龙山石窟、晋商博物院、窦大夫祠、太原古县城、蒙山大佛、太山,太原市
305.1万,14176,1802.5亿,地级市,大同云冈国际机场、大同南六庄机场,大同站、大同南站、阳高站、阳高南站、天镇站、灵丘站,温带大陆性半干旱季风气候,云冈石窟、大同古城、北岳恒山、悬空寺、大同长城、大同火山群、华严寺、善化寺、大同市博物馆、平型关,大同市
128.48万,4559,856.2亿,地级市,约140千米,阳泉站、阳泉北站、阳泉东站、平定站、河底站、娘子关站,暖温带大陆性季风气候,狮脑山、娘子关、藏山、红岩岭景区、固关长城、石评梅故居、保晋文化园,阳泉市
309.76万,13955,2593.4亿,地级市,长治王村机场,长治站、长治北站、长治东站、长治南站,暖温带半湿润大陆性季风气候,太行山大峡谷、太行水乡、灵空山、上党门、老顶山,长治市
217.18万,9490,2409.8亿,地级市,晋城太行山机场,晋城站、晋城北站、晋城东站,暖温带半湿润大陆性季风气候,柳氏民居、王莽岭、九女仙湖、析城山、炎帝陵、蟒河、山里泉,晋城市
156.78万,10600,1328.5亿,地级市,朔州滋润机场,朔州站、朔州西站、朔州东站、山阴站、山阴南站、怀仁站、怀仁东站、应县站、应县西站、岱岳站、平鲁西站,温带大陆性季风气候,崇福寺、应县木塔、杀虎口、广武长城、怀仁金沙滩,朔州市
3376503,16400,2458.8亿,地级市,太原武宿国际机场,晋中站、榆次站、太谷站、太谷西站、太谷东站、榆社站、榆社西站、平遥站、平遥古城站、灵石站、灵石东站、介休站、介休东站、祁县站、祁县东站、昔阳站、和顺县站、左权站,温带季风气候,乌金山国家森林公园、榆次老城、常家庄园、乔家大院、平遥古城,晋中市
470.56万,14182.88,2190.6亿,地级市,运城盐湖国际机场、芮城新南张机场,运城站、运城北站,暖温带大陆性季风气候,解州关帝庙、鹳雀楼、永乐宫,运城市
260.46万,25000,1343.4亿,地级市,忻州五台山机场,忻州站、忻州西站、代县站、雁门关站、五寨站、岢岚站、定襄站、宁武站、神池站、繁峙站、原平站、原平西站,温带大陆性季风气候,五台山、雁门关、忻州古城,忻州市
388.72万,20302,2438.7亿,地级市,临汾尧都机场,临汾站、临汾西站,温带大陆性季风气候,洪洞大槐树、云丘山、华门、壶口瀑布、尧庙、晋国博物馆、丁村遗址、丁村民宅、人祖山,临汾市
334.65万,21000,2643.2亿,地级市,吕梁大武机场,吕梁站,温带大陆性气候,北武当山、碛口、庞泉沟、酒都杏花村,吕梁市
363.94万,17200,4107.08亿,地级市,呼和浩特白塔国际机场、呼和浩特盛乐国际机场,呼和浩特站、呼和浩特东站,中温带大陆性季风气候,昭君墓、大召、席力图召、五塔寺、内蒙古敕勒川国家草原自然公园,呼和浩特市
277.21万,27768,4575.1亿,地级市,包头东河机场、包头五当召机场、达茂百灵庙通用机场109-110,包头站、包头东站,半干旱、中温带大陆性季风气候,五当召旅游区、北方兵器城,包头市
55.73万,1754,595.57亿,地级市,乌海机场,乌海站、乌海东站、乌海南站、乌海西站、乌海北站,温带大陆性气候,胡杨岛、金沙湾生态旅游区、桌子山岩画、拉僧庙、黄河滩岛、乌海湖,乌海市
393.07万,90021,2322.1亿,地级市,赤峰玉龙机场、阿鲁科尔沁机场、巴林右旗大板机场,赤峰站、赤峰南站,温带半干旱大陆性季风气候,贡格尔草原、达里诺尔湖、红山国家森林公园、阿斯哈图石林,赤峰市
277.68万,59535,1686.2亿,地级市,通辽机场、霍林郭勒霍林河机场,通辽站、通辽北站、甘旗卡站、霍林郭勒站,温带大陆性气候,大青沟、库伦三大寺、奈曼王府、可汗山、珠日河草原,通辽市
224.02万,87000,6363.03亿,地级市,鄂尔多斯伊金霍洛国际机场、鄂托克前旗敖勒召其机场、乌审旗嘎鲁图机场、鄂托克旗乌兰机场,鄂尔多斯站、东胜西站、东胜东站、准格尔站,温带大陆性气候,成吉思汗陵、响沙湾、鄂尔多斯草原、康巴什旅游区、准格尔召旅游区、水镜湖休闲度假旅游区,鄂尔多斯市
213.91万,253000,1730.67亿,地级市,呼伦贝尔海拉尔机场、满洲里西郊国际机场、扎兰屯成吉思汗机场,海拉尔站、满洲里站、牙克石站、扎赉诺尔站、扎兰屯站、莫尔道嘎站,温带季风气候、温带大陆性气候,呼伦贝尔大草原、呼伦湖、贝尔湖、满洲里国门,呼伦贝尔市
148.94万,65139,1242.3亿,地级市,巴彦淖尔天吉泰机场、乌拉特中旗机场,巴彦淖尔站,中温带大陆性季风气候,阴山岩画、黄河河套文化旅游区、乌梁素海、乌兰布和沙海湖旅游区,巴彦淖尔市
158.07万,54500,1214.2亿,地级市,乌兰察布集宁机场,乌兰察布站、集宁南站,温带大陆性季风气候,辉腾锡勒草原、苏木山森林公园、岱海、乌兰哈达火山,乌兰察布市
137.22万,55131,807.70亿,盟,乌兰浩特义勒力特机场、阿尔山伊尔施机场,乌兰浩特站、白音胡硕站、阿尔山站、西哲里木站、五叉沟站、白狼站,温带季风气候,阿尔山温泉,兴安盟
111.25万,202600,1235.96亿,盟,锡林浩特机场、二连浩特赛乌素机场、镶黄旗新宝拉格机场,锡林浩特站、正镶白旗站、桑根达来站、二连站、西乌旗站、白音华南站,温带大陆性气候,锡林郭勒草原、古长城遗址、立马峰、元上都遗址、忽必烈夏宫、二连国门、伊林驿站博物馆、二连浩特界碑、二连浩特恐龙地质公园,锡林郭勒盟
26.93万,270000,413.6亿,盟,阿拉善左旗巴彦浩特机场、阿拉善右旗巴丹吉林机场、额济纳旗桃来机场、阿拉善通古淖尔机场,额济纳站、巴彦浩特站、东风南站、巴润别立站,大陆性季风气候,阿拉善盟胡杨林旅游区,阿拉善盟
924.3万,12860,9027.1亿,地级市,沈阳桃仙国际机场,沈阳站、沈阳北站、沈阳南站、苏家屯站、沈阳西站,温带湿润大陆性气候,沈阳故宫、清昭陵、福陵、张氏帅府、中国工业博物馆、沈阳植物园、棋盘山、中街、沈阳方特欢乐世界、辽宁省博物馆、老北市,沈阳市
754.4万,12574,9516.9亿,地级市,大连周水子国际机场、长海大长山岛机场、大连金州湾国际机场61-62,大连站、大连北站、金州站、金普站,暖温带大陆性季风气候,星海广场、老虎滩、大连森林动物园、棒棰岛、金石滩国家旅游度假区、大连圣亚海洋世界、大连西郊国家森林公园、冰峪沟、广鹿岛、大连发现王国主题公园,大连市
319.2万,9255.4,2156.3亿,地级市,鞍山腾鳌机场,鞍山站、鞍山西站、海城西站,温带季风气候,鞍山市千山景区、药山、玉佛苑、汤岗子温泉、二一九公园、鞍钢集团博物馆,鞍山市
171.0万,11271.03,1010.9亿,地级市,,抚顺北站、新宾站,温带大陆性季风气候,清永陵、赫图阿拉城、红河谷漂流、抚顺雷锋纪念馆、平顶山惨案遗址纪念馆、三块石国家森林公园、抚顺煤矿博物馆、天女山森林公园,抚顺市
122.9万,8413.96,1025.6亿,地级市,29千米,本溪站、本溪新城站、南芬站、南芬北站,温带大陆性季风气候,本溪水洞、本溪五女山、本溪关门山、本溪大峡谷、本溪枫林谷、本溪关山湖、本溪铁刹山,本溪市
206.9万,15289.6,1007.8亿,地级市,丹东浪头机场,丹东站、凤凰城站、凤城东站、东港北站、五龙背东站,温带季风气候,鸭绿江断桥、抗美援朝纪念馆、虎山长城、大鹿岛、凤凰山、天桥沟、青山沟、大梨树、锦江山公园,丹东市
259.4万,10301,1353.6亿,地级市,锦州锦州湾机场,锦州站、锦州南站、锦州北站、凌海南站、黑山北站,温带季风气候,笔架山、锦州世博园、辽沈战役纪念馆、北镇青岩寺风景区、北普陀山、奉国寺、万佛堂石窟、大广济寺塔、医巫闾山风景区,锦州市
224.2万,5427,1560.3亿,地级市,营口兰旗机场,营口东站、营口站、鲅鱼圈站、熊岳城站、大石桥站,温带季风气候,辽河、望儿山、山海广场、西炮台、熊岳温泉、白沙湾、辽河老街,营口市
154.1万,10355,650.3亿,地级市,,阜新南站、阜新站、清河门北站、新邱站、彰武站,温带大陆性季风气候,德力格尔草原风景区、海州露天矿国家矿山公园、查海遗址博物馆、十家子玛瑙特色小镇,阜新市
150.9万,4735.78,952.7亿,地级市,约60千米,辽阳站,温带季风气候,辽阳白塔、东京城、东京陵、广佑寺、核伙沟、柳壕湿地公园、龙鼎山、曹雪芹纪念馆、王尔烈纪念馆,辽阳市
137.6万,4062.34,1413.5亿,地级市,盘锦陈家通用机场,盘锦站、盘锦北站,温带季风气候,红海滩、盘锦苇海鼎翔旅游度假区、湖滨公园、辽河美术馆、辽河碑林、北旅田园·黑风关古镇,盘锦市
222.7万,13000,778.6亿,地级市,四平勤业机场,铁岭站、铁岭西站,温带大陆性季风气候,莲花湖国家湿地公园、调兵山蒸汽机车博物馆、周恩来少年读书旧址、象牙山,铁岭市
275.6万,19699.14,1153.2亿,地级市,朝阳三燕机场,辽宁朝阳站、奈林皋站、北票站、巴图营站、牛河梁站、建平站、喀左站,温带大陆性季风气候,朝阳北塔、朝阳南塔、朝阳鸟化石国家地质公园、牛河梁红山文化遗址、凤凰山、佑顺寺、燕山湖、槐树洞,朝阳市
231.8万,10400,1004.4亿,地级市,150千米,葫芦岛站、葫芦岛北站、兴城西站、兴城站、绥中站、绥中北站、东戴河站、建昌站,北温带大陆性季风气候,九门口水上长城、觉华岛、兴城古城、灵山风景区、兴城海滨风景区、龙湾海滨、葫芦山庄,葫芦岛市
908.51万,24744,7632.19亿,地级市,长春龙嘉国际机场,长春站、长春西站、龙嘉站、九台站、九台南站,温带大陆性半湿润季风气候,南湖公园、长春北湖国家湿地公园、伪满皇宫博物院、净月潭国家森林公园、长影世纪城、长影旧址博物馆、长春世界雕塑园,长春市
349.48万,27120,1633.23亿,地级市,和吉林机场,吉林站、双吉站、吉林西站、吉林北站、龙潭山站、江北站,温带季风气候,松花湖、北大壶滑雪场、北山公园、雾凇岛、龙潭山、朱雀山、小白山、玄帝观、松花湖滑雪场、圣德泉亲水度假花园,吉林市
163.93万,10300,580.58亿,地级市,四平勤业机场,四平站、四平东站,中温带湿润季风气候,大青山村文化遗址、叶赫古城遗址、昭苏城遗址、四平战役纪念馆,四平市
91.64万,5138.72,527.69亿,地级市,,辽源站、辽源东站,半湿润温带大陆性季风气候,福寿宫、寒葱顶国家森林公园、辽源魁星楼、东北沦陷时期辽源矿工墓陈列馆,辽源市
116.97万,15698,576.79亿,地级市,通化三源浦机场,通化站,北温带大陆性季风气候,五女峰国家森林公园、杨靖宇烈士陵园、高句丽文物古迹旅游景区、千叶湖风景区,通化市
88.88万,17505,567.85亿,地级市,白山长白山机场,白山市站、白山东站、江源站、江源东站、长白山西站,北温带大陆性季风气候,长白山、露水河国家森林公园、松江河国家森林公园、望天鹅风景区、四保临江纪念馆,白山市
209.00万,22000,1002.18亿,地级市,松原查干湖机场,松原站、松原北站,中温带大陆性季风气候,查干湖、松原市规划展览馆、乾安泥林国家地质公园、孝庄祖陵风景区、龙华寺、赛罕塔拉蒙古部落,松原市
145.06万,25758.73,614.24亿,地级市,白城长安机场,白城站,温带大陆性季风气候,向海、莫莫格自然保护区、嫩江湾国家湿地公园、查干浩特旅游度假区,白城市
188.62万,43329.3,1018.10亿,自治州,延吉朝阳川国际机场,延吉站、延吉西站、敦化站、珲春站,温带季风气候,长白山风景区、图们江源国家森林公园、帽儿山国家森林公园、防川风景名胜区、仙景台风景名胜区、六鼎山文化旅游区、朝鲜族民俗园,延边朝鲜族自治州
933万,53076.4,6016.3亿,地级市,哈尔滨太平国际机场、哈尔滨平房机场,哈尔滨站、哈尔滨西站、哈尔滨北站、哈尔滨东站、王岗站、香坊站、新香坊北站、平房站、呼兰站、孙家站、成高子站、阿城站、阿城北站、双城北站、双城堡站、五家站、平山站、周家站、兰棱站、沈家站、康金井站,中温带大陆性季风气候,太阳岛、中央大街、亚布力滑雪旅游度假区、中国·哈尔滨冰雪大世界、中华巴洛克、龙塔、哈尔滨防洪纪念塔、圣·索菲亚教堂、侵华日军第七三一部队罪证陈列馆、伏尔加庄园、哈尔滨极地馆、萧红故居、东北虎林园,哈尔滨市
509万,42469,1353.1亿,地级市,齐齐哈尔三家子机场,齐齐哈尔站、齐齐哈尔南站、富拉尔基站,大陆性季风气候,扎龙自然保护区、龙沙公园、明月岛、昂昂溪遗址、罗西亚大街,齐齐哈尔市
160.96万,22500,622.6亿,地级市,鸡西兴凯湖机场,鸡西站、鸡西西站、滴道站、恒山站、梨树站,寒温带大陆性季风气候,兴凯湖、珍宝岛、虎头风景名胜区、神顶峰、月牙湖、乌苏里江、麒麟山、虎头要塞,鸡西市
93.5万,14684,376.3亿,地级市,鹤岗民用机场,鹤岗站、鹤岗南站,温带大陆性季风气候,兴龙峡谷、鹤岗国家森林公园、名山岛、松鹤西湖公园风景区、细鳞河民俗风情园,鹤岗市
134.60万,22500,557.4亿,地级市,筹建中,双鸭山站、双鸭山西站,温带季风性气候,七星峰、青山国家森林公园、安邦河国家湿地公园、北秀公园、益寿山公园、凤林古城、雁窝岛、喀尔喀山,双鸭山市
272.7万,21643,2815.8亿,地级市,大庆萨尔图机场,大庆站、大庆西站、大庆东站,温带季风气候,大庆石油馆、大庆博物馆、铁人王进喜纪念馆、大庆龙凤湿地、铁人广场、黑鱼湖、连环湖、珰奈湿地、大庆油田历史陈列馆,大庆市
81.0万,32800,370.5亿,地级市,伊春林都机场,伊春站、伊春西站、南岔站、带岭站、乌伊岭站、五营站、汤旺河站、红星站,大陆性季风气候,汤旺河国家公园，五营国家森林公园，南岔仙翁山、日月峡、茅兰沟,伊春市
221.3万,32460,1007.7亿,地级市,佳木斯东郊国际机场、抚远东极机场、建三江湿地机场,佳木斯站、佳木斯西站,温带大陆性季风气候,三江自然保护区、水源山公园、四丰山风景区,佳木斯市
742998,6221,236.6亿,地级市,七台河机场,七台河站、七台河西站、勃利站,温带季风性气候,桃山湖、石龙山国家森林公园、桃山公园、仙洞山公园、极灵寺、佛宝寺、西大圈森林公园、桃山湖国家湿地公园、七台河短道速滑冠军馆、万宝山滑雪场、七台河市博物馆,七台河市
238.1万,40600,1051.4亿,地级市,牡丹江海浪国际机场、绥芬河东宁机场,牡丹江站、绥芬河站、海林北站、宁安站、绥阳站、穆棱站,温带大陆性季风气候,镜泊湖、雪乡、火山口国家森林公园、杨子荣烈士陵园、北山公园、牡丹峰国家森林公园、威虎山国家森林公园、三道关国家森林公园、东北虎林园、俄罗斯风情园,牡丹江市
150.4万,68726,711.4亿,地级市,黑河瑷珲机场、五大连池德都机场,黑河站、北安站、五大连池站、嫩江站、孙吴站、龙镇站、九三站,寒温带大陆性季风气候,五大连池、中俄民族风情园、闯关东影视基地、锦河大峡谷、黑龙山、大黑河岛、瑷珲古城、山口湖风景区、大沾河国家森林公园、瑷珲历史陈列馆、黑河旅俄华侨纪念馆,黑河市
356万,35000,1244.0亿,地级市,选址工作正在进行中,绥化站、绥化南站,温带大陆性季风气候,金龟山庄、绥化森林植物园、林枫故居、东方红水库、绥化庙山,绥化市
