College_ID,Expert_Group_ID,Teacher_ID,Raw_Score,Final_Score,Raw_Rank,Final_Rank,Rank_Change
B,B_Group1,B7,88.0,88.80371486781044,130.0,63.0,67.0
B,B_Group1,B10,87.0,88.01482991989249,148.5,83.0,65.5
E,E_Group1,E4,88.0,88.69642651489359,130.0,67.0,63.0
E,E_Group1,E12,87.0,87.90754156697562,148.5,86.5,62.0
E,E_Group1,E15,87.0,87.90754156697562,148.5,86.5,62.0
M,M_Group1,M6,87.0,87.58883204801678,148.5,88.0,60.5
P,P_Group二,P22,88.0,88.27042864301792,130.0,71.0,59.0
P,P_Group二,P27,88.0,88.27042864301792,130.0,71.0,59.0
P,P_Group二,P25,88.0,88.27042864301792,130.0,71.0,59.0
P,P_Group三,P25,88.0,88.26648421827831,130.0,74.0,56.0
H,H_Group一,H12,90.0,84.98393394999172,97.5,161.5,-64.0
H,H_Group一,H16,90.0,84.98393394999172,97.5,161.5,-64.0
H,H_Group一,H15,90.0,84.98393394999172,97.5,161.5,-64.0
H,H_Group一,H13,90.0,84.98393394999172,97.5,161.5,-64.0
H,H_Group一,H14,91.0,85.77281889790967,77.0,137.5,-60.5
H,H_Group一,H18,91.0,85.77281889790967,77.0,137.5,-60.5
H,H_Group二,H12,90.0,84.9918227994709,97.5,157.5,-60.0
H,H_Group二,H13,90.0,84.9918227994709,97.5,157.5,-60.0
H,H_Group二,H15,90.0,84.9918227994709,97.5,157.5,-60.0
H,H_Group二,H16,90.0,84.9918227994709,97.5,157.5,-60.0
