College_ID,Expert_Group_ID,Teacher_ID,Raw_Score,college_idx,expert_group_idx,Corrected_Score,Final_Score
A,A_Group1,A1,87.0,0,0,172.69799999999998,84.79381267754346
A,A_Group1,A2,71.0,0,0,156.69799999999998,72.17165351085616
A,A_Group1,A3,87.0,0,0,172.69799999999998,84.79381267754346
A,A_Group1,A4,91.0,0,0,176.69799999999998,87.94935246921528
A,A_Group1,A5,98.0,0,0,183.69799999999998,93.47154710464098
A,A_Group1,A6,92.0,0,0,177.69799999999998,88.73823741713323
A,A_Group1,A7,92.0,0,0,177.69799999999998,88.73823741713323
A,A_Group1,A8,82.0,0,0,167.69799999999998,80.84938793795368
A,A_Group1,A9,89.0,0,0,174.69799999999998,86.37158257337937
A,A_Group1,A10,94.0,0,0,179.69799999999998,90.31600731296915
A,A_Group1,A11,72.0,0,0,157.69799999999998,72.96053845877411
A,A_Group1,A12,98.0,0,0,183.69799999999998,93.47154710464098
A,A_Group1,A13,97.0,0,0,182.69799999999998,92.68266215672301
A,A_Group1,A14,88.0,0,0,173.69799999999998,85.5826976254614
A,A_Group1,A15,77.0,0,0,162.69799999999998,76.9049631983639
A,A_Group1,A16,96.0,0,0,181.69799999999998,91.89377720880506
A,A_Group1,A17,85.0,0,0,170.69799999999998,83.21604278170754
A,A_Group1,A18,91.0,0,0,176.69799999999998,87.94935246921528
A,A_Group1,A19,82.0,0,0,167.69799999999998,80.84938793795368
A,A_Group1,A20,98.0,0,0,183.69799999999998,93.47154710464098
A,A_Group1,A21,72.0,0,0,157.69799999999998,72.96053845877411
A,A_Group1,A22,86.0,0,0,171.69799999999998,84.0049277296255
B,B_Group1,B1,77.0,1,1,166.781,80.12598044071294
B,B_Group1,B2,85.0,1,1,174.781,86.43706002405658
B,B_Group1,B3,83.0,1,1,172.781,84.85929012822066
B,B_Group1,B4,75.0,1,1,164.781,78.54821054487702
B,B_Group1,B5,93.0,1,1,182.781,92.74813960740023
B,B_Group1,B6,84.0,1,1,173.781,85.64817507613863
B,B_Group1,B7,88.0,1,1,177.781,88.80371486781044
B,B_Group1,B8,78.0,1,1,167.781,80.91486538863089
B,B_Group1,B9,79.0,1,1,168.781,81.70375033654885
B,B_Group1,B10,87.0,1,1,176.781,88.01482991989249
B,B_Group1,B11,85.0,1,1,174.781,86.43706002405658
B,B_Group1,B12,96.0,1,1,185.781,95.1147944511541
