population,area,gdp,administrative_level,airport,train_station,climate_type,travel resort,city
2183.2 万[242]（2024年末常住人口）,16410 km²[2],49843.1 亿元[242]（2024年）,直辖市,北京首都国际机场、北京大兴国际机场,北京站、北京东站、北京南站、北京西站、北京北站、北京朝阳站、大兴机场站、北京大兴站、清河站、北京城市副中心站、北京丰台站[109],暖温带半湿润半干旱季风气候[2],天安门广场、北京故宫、圆明园、颐和园、八达岭长城、明十三陵、慕田峪长城、天坛公园、周口店北京人遗址、中国房山世界地质公园、恭王府、北海公园、古北水镇、奥林匹克公园、密云水库、三里屯、大运河森林公园、新华门、百望山、居庸关长城,北京市
1364 万[266]（2024年末常住人口）,11966.45 km²,18024.32 亿元[266]（2024年）,直辖市,天津滨海国际机场,天津站、天津西站、天津南站、天津北站、滨海站、滨海西站,暖温带半湿润季风性气候,五大道、天津之眼、盘山、天津古文化街、水上公园,天津市
1124.66 万[240]（截至2024年末）,15848 km²[2]（截至2021年）,8203.4 亿元[240]（2024年）,地级市[25],石家庄正定国际机场[50],石家庄站、石家庄北站、石家庄东站等[51],暖温带大陆性季风气候[41],西柏坡[49]、隆兴寺、荣国府、嶂石岩、赵州桥,石家庄市
772.28 万（2024年常住人口）,13472 km²,10003.9 亿元（2024年）,地级市,唐山三女河机场,唐山站、唐山西站、唐山北站、唐山南站、唐海南站、曹妃甸东站、南堡北站等,暖温带半湿润大陆型季风性气候,清东陵、月坨岛、青山关、潘家口、南湖湿地、滦州古城,唐山市
311.14 万[114]（2024年）,7802 km²（陆域面积）,2128.6 亿元[105]（2024年）,地级市,秦皇岛北戴河机场,秦皇岛站、山海关站、北戴河站、秦皇岛北站、昌黎站,温带大陆性季风气候,山海关景区、北戴河、碧螺塔酒吧公园、鸽子窝公园、仙螺岛、老虎石公园、蔚蓝海岸、老龙头、沙雕海洋乐园、南戴河国际娱乐中心、西港花园、渔岛,秦皇岛市
918.21 万[92]（截至2024年末）,12066 km²,4704.3 亿元[87]（2024年）,地级市,邯郸机场,邯郸站、邯郸东站,温带大陆性季风气候,铜雀台、娲皇宫、邺城遗址、丛台、广府城、八路军一二九师司令部旧址、邯郸方特国色春秋、赵苑,邯郸市
687.78 万[156]（2024年）,12400 km²,2765.9 亿元[156]（2024年）,地级市,邢台褡裢机场,邢台东站、邢台站,温带季风气候,,邢台市
904.62 万[131]（2024年末常住人口）,22000 km²[38],4339.4 亿元[127]（2024年，不含定州）,地级市,,保定站、保定东站、保定南站、徐水站等,暖温带大陆性季风气候,中国古动物馆、直隶总督署、保定陆军军官学校、古莲花池、西大街、白石山、清西陵、淮军公所,保定市
403.26 万[101]（2024年常住人口）,36357 km²,1913.3 亿元[101]（2024年）,地级市,张家口宁远机场,张家口站、宣化北站、下花园北站、太子城站、崇礼站,温带大陆性季风气候,堡子里、大镜门、小五台山、张家口赛区、多乐美地滑雪场、崇礼冰雪旅游度假区、张家口奥林匹克颁奖广场、草原天路,张家口市
328.57 万[65]（2024年常住人口）,39511.89 km²[24],1962.6 亿元[65]（2024年）,地级市,承德普宁机场,承德站、承德南站、承德东站,温带大陆性季风气候,避暑山庄、金山岭长城、磬锤峰、塞罕坝国家森林公园、丰宁京北第一草原,承德市
