Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
1—2 续表 2 continued,,,,,
,,,,,
省级单位,地级及以上城市,下辖的县级城市,省级单位,地级及以上城市,下辖的县级城市
Province,City at Prefecture,County-level City,Province,City at Prefecture,County-level City
,Level and above,,,Level and above,
,,桐乡 Tongxiang,,龙岩 Longyan,漳平 Zhangping
,湖州 Huzhou,,,宁德 Ningde,福安 Fu'an
,绍兴 Shaoxing,诸暨 Zhuji,,,福鼎 Fading
,,嵊州 Shengzhou,江西,南昌 Nanchang,
,金华 Jinhua,兰溪 Lanxi,Jiangxi,景德镇 Jingdezhen,乐平 Leping
,,义乌 Yiwu,,萍 乡 Pingxiang,
,,东 阳 Dongyang,,九江 Jiujiang,瑞 昌 Ruichang
,,永康 Yongkang,,,共青城 Gongqingcheng
,衢州 Quzhou,江 山 Jiangshan,,,庐 山 Lushan
,舟 山 Zhoushan,,,新余 Xinyu,
,台州 Taizhou,临 海 Linhai,,鹰潭 Yingtan,贵溪 Guixi
,,温岭 Wenling,,赣州 Ganzhou,瑞 金 Ruijin
,,玉环 Yuhuan,,,龙南 Longnan
,丽水 Lishui,龙 泉 Longquan,,上饶 Shangrao,德兴 Dexing
安徽,合肥 Hefei,巢湖 Chaohu,,抚州 Fuzhou,
Anhui,芜湖 Wuhu,无 为 Wuwei,,吉安 Ji'an,井冈山 Jinggangshan
,蚌埠 Bengbu,,,宜春 Yichun,樟树 Zhangshu
,淮南 Huainan,,,,丰城 Fengcheng
,马鞍山 Maanshan,,,,高安 Gaoan
,淮北 Huaibei,,山东,济南 Jinan,
,铜陵 Tongling,,Shandong,青岛 Qingdao,胶州 Jiaozhou
,安庆 Anqing,桐城 Tongcheng,,,平度 Pingdu
,,潜 山 Qianshan,,,莱西 Laixi
,黄 山 Huangshan,,,淄博 Zibo,
,阜 阳 Fuyang,界 首 Jieshou,,枣 庄 Zaozhuang,滕州 Tengzhou
,亳州 Bozhou,,,东营 Dongying,
,宿州 Suzhou,,,烟台 Yantai,龙 口 Longkou
,滁州 Chuzhou,天 长 Tianchang,,,莱阳 Laiyang
,,明光 Mingguang,,,莱 州 Laizhou
,六安 Lu*an,,,,招 远 Zhaoyuan
,池州 Chizhou,,,,栖霞 Qixia
,宣城 Xuancheng,宁国 Ningguo,,,海阳 Haiyang
,,广德 Guangde,,潍坊 Weifang,青州 Qingzhou
福建,福州 Fuzhou,福清 Fuqing,,,诸城 Zhucheng
Fujian,厦门 Xiamen,,,,寿 光 Shouguang
,莆田 Putian,,,,高密 Gaomi
,三 明 Sanming,永安 Yong'an,,,昌 邑 Changyi
,泉州 Quanzhou,石狮 Shishi,,,安 丘 Anqiu
,,晋江 Jinjiang,,济宁 Jining,曲阜 Qufu
,,南安 Nan'an,,,邹城 Zoucheng
,漳 州 Zhangzhou,,,泰安 Tai'an,新 泰 Xintai
,南平 Nanping,邵武 Shaowu,,,肥城 Feicheng
,,武夷山 Wuyishan,,德州 Dezhou,乐陵 Laoling
,,建瓯 Jian'ou,,,
