Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2-10年末金融机构存贷款余额,,,,,
,,,,,
Deposits and Loans of Financial Institutions at Year-end,,,,,
,,,,,
单位：万元,,,,,
城 市,City,年末金融机构 人民币各项存款余额 Deposits of Financial Institutions at Year-end,,年末金融机构 人民币各项贷款余额 Loans of Financial Institutions at Year-end,
,,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City
北京市,Beijing,2404386126,2404386126,1086011627,1086011627
天津市,Tianjin,434299020,434299020,436656470,436656470
河北省,Hebei,,,,
  石家庄市,  Shijiazhuang,231239891,170453768,180869991,150010313
  唐山市,  Tangshan,146461292,91980771,101880592,71126966
  秦皇岛市,  Qinhuangdao,53957945,38636259,33125344,26621804
  邯郸市,  Handan,103209300,54970384,77626426,42987553
  邢台市,  Xingtai,75761804,31684930,56852685,28500598
  保定市,  Baoding,125374888,43150570,77033457,30236412
  张家口市,  Zhangjiakou,54074583,31016679,51450560,32881503
  承德市,  Chengde,41341265,15746695,35573542,15993217
  沧州市,  Cangzhou,93912156,23605001,55668129,16878899
  廊坊市,  Langfang,92737438,33482237,90166877,36489543
  衡水市,  Hengshui,55509320,22429195,30595228,12849268
山西省,Shanxi,,,,
  太原市,  Taiyuan,190287620,180268650,194222855,188283330
  大同市,  Datong,46925767,37274434,25601545,21377692
  阳泉市,  Yangquan,22577742,15926971,15003971,10470665
  长治市,  Changzhi,45777549,31202091,27417513,18248652
  晋城市,  Jincheng,36328877,21076456,24985898,17127659
  朔州市,  Shuozhou,27755972,12999344,14660903,8570839
  晋中市,  Jinzhong,44426915,19553236,30122728,16933179
  运城市,  Yuncheng,40687077,13828882,23915061,10624153
  忻州市,  Xinzhou,35906111,10252959,16578270,5615826
  临汾市,  Linfen,42429239,16919841,27627765,14022182
  吕梁市,  Lvliang,42654145,9626371,17821380,4840692
内蒙古自治区,Inner Mongolia,,,,
  呼和浩特市,  Hohhot,89852098,83293918,113422365,107692171
  包头市,  Baotou,44519246,40813728,33393766,30445493
  乌海市,  Wuhai,13336952,13336952,5517619,5517619
  赤峰市,  Chifeng,36837356,19852354,29331610,16444919
  通辽市,  Tongliao,20566236,11157761,15457825,8120262
  鄂尔多斯市,  Erdos,67776952,41034237,40694664,24920507
  呼伦贝尔市,  Hulunbuir,25635741,7622568,13846315,4195389
  巴彦淖尔市,  Bayannur,17930685,8524178,11974032,5951373
  乌兰察布市,  Ulanqab,18441077,7263583,10221486,3813886
辽宁省,Liaoning,,,,
  沈阳市,  Shenyang,216580378,207555179,202264251,196592382
  大连市,  Dalian,194036511,172602538,141926078,130637535
  鞍山市,  Anshan,56403260,35724264,26620025,18372686
  抚顺市,  Fushun,29824683,25316016,12345926,10119483
  本溪市,  Benxi,29758545,18288738,13998672,11915062
  丹东市,  Dandong,33776938,16694968,14762116,7496134
  锦州市,  Jinzhou,40448743,25739384,34357360,30061143
  营口市,  Yingkou,38315760,26416283,23094318,16366516
  阜新市,  Fuxin,19697910,14277481,10556783,8135625
  辽阳市,  Liaoyang,29310277,21723896,12597018,9051305
  盘锦市,  Panjin,30834067,28608827,15680718,14688116
  铁岭市,  Tieling,25055159,11445385,8748004,4280172
  朝阳市,  Chaoyang,30395600,14444500,12037300,6856300
  葫芦岛市,  Huludao,29473119,16055124,15713281,9090812
吉林省,Jilin,,,,
  长春市,  Changchun,194995990,169416445,183556741,170419770
  吉林市,  Jilin,45380073,30326145,26948831,18953419
  四平市,  Siping,17023042,8684821,8046320,4892532
  辽源市,  Liaoyuan,10469162,6192192,5768627,3489340
  通化市,  Tonghua,16152289,7162400,8905441,4204341
  白山市,  Baishan,11841039,6349382,6900392,3866246
  松原市,  Songyuan,21467284,7230702,11482658,3735250
  白城市,  Baicheng,13650662,5366949,8775221,3161992
黑龙江省,Heilongjiang,,,,
  哈尔滨市,  Harbin,184466991,162269486,150538454,139902086
  齐齐哈尔市,  Qiqihar,36642346,19963264,18478584,11723454
  鸡西市,  Jixi,18187758,9698096,10358418,5295118
  鹤岗市,  Hegang,11911148,7644571,6587140,2407459
  双鸭山市,  Shuangyashan,15301725,6866224,10149021,6346650
  大庆市,  Daqing,44259444,37381852,13656840,10376777
  伊春市,  Yichun,11905518,8604920,2378308,1590481
  佳木斯市,  Jiamusi,23950589,11430009,20289718,3684300
  七台河市,  Qitaihe,8305149,6527086,4341101,3117848
  牡丹江市,  Mudanjiang,25994006,12888235,9652236,5710166
  黑河市,  Heihe,15237247,4312242,5743161,1424815
  绥化市,  Suihua,29793091,8042375,13941454,4514267
上海市,Shanghai,1935943083,1935943083,1059065990,1059065990
江苏省,Jiangsu,,,,
  南京市,  Nanjing,531782514,531782514,539018866,539018866
  无锡市,  Wuxi,263916053,166352800,222888962,143987000
  徐州市,  Xuzhou,116369457,72115997,108413428,64523779
  常州市,  Changzhou,176083348,149128200,162933483,142104989
  苏州市,  Suzhou,508009522,294133371,512476381,318038221
  南通市,  Nantong,206060739,114314974,182880242,99318364
  连云港市,  Lianyungang,57943265,40503541,69983310,51517757
  淮安市,  Huai'an,66831357,43721438,76344197,53068495
  盐城市,  Yancheng,114488946,59639632,115312943,67230441
  扬州市,  Yangzhou,102572371,70131201,97586775,68771374
  镇江市,  Zhenjiang,84360908,40643637,90156599,42508701
  泰州市,  Taizhou,110337025,56579934,102178915,53272464
  宿迁市,  Suqian,58851083,32763611,60131700,30699932
浙江省,Zhejiang,,,,
  杭州市,  Hangzhou,756031509,732398110,683098518,655383492
  宁波市,  Ningbo,329584158,228488256,376584445,272475250
  温州市,  Wenzhou,216592237,110333670,208125939,101921506
  嘉兴市,  Jiaxing,149140174,49291334,163434010,49236497
  湖州市,  Huzhou,90645603,46305184,105338086,52300820
  绍兴市,  Shaoxing,161328415,107707588,164388979,113450649
  金华市,  Jinhua,158769861,38045750,158908508,42760635
  衢州市,  Quzhou,47084595,24874079,50429070,27640244
  舟山市,  Zhoushan,35274950,29787944,42156738,36161783
  台州市,  Taizhou,154407902,69799489,159201645,68189369
  丽水市,  Lishui,56331484,19834348,47158285,17626363
安徽省,Anhui,,,,
  合肥市,  Hefei,249670014,202442780,274948278,230237671
  芜湖市,  Wuhu,66677546,53488852,60705281,51408731
  蚌埠市,  Bengbu,34220263,20459236,34851350,22239324
  淮南市,  Huainan,33257717,22097619,25732890,15329522
  马鞍山市,  Ma'anshan,35202204,21434024,33544584,21233936
