Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
2-12对外经济贸易(全市),,,
,,,
Foreign Trade and Economic Cooperation (Total City),,,
,,,
单位：万元,,,(10 000 yuan)
城 市,City,货物进口额 Import Volume of Goods,货物出口额 Export Volume of Goods
北京市,Beijing,304662637,60000516
天津市,Tianjin,43772059,36313836
河北省,Hebei,,
  石家庄市,  Shijiazhuang,4667222,7741396
  唐山市,  Tangshan,10649968,5802104
  秦皇岛市,  Qinhuangdao,1538637,2698778
  邯郸市,  Handan,1035898,1389101
  邢台市,  Xingtai,2261000,272000
  保定市,  Baoding,508387,6632244
  张家口市,  Zhangjiakou,75024,709168
  承德市,  Chengde,59012,204000
  沧州市,  Cangzhou,1705000,2979000
  廊坊市,  Langfang,2518744,2181096
  衡水市,  Hengshui,157766,2207980
山西省,Shanxi,,
  太原市,  Taiyuan,5227676,8269409
  大同市,  Datong,44835,387398
  阳泉市,  Yangquan,108440,53603
  长治市,  Changzhi,12769,120311
  晋城市,  Jincheng,172998,223165
  朔州市,  Shuozhou,24893,47714
  晋中市,  Jinzhong,28606,293323
  运城市,  Yuncheng,548196,485307
  忻州市,  Xinzhou,58496,177081
  临汾市,  Linfen,42218,211838
  吕梁市,  Lvliang,189085,196924
内蒙古自治区,Inner Mongolia,,
  呼和浩特市,  Hohhot,762956,1180616
  包头市,  Baotou,1777700,1235300
  乌海市,  Wuhai,17970,103306
  赤峰市,  Chifeng,1850000,436000
  通辽市,  Tongliao,65854,389937
  鄂尔多斯市,  Erdos,471756,1169935
  呼伦贝尔市,  Hulunbuir,1107725,1793240
  巴彦淖尔市,  Bayannur,3653720,716420
  乌兰察布市,  Ulanqab,157000,231000
辽宁省,Liaoning,,
  沈阳市,  Shenyang,9448395,5245071
  大连市,  Dalian,24720686,20807715
  鞍山市,  Anshan,1740912,1413824
  抚顺市,  Fushun,53952,479732
  本溪市,  Benxi,891319,1119317
  丹东市,  Dandong,241012,1465126
  锦州市,  Jinzhou,203476,572509
  营口市,  Yingkou,2446593,2315164
  阜新市,  Fuxin,24825,169120
  辽阳市,  Liaoyang,51846,187274
  盘锦市,  Panjin,855290,196572
  铁岭市,  Tieling,385284,308111
  朝阳市,  Chaoyang,213991,450941
  葫芦岛市,  Huludao,289896,299351
吉林省,Jilin,,
  长春市,  Changchun,8946225,3313004
  吉林市,  Jilin,210502,418009
  四平市,  Siping,741,16652
  辽源市,  Liaoyuan,22066,135035
