Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
2-17科技创新情况(全市),,,
,,,
Scientific and Technological Innovation (Total City),,,
,,,
单位：件,,,
,,,
(piece),,,
,,,
城 市,City,专利授权数 Number of Patent Authorizations,
,,,发明 Invention
北京市,Beijing,193973,107875
天津市,Tianjin,59154,14319
河北省,Hebei,,
  石家庄市,  Shijiazhuang,19022,4137
  唐山市,  Tangshan,11128,1730
  秦皇岛市,  Qinhuangdao,3567,1178
  邯郸市,  Handan,6636,1024
  邢台市,  Xingtai,7606,653
  保定市,  Baoding,14669,2105
  张家口市,  Zhangjiakou,2465,309
  承德市,  Chengde,2200,305
  沧州市,  Cangzhou,8934,1027
  廊坊市,  Langfang,10200,1206
  衡水市,  Hengshui,4881,457
山西省,Shanxi,,
  太原市,  Taiyuan,14136,4506
  大同市,  Datong,1205,209
  阳泉市,  Yangquan,667,115
  长治市,  Changzhi,2415,301
  晋城市,  Jincheng,1483,174
  朔州市,  Shuozhou,493,54
  晋中市,  Jinzhong,2387,429
  运城市,  Yuncheng,2248,339
  忻州市,  Xinzhou,817,167
  临汾市,  Linfen,1334,129
  吕梁市,  Lvliang,1278,134
内蒙古自治区,Inner Mongolia,,
  呼和浩特市,  Hohhot,6067,1457
  包头市,  Baotou,3905,613
  乌海市,  Wuhai,702,271
  赤峰市,  Chifeng,1585,152
  通辽市,  Tongliao,1016,131
  鄂尔多斯市,  Erdos,4007,484
  呼伦贝尔市,  Hulunbuir,1402,206
  巴彦淖尔市,  Bayannur,859,61
  乌兰察布市,  Ulanqab,1028,83
辽宁省,Liaoning,,
  沈阳市,  Shenyang,26435,5946
  大连市,  Dalian,22057,4514
  鞍山市,  Anshan,3497,780
  抚顺市,  Fushun,1627,239
  本溪市,  Benxi,1128,214
  丹东市,  Dandong,1844,165
  锦州市,  Jinzhou,1532,257
  营口市,  Yingkou,2146,200
  阜新市,  Fuxin,1127,259
  辽阳市,  Liaoyang,1054,88
  盘锦市,  Panjin,1333,145
  铁岭市,  Tieling,1226,51
  朝阳市,  Chaoyang,1499,84
  葫芦岛市,  Huludao,1127,127
吉林省,Jilin,,
  长春市,  Changchun,20331,6652
  吉林市,  Jilin,2248,507
  四平市,  Siping,723,84
  辽源市,  Liaoyuan,406,78
  通化市,  Tonghua,682,51
  白山市,  Baishan,351,25
  松原市,  Songyuan,566,30
  白城市,  Baicheng,494,60
