Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2-18高新技术企业数和技术合同成交额,,,,,
,,,,,
The Number of High-tech Enterprises and Technical Contract Turnover,,,,,
,,,,,
城 市,City,高新技术企业数(国家级)(个) The Number of High-tech Enterprises(national level)(unit),,技术合同成交额(万元) Technical Contract Turnover (10 000 yuan),
,,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City
北京市,Beijing,28330,28330,85369393,85369393
天津市,Tianjin,11589,11589,19573777,19573777
河北省,Hebei,,,,
  石家庄市,  Shijiazhuang,3572,2801,2050000,1995098
  唐山市,  Tangshan,1720,1141,2411146,867983
  秦皇岛市,  Qinhuangdao,427,358,570000,235100
  邯郸市,  Handan,1094,533,3546179,1432447
  邢台市,  Xingtai,897,262,594553,362385
  保定市,  Baoding,2222,1111,3883675,2181893
  张家口市,  Zhangjiakou,360,212,321507,282508
  承德市,  Chengde,273,124,432922,111835
  沧州市,  Cangzhou,1378,205,1994000,480000
  廊坊市,  Langfang,1410,562,1454430,645273
  衡水市,  Hengshui,817,315,570591,224725
山西省,Shanxi,,,,
  太原市,  Taiyuan,2150,1084,2763375,
  大同市,  Datong,127,92,5023,
  阳泉市,  Yangquan,164,132,133484,
  长治市,  Changzhi,289,239,316295,184276
  晋城市,  Jincheng,162,55,,691
  朔州市,  Shuozhou,110,46,341,269
  晋中市,  Jinzhong,344,93,777100,598502
  运城市,  Yuncheng,291,69,276100,34491
  忻州市,  Xinzhou,159,48,303,
  临汾市,  Linfen,166,44,231583,39997
  吕梁市,  Lvliang,106,8,137240,18950
内蒙古自治区,Inner Mongolia,,,,
  呼和浩特市,  Hohhot,533,318,150689,84914
  包头市,  Baotou,341,327,194448,192123
  乌海市,  Wuhai,58,58,5767,5767
  赤峰市,  Chifeng,148,84,37600,20827
  通辽市,  Tongliao,67,17,16252,8538
  鄂尔多斯市,  Erdos,304,56,77898,28858
  呼伦贝尔市,  Hulunbuir,57,16,26807,6936
  巴彦淖尔市,  Bayannur,100,48,9923,4877
  乌兰察布市,  Ulanqab,126,29,16873,2997
辽宁省,Liaoning,,,,
  沈阳市,  Shenyang,5052,4884,6362549,6304412
  大连市,  Dalian,4700,4297,5058413,4934285
  鞍山市,  Anshan,495,358,203590,200600
  抚顺市,  Fushun,162,136,65667,56487
  本溪市,  Benxi,113,95,155000,109000
  丹东市,  Dandong,319,175,56000,32406
  锦州市,  Jinzhou,225,157,500000,320000
  营口市,  Yingkou,431,328,142000,104900
  阜新市,  Fuxin,131,74,95000,48400
  辽阳市,  Liaoyang,193,127,130006,70891
  盘锦市,  Panjin,217,186,108600,108600
  铁岭市,  Tieling,170,73,34384,15953
  朝阳市,  Chaoyang,207,74,106809,32436
  葫芦岛市,  Huludao,120,32,44406,13573
吉林省,Jilin,,,,
  长春市,  Changchun,2932,2810,807149,806900
  吉林市,  Jilin,257,188,51497,50523
  四平市,  Siping,62,38,6768,768
  辽源市,  Liaoyuan,34,,2221,291
  通化市,  Tonghua,80,40,110829,512
  白山市,  Baishan,,,4649,265
  松原市,  Songyuan,47,29,349,349
  白城市,  Baicheng,22,,,
黑龙江省,Heilongjiang,,,,
  哈尔滨市,  Harbin,2832,2747,552200,
  齐齐哈尔市,  Qiqihar,216,152,72408,70763
  鸡西市,  Jixi,71,45,18011,9947
  鹤岗市,  Hegang,31,16,27534,18139
  双鸭山市,  Shuangyashan,,,24091,24076
  大庆市,  Daqing,582,558,228276,222441
  伊春市,  Yichun,30,15,19396,8340
  佳木斯市,  Jiamusi,146,80,74347,20823
  七台河市,  Qitaihe,51,40,22269,17153
  牡丹江市,  Mudanjiang,206,128,68779,22630
  黑河市,  Heihe,16,9,25833,2707
  绥化市,  Suihua,130,10,130571,22000
上海市,Shanghai,,,48502100,48502100
江苏省,Jiangsu,,,,
  南京市,  Nanjing,10048,10048,10015700,10015700
  无锡市,  Wuxi,6320,4474,4974840,2690316
  徐州市,  Xuzhou,1539,822,2214900,1169500
  常州市,  Changzhou,4720,4412,3203316,2770955
  苏州市,  Suzhou,15714,9205,10115117,4614815
  南通市,  Nantong,3622,1611,6203000,2834200
  连云港市,  Lianyungang,683,478,795712,583782
  淮安市,  Huai'an,768,462,1734161,1237102
  盐城市,  Yancheng,2338,1200,1952368,683728
  扬州市,  Yangzhou,2003,1159,2599552,1563687
  镇江市,  Zhenjiang,1431,567,1520000,581000
  泰州市,  Taizhou,1898,833,2452060,1136679
  宿迁市,  Suqian,785,356,814900,306000
浙江省,Zhejiang,,,,
  杭州市,  Hangzhou,15062,14410,21597611,21305261
  宁波市,  Ningbo,7014,4396,8880000,4602000
  温州市,  Wenzhou,4321,1431,4961674,2021900
  嘉兴市,  Jiaxing,4213,1068,7404800,1710200
  湖州市,  Huzhou,1848,607,2526700,1162700
  绍兴市,  Shaoxing,2969,1739,6298200,3993500
  金华市,  Jinhua,2566,711,2088900,714800
  衢州市,  Quzhou,879,386,818600,485600
  舟山市,  Zhoushan,272,244,372800,290200
  台州市,  Taizhou,2320,807,2588300,1163000
  丽水市,  Lishui,906,320,736800,476500
安徽省,Anhui,,,,
  合肥市,  Hefei,8406,6530,6946000,6292900
  芜湖市,  Wuhu,2016,1771,3966640,3475363
  蚌埠市,  Bengbu,920,613,1677058,1617523
  淮南市,  Huainan,314,194,994650,631606
  马鞍山市,  Ma'anshan,1089,694,2186900,554500
  淮北市,  Huaibei,347,228,1040200,1040193
  铜陵市,  Tongling,498,450,1540559,1285115
  安庆市,  Anqing,751,266,2550800,398800
  黄山市,  Huangshan,385,197,460602,235812
  滁州市,  Chuzhou,1353,455,4128700,567804
  阜阳市,  Fuyang,740,221,1180000,264500
  宿州市,  Suzhou,477,274,1700172,171301
  六安市,  Lu'an,670,342,1520102,803548
  亳州市,  Bozhou,412,188,792708,285189
  池州市,  Chizhou,339,211,610809,419663
  宣城市,  Xuancheng,700,134,2104490,1164325
福建省,Fujian,,,,
  福州市,  Fuzhou,4509,2543,1053536,824042
  厦门市,  Xiamen,4220,4220,1735822,1735822
  莆田市,  Putian,394,330,38956,34563
  三明市,  Sanming,302,93,34556,17060
  泉州市,  Quanzhou,3084,761,147363,84559
  漳州市,  Zhangzhou,885,649,321543,19373
  南平市,  Nanping,245,41,25123,9783
  龙岩市,  Longyan,562,334,36591,16401
  宁德市,  Ningde,278,87,361799,352887
江西省,Jiangxi,,,,
  南昌市,  Nanchang,1719,1251,3911506,2872049
  景德镇市,  Jingdezhen,170,,399174,149478
  萍乡市,  Pingxiang,212,123,472452,252018
  九江市,  Jiujiang,660,267,1552057,589590
  新余市,  Xinyu,154,132,690959,489259
  鹰潭市,  Yingtan,224,139,450000,270800
  赣州市,  Ganzhou,977,408,2703796,687593
  吉安市,  Ji'an,495,64,1680642,165030
  宜春市,  Yichun,601,153,1209903,191239
  抚州市,  Fuzhou,426,167,1055180,358367
  上饶市,  Shangrao,560,226,1680000,701166
山东省,Shandong,,,,
  济南市,  Jinan,6917,6700,9161400,9084600
  青岛市,  Qingdao,7920,6111,6323375,4507923
  淄博市,  Zibo,1680,1389,3074967,2231511
  枣庄市,  Zaozhuang,465,307,1061100,728374
  东营市,  Dongying,918,761,1866500,1012985
  烟台市,  Yantai,2380,1681,4492900,2530000
  潍坊市,  Weifang,2193,1032,3156566,990798
  济宁市,  Jining,1821,759,2623116,773336
  泰安市,  Tai'an,928,505,1723051,624523
  威海市,  Weihai,1698,1451,1535813,1035680
  日照市,  Rizhao,916,628,1073900,740680
  临沂市,  Linyi,2106,1099,3197891,1218405
  德州市,  Dezhou,933,313,1631400,387623
  聊城市,  Liaocheng,803,357,1316400,568592
  滨州市,  Binzhou,754,226,1812600,457165
  菏泽市,  Heze,607,222,1756913,613912
河南省,Henan,,,,
  郑州市,  Zhengzhou,5844,4901,6548710,2596599
  开封市,  Kaifeng,301,190,341049,165107
  洛阳市,  Luoyang,1443,1107,1454026,1419181
  平顶山市,  Pingdingshan,398,178,319130,261950
  安阳市,  Anyang,386,201,253804,148118
  鹤壁市,  Hebi,148,117,118419,100496
  新乡市,  Xinxiang,856,400,697336,309259
  焦作市,  Jiaozuo,471,142,538452,291174
  濮阳市,  Puyang,191,103,228199,108658
  许昌市,  Xuchang,473,194,364060,177410
  漯河市,  Luohe,203,150,219077,150058
  三门峡市,  Sanmenxia,164,103,78343,32971
  南阳市,  Nanyang,638,209,1309000,297400
  商丘市,  Shangqiu,287,97,161238,41850
  信阳市,  Xinyang,303,132,295513,103038
  周口市,  Zhoukou,301,86,301167,25829
  驻马店市,  Zhumadian,288,79,408107,103193
湖北省,Hubei,,,,
  武汉市,  Wuhan,14500,14500,21984300,21984300
  黄石市,  Huangshi,768,361,1841604,1309562
  十堰市,  Shiyan,706,505,2160000,1150000
  宜昌市,  Yichang,1423,737,4435956,2352179
  襄阳市,  Xiangyang,1675,1176,4870000,2700000
  鄂州市,  Ezhou,313,313,745054,745054
  荆门市,  Jingmen,680,327,1551700,669800
  孝感市,  Xiaogan,818,356,1471700,450821
  荆州市,  Jingzhou,870,376,2408413,1263946
  黄冈市,  Huanggang,1108,173,2726194,461394
  咸宁市,  Xianning,560,257,1713800,425000
  随州市,  Suizhou,312,171,550331,329441
湖南省,Hunan,,,,
  长沙市,  Changsha,7842,5374,12062812,9119619
  株洲市,  Zhuzhou,1260,888,3948484,3443993
  湘潭市,  Xiangtan,825,531,3389800,2691935
  衡阳市,  Hengyang,1066,513,2880842,1270751
  邵阳市,  Shaoyang,656,196,2550500,797800
  岳阳市,  Yueyang,915,436,3349114,276966
  常德市,  Changde,726,401,2161000,885000
  张家界市,  Zhangjiajie,162,82,375228,166686
  益阳市,  Yiyang,684,372,2182570,1556785
  郴州市,  Chenzhou,617,349,2320389,515573
  永州市,  Yongzhou,580,163,1365799,229822
  怀化市,  Huaihua,524,97,750000,144800
  娄底市,  Loudi,424,161,1687949,781970
广东省,Guangdong,,,,
  广州市,  Guangzhou,13183,13183,25508200,25508200
  韶关市,  Shaoguan,432,216,11820,6471
  深圳市,  Shenzhen,,,15802486,15802486
  珠海市,  Zhuhai,2657,2657,867200,867200
  汕头市,  Shantou,753,752,25112,25112
