Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2-21学生数(三),,,,,
,,,,,
Number of Students (HI),,,,,
,,,,,
城 市,City,小学阶段(万人) Elementary School Stage(10 000 persons),,学前教育(人) Preschool Education(person),
,,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City
北京市,Beijing,116,116,515267,515267
天津市,Tianjin,82,82,290052,290052
河北省,Hebei,,,,
  石家庄市,  Shijiazhuang,97,51,302947,159371
  唐山市,  Tangshan,56,26,189499,92478
  秦皇岛市,  Qinhuangdao,20,12,62624,39421
  邯郸市,  Handan,102,40,267049,102454
  邢台市,  Xingtai,76,22,219556,67823
  保定市,  Baoding,97,26,322321,89696
  张家口市,  Zhangjiakou,25,10,95923,39718
  承德市,  Chengde,24,5,76728,19067
  沧州市,  Cangzhou,71,8,210260,29034
  廊坊市,  Langfang,53,11,149106,31865
  衡水市,  Hengshui,34,11,98305,29430
山西省,Shanxi,,,,
  太原市,  Taiyuan,38,33,124119,101897
  大同市,  Datong,17,12,60057,35783
  阳泉市,  Yangquan,7,4,30374,18253
  长治市,  Changzhi,21,12,88685,51719
  晋城市,  Jincheng,12,4,64142,23947
  朔州市,  Shuozhou,12,6,32111,15285
  晋中市,  Jinzhong,22,8,95526,39398
  运城市,  Yuncheng,34,8,143112,36706
  忻州市,  Xinzhou,16,4,64195,16008
  临汾市,  Linfen,28,8,112522,30837
  吕梁市,  Lvliang,26,5,103576,21542
内蒙古自治区,Inner Mongolia,,,,
  呼和浩特市,  Hohhot,21,16,69970,51060
  包头市,  Baotou,15,13,60304,53001
  乌海市,  Wuhai,3,3,15644,15644
  赤峰市,  Chifeng,26,10,96496,43090
  通辽市,  Tongliao,17,3,59864,11229
  鄂尔多斯市,  Erdos,17,7,78530,30544
  呼伦贝尔市,  Hulunbuir,10,2,41764,10048
  巴彦淖尔市,  Bayannur,8,3,36837,16976
  乌兰察布市,  Ulanqab,7,3,27853,7396
辽宁省,Liaoning,,,,
  沈阳市,  Shenyang,47,,158302,
  大连市,  Dalian,40,32,131527,109860
  鞍山市,  Anshan,14,6,59085,25837
  抚顺市,  Fushun,7,5,28373,19896
  本溪市,  Benxi,5,3,19621,468
  丹东市,  Dandong,9,1,31298,14882
  锦州市,  Jinzhou,10,5,38708,21069
  营口市,  Yingkou,11,7,37839,20917
  阜新市,  Fuxi,7,3,29846,14463
  辽阳市,  Liaoyang,6,4,27063,15187
  盘锦市,  Panjin,7,6,29395,25974
  铁岭市,  Tieling,8,4,37510,16874
  朝阳市,  Chaoyang,16,5,52978,17688
  葫芦岛市,  Huludao,12,5,41414,14088
吉林省,Jilin,,,,
  长春市,  Changchun,45,30,129763,102754
  吉林市,  Jilin,15,8,51377,30588
  四平市,  Siping,8,3,25825,9031
  辽源市,  Liaoyuan,4,2,15123,8348
  通化市,  Tonghua,6,2,21542,8381
  白山市,  Baishan,4,2,13902,5875
  松原市,  Songyuan,10,4,33905,13637
  白城市,  Baicheng,7,2,22596,8165
黑龙江省,Heilongjiang,,,,
  哈尔滨市,  Harbin,35,25,112025,82747
  齐齐哈尔市,  Qiqihar,13,5,50340,17725
  鸡西市,  Jixi,4,1,17438,7074
  鹤岗市,  Hegang,3,2,10558,6513
  双鸭山市,  Shuangyashan,4,1,15199,4796
  大庆市,  Daqing,10,7,44520,31511
  伊春市,  Yichun,2,1,8444,3722
  佳木斯市,  Jiamusi,8,3,27007,9821
  七台河市,  Qitaihe,2,2,10229,7643
  牡丹江市,  Mudanjiang,8,4,26537,11112
  黑河市,  Heihe,4,1,18294,3905
  绥化市,  Suihua,10,2,41062,8299
上海市,Shanghai,94,94,484123,484123
江苏省,Jiangsu,,,,
  南京市,  Nanjing,57,57,251144,251144
  无锡市,  Wuxi,49,30,186587,118789
  徐州市,  Xuzhou,81,32,263343,109955
  常州市,  Changzhou,35,31,135958,116141
  苏州市,  Suzhou,95,50,349995,183715
  南通市,  Nantong,40,21,148575,82480
  连云港市,  Lianyungang,40,17,126532,65692
  淮安市,  Huai'an,34,22,106184,69580
  盐城市,  Yancheng,41,15,130403,52256
  扬州市,  Yangzhou,24,15,88760,55827
  镇江市,  Zhenjiang,18,7,71615,28009
  泰州市,  Taizhou,24,10,88898,37429
  宿迁市,  Suqian,52,17,150954,56455
浙江省,Zhejiang,,,,
  杭州市,  Hangzhou,76,69,372923,339562
  宁波市,  Ningbo,58,31,261812,143267
  温州市,  Wenzhou,65,19,252226,79987
  嘉兴市,  Jiaxing,33,10,143540,42690
  湖州市,  Huzhou,21,10,90291,41786
  绍兴市,  Shaoxing,30,17,127551,76434
  金华市,  Jinhua,51,10,208395,47007
  衢州市,  Quzhou,14,6,61188,27463
  舟山市,  Zhoushan,5,5,23127,19608
  台州市,  Taizhou,43,15,167765,58852
  丽水市,  Lishui,16,4,67186,19058
安徽省,Anhui,,,,
  合肥市,  Hefei,69,43,339776,214172
  芜湖市,  Wuhu,22,15,93973,67430
  蚌埠市,  Bengbu,32,12,97931,39961
  淮南市,  Huainan,23,11,76219,37854
  马鞍山市,  Ma'anshan,12,5,55605,24967
  淮北市,  Huaibei,18,9,66110,32562
  铜陵市,  Tongling,7,5,28323,19680
  安庆市,  Anqing,27,5,104677,22500
  黄山市,  Huangshan,8,3,36679,17201
  滁州市,  Chuzhou,26,6,116253,29100
  阜阳市,  Fuyang,78,22,245514,70297
  宿州市,  Suzhou,50,18,178569,64212
  六安市,  Lu'an,31,16,115219,62700
  亳州市,  Bozhou,47,15,151318,48413
  池州市,  Chizhou,8,4,32215,15907
  宣城市,  Xuancheng,14,4,64859,21477
福建省,Fujian,,,,
  福州市,  Fuzhou,63,33,222880,125300
  厦门市,  Xiamen,43,43,186606,186606
  莆田市,  Putian,29,21,96302,70210
  三明市,  Sanming,22,6,74844,20571
  泉州市,  Quanzhou,88,17,317822,65867
  漳州市,  Zhangzhou,46,20,164687,72859
  南平市,  Nanping,19,6,68800,20912
  龙岩市,  Longyan,29,13,97622,44376
  宁德市,  Ningde,28,6,98267,22021
江西省,Jiangxi,,,,
  南昌市,  Nanchang,46,1,180392,
  景德镇市,  Jingdezhen,14,5,45200,18300
  萍乡市,  Pingxiang,14,7,52231,25930
  九江市,  Jiujiang,36,10,128062,35759
  新余市,  Xinyu,10,8,4,3
  鹰潭市,  Yingtan,9,5,30573,18614
  赣州市,  Ganzhou,79,24,286989,89571
  吉安市,  Ji'an,43,7,140303,25252
  宜春市,  Yichun,43,11,148341,37028
  抚州市,  Fuzhou,30,13,94571,40496
  上饶市,  Shangrao,52,16,179999,61029
山东省,Shandong,,,,
  济南市,  Jinan,71,64,309342,285137
  青岛市,  Qingdao,74,55,299538,228767
  淄博市,  Zibo,26,19,120976,89169
  枣庄市,  Zaozhuang,36,21,99708,46170
  东营市,  Dongying,16,11,69367,47639
  烟台市,  Yantai,33,17,161024,84766
  潍坊市,  Weifang,72,22,288306,96545
  济宁市,  Jining,68,18,271474,66255
  泰安市,  Tai'an,34,13,148655,57686
  威海市,  Weihai,14,10,65545,47278
  日照市,  Rizhao,25,13,101813,53814
  临沂市,  Linyi,116,37,406727,166486
  德州市,  Dezhou,46,13,156429,50263
  聊城市,  Liaocheng,61,21,172210,64062
  滨州市,  Binzhou,31,10,125335,44419
  菏泽市,  Heze,91,27,275952,74750
河南省,Henan,,,,
  郑州市,  Zhengzhou,118,71,408335,200687
  开封市,  Kaifeng,46,16,156062,55041
  洛阳市,  Luoyang,62,29,240974,111306
  平顶山市,  Pingdingshan,49,11,163808,37875
  安阳市,  Anyang,54,17,161004,53354
  鹤壁市,  Hebi,14,7,43285,20074
  新乡市,  Xinxiang,59,13,199736,44789
  焦作市,  Jiaozuo,28,8,114168,35795
  濮阳市,  Puyang,41,13,124737,36628
  许昌市,  Xuchang,40,12,136804,41785
  漯河市,  Luohe,20,13,78303,49271
  三门峡市,  Sanmenxia,16,5,67135,20564
  南阳市,  Nanyang,117,66,411100,95600
  商丘市,  Shangqiu,87,21,306870,64813
  信阳市,  Xinyang,61,14,187217,47091
  周口市,  Zhoukou,93,18,316873,63659
  驻马店市,  Zhumadian,71,11,221259,32385
湖北省,Hubei,,,,
  武汉市,  Wuhan,80,80,370000,370000
  黄石市,  Huangshi,23,7,76007,24537
  十堰市,  Shiyan,24,11,98501,48093
  宜昌市,  Yichang,18,9,78587,41244
  襄阳市,  Xiangyang,37,17,139958,63523
  鄂州市,  Ezhou,8,8,31783,31783
  荆门市,  Jingmen,14,5,64194,23957
  孝感市,  Xiaogan,28,8,105144,29337
  荆州市,  Jingzhou,30,7,115095,28116
  黄冈市,  Huanggang,45,3,173664,13713
  咸宁市,  Xianning,23,6,88094,24925
  随州市,  Suizhou,14,6,60988,25881
湖南省,Hunan,,,,
  长沙市,  Changsha,87,56,373891,243995
  株洲市,  Zhuzhou,30,14,108869,55976
  湘潭市,  Xiangtan,17,7,64805,30097
  衡阳市,  Hengyang,53,12,168400,44200
  邵阳市,  Shaoyang,52,7,151004,23817
  岳阳市,  Yueyang,36,9,141112,46160
  常德市,  Changde,31,9,112953,36735
  张家界市,  Zhangjiajie,10,4,40569,18974
  益阳市,  Yiyang,26,9,90804,34532
  郴州市,  Chenzhou,41,10,122000,36933
  永州市,  Yongzhou,45,10,147520,36288
