Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2-22文化体育设施,,,,,
,,,,,
Cultural and Sports Facilities,,,,,
,,,,,
城 市,City,公共图书馆图书藏量 (万册) Collections of Public Libraries (10 000 copies),,博物馆数 (个) Number of Museums (unit),
,,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City
北京市,Beijing,8099,8099,226,226
天津市,Tianjin,2445,2445,53,53
河北省,Hebei,,,,
  石家庄市,  Shijiazhuang,855,667,65,50
  唐山市,  Tangshan,1072,622,17,9
  秦皇岛市,  Qinhuangdao,264,160,12,4
  邯郸市,  Handan,318,127,20,7
  邢台市,  Xingtai,324,140,9,5
  保定市,  Baoding,464,164,45,16
  张家口市,  Zhangjiakou,225,120,14,7
  承德市,  Chengde,128,53,16,2
  沧州市,  Cangzhou,615,20,17,3
  廊坊市,  Langfang,465,229,10,2
  衡水市,  Hengshui,165,53,10,5
山西省,Shanxi,,,,
  太原市,  Taiyuan,711,631,41,37
  大同市,  Datong,144,107,29,23
  阳泉市,  Yangquan,85,59,3,3
  长治市,  Changzhi,232,53,28,14
  晋城市,  Jincheng,210,89,8,1
  朔州市,  Shuozhou,136,69,7,3
  晋中市,  Jinzhong,251,45,25,8
  运城市,  Yuncheng,176,10,24,1
  忻州市,  Xinzhou,143,19,14,4
  临汾市,  Linfen,302,137,24,8
  吕梁市,  Lvliang,198,2,12,3
内蒙古自治区,Inner Mongolia,,,,
  呼和浩特市,  Hohhot,738,661,30,14
  包头市,  Baotou,209,173,3,1
  乌海市,  Wuhai,76,76,3,3
  赤峰市,  Chifeng,230,69,22,3
  通辽市,  Tongliao,218,49,11,1
  鄂尔多斯市,  Erdos,324,174,24,8
  呼伦贝尔市,  Hulunbuir,273,26,32,5
  巴彦淖尔市,  Bayannur,95,42,13,2
  乌兰察布市,  Ulanqab,113,6,9,2
辽宁省,Liaoning,,,,
  沈阳市,  Shenyang,814,768,23,23
  大连市,  Dalian,2837,2084,30,27
  鞍山市,  Anshan,339,262,7,3
  抚顺市,  Fushun,164,118,5,3
  本溪市,  Benxi,183,158,7,2
  丹东市,  Dandong,151,120,4,2
  锦州市,  Jinzhou,211,157,9,4
  营口市,  Yingkou,187,163,5,3
  阜新市,  Fuxin,60,43,7,5
  辽阳市,  Liaoyang,130,116,4,1
  盘锦市,  Panjin,126,112,3,3
  铁岭市,  Tieling,88,5,2,1
  朝阳市,  Chaoyang,128,44,16,7
  葫芦岛市,  Huludao,134,26,3,1
吉林省,Jilin,,,,
  长春市,  Changchun,800,683,29,24
  吉林市,  Jilin,386,197,38,10
  四平市,  Siping,79,54,5,2
  辽源市,  Liaoyuan,37,22,7,4
  通化市,  Tonghua,91,9,8,3
  白山市,  Baishan,112,,11,
  松原市,  Songyuan,126,38,10,2
  白城市,  Baicheng,,,7,
黑龙江省,Heilongjiang,,,,
  哈尔滨市,  Harbin,6657,4237,69,57
  齐齐哈尔市,  Qiqihar,319,187,19,6
  鸡西市,  Jixi,130,,12,5
  鹤岗市,  Hegang,58,39,5,3
  双鸭山市,  Shuangyashan,91,,7,1
  大庆市,  Daqing,257,13,12,5
  伊春市,  Yichun,137,74,9,2
  佳木斯市,  Jiamusi,124,,11,3
  七台河市,  Qitaihe,39,22,1,1
  牡丹江市,  Mudanjiang,1394,708,22,4
  黑河市,  Heihe,58,16,26,11
  绥化市,  Suihua,182,22,17,1
上海市,Shanghai,8307,8307,165,165
江苏省,Jiangsu,,,,
  南京市,  Nanjing,2670,2670,75,75
  无锡市,  Wuxi,1064,659,64,44
  徐州市,  Xuzhou,684,171,23,13
  常州市,  Changzhou,556,279,30,3
  苏州市,  Suzhou,2861,1016,48,30
  南通市,  Nantong,980,427,31,13
  连云港市,  Lianyungang,437,118,12,3
  淮安市,  Huai'an,516,381,14,9
  盐城市,  Yancheng,728,379,14,9
  扬州市,  Yangzhou,729,402,17,17
  镇江市,  Zhenjiang,439,116,15,4
  泰州市,  Taizhou,458,276,18,10
  宿迁市,  Suqian,,,6,3
浙江省,Zhejiang,,,,
  杭州市,  Hangzhou,3182,2907,87,80
  宁波市,  Ningbo,1472,1142,78,42
  温州市,  Wenzhou,1754,969,58,17
  嘉兴市,  Jiaxing,1321,374,35,13
  湖州市,  Huzhou,475,268,37,18
  绍兴市,  Shaoxing,916,613,67,49
  金华市,  Jinhua,773,194,24,4
  衢州市,  Quzhou,510,290,8,3
  舟山市,  Zhoushan,262,211,15,12
  台州市,  Taizhou,1133,45,55,15
  丽水市,  Lishui,435,126,21,5
安徽省,Anhui,,,,
  合肥市,  Hefei,862,574,42,38
  芜湖市,  Wuhu,353,260,18,12
  蚌埠市,  Bengbu,336,110,4,1
  淮南市,  Huainan,134,92,10,7
  马鞍山市,  Ma'anshan,289,171,11,6
  淮北市,  Huaibei,114,91,12,9
  铜陵市,  Tongling,256,181,4,3
  安庆市,  Anqing,397,113,17,7
  黄山市,  Huangshan,142,72,51,24
  滁州市,  Chuzhou,297,79,15,1
  阜阳市,  Fuyang,300,57,11,2
  宿州市,  Suzhou,175,102,8,3
  六安市,  Lu'an,233,108,10,6
  亳州市,  Bozhou,207,93,5,2
  池州市,  Chizhou,134,52,5,3
  宣城市,  Xuancheng,159,37,12,1
福建省,Fujian,,,,
  福州市,  Fuzhou,1422,829,42,30
  厦门市,  Xiamen,1022,1022,4,64
  莆田市,  Putian,117,108,7,3
  三明市,  Sanming,340,72,12,3
  泉州市,  Quanzhou,1202,188,18,4
  漳州市,  Zhangzhou,293,101,14,6
  南平市,  Nanping,238,92,19,3
  龙岩市,  Longyan,368,151,15,6
  宁德市,  Ningde,463,167,13,3
江西省,Jiangxi,,,,
  南昌市,  Nanchang,371,297,28,
  景德镇市,  Jingdezhen,167,107,25,14
  萍乡市,  Pingxiang,510,266,7,3
  九江市,  Jiujiang,457,146,27,27
  新余市,  Xinyu,120,96,5,3
  鹰潭市,  Yingtan,59,19,5,3
  赣州市,  Ganzhou,883,273,26,6
  吉安市,  Ji'an,521,67,20,3
  宜春市,  Yichun,259,45,13,1
  抚州市,  Fuzhou,397,112,18,6
  上饶市,  Shangrao,209,94,24,5
山东省,Shandong,,,,
  济南市,  Jinan,1093,1015,94,87
  青岛市,  Qingdao,998,793,136,103
  淄博市,  Zibo,362,282,85,66
  枣庄市,  Zaozhuang,195,156,28,21
  东营市,  Dongying,360,270,14,9
  烟台市,  Yantai,645,351,55,24
  潍坊市,  Weifang,902,204,82,28
  济宁市,  Jining,373,140,71,23
  泰安市,  Tai'an,257,114,51,29
  威海市,  Weihai,468,114,14,8
  日照市,  Rizhao,196,150,24,17
  临沂市,  Linyi,488,183,60,24
  德州市,  Dezhou,310,57,19,6
  聊城市,  Liaocheng,236,117,21,11
  滨州市,  Binzhou,324,63,25,4
  菏泽市,  Heze,260,126,28,10
河南省,Henan,,,,
  郑州市,  Zhengzhou,908,465,53,35
  开封市,  Kaifeng,172,120,32,29
  洛阳市,  Luoyang,530,397,102,75
  平顶山市,  Pingdingshan,274,49,19,1
  安阳市,  Anyang,245,27,17,9
  鹤壁市,  Hebi,118,76,5,3
  新乡市,  Xinxiang,197,115,16,8
  焦作市,  Jiaozuo,174,33,13,4
  濮阳市,  Puyang,141,94,15,3
  许昌市,  Xuchang,220,125,18,6
  漯河市,  Luohe,84,69,14,5
  三门峡市,  Sanmenxia,293,238,7,3
  南阳市,  Nanyang,358,195,27,2
  商丘市,  Shangqiu,176,39,14,5
  信阳市,  Xinyang,239,57,41,3
  周口市,  Zhoukou,157,72,22,5
  驻马店市,  Zhumadian,369,245,13,1
湖北省,Hubei,,,,
  武汉市,  Wuhan,1070,1070,93,93
  黄石市,  Huangshi,220,154,9,2
  十堰市,  Shiyan,267,108,13,3
  宜昌市,  Yichang,577,261,19,5
  襄阳市,  Xiangyang,417,286,11,3
