Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
2-24社会保障主要指标(一),,,,,,,
,,,,,,,
Main Indicators of Social Security ( I),,,,,,,
,,,,,,,
单位：人,,,,,,(person),
城 市,City,城镇职工基本养老 保险参保人数 Number of Employees Joining Urban Basic Pension Insurance,,职工基本医疗保险参保人数 Number of Employees Joining Basic Medical Care System,,失业保险参保人数 Persons Covered of Unemployment Insurance,
,,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City
北京市,Beijing,18015000,18015000,15047000,15047000,14184000,14184000
天津市,Tianjin,8262100,8262100,6591800,6591800,4035900,4035900
河北省,Hebei,,,,,,
  石家庄市,  Shijiazhuang,3063113,2421578,2045869,1623776,1605742,1344254
  唐山市,  Tangshan,2386759,1694017,1900706,1380217,1210045,816564
  秦皇岛市,  Qinhuangdao,1094217,877785,921461,791254,471810,384862
  邯郸市,  Handan,1780840,1100029,1054529,758863,764877,497040
  邢台市,  Xingtai,1254075,585204,965778,567684,581874,298581
  保定市,  Baoding,2071534,586133,1677761,882001,1059327,353784
  张家口市,  Zhangjiakou,1244813,768742,962320,675700,428668,286126
  承德市,  Chengde,932815,371026,506023,250206,375234,164272
  沧州市,  Cangzhou,1495577,165821,889341,399998,692035,106335
  廊坊市,  Langfang,1365315,419828,869199,403460,544247,172724
  衡水市,  Hengshui,802458,367944,495643,223723,367274,189857
山西省,Shanxi,,,,,,
  太原市,  Taiyuan,2253522,2111832,1874434,1717542,1322645,813581
  大同市,  Datong,931009,724784,771158,680496,524921,458011
  阳泉市,  Yangquan,423767,313284,387700,324354,289112,237391
  长治市,  Changzhi,805635,208397,661581,138719,522409,122095
  晋城市,  Jincheng,655906,340907,536526,250116,391833,238667
  朔州市,  Shuozhou,379874,108039,231082,112716,246832,66751
  晋中市,  Jinzhong,906162,272713,684707,160108,457343,114602
  运城市,  Yuncheng,906766,96406,529947,43545,415461,29252
  忻州市,  Xinzhou,565109,106758,432486,36175,274918,19323
  临汾市,  Linfen,846435,99277,580810,56056,438414,40399
  吕梁市,  Lvliang,603000,66900,442756,30520,436200,50084
内蒙古自治区,Inner Mongolia,,,,,,
  呼和浩特市,  Hohhot,1254960,1065232,882508,755464,741308,665408
  包头市,  Baotou,1159736,1048386,941006,877748,455088,422186
  乌海市,  Wuhai,270462,270462,223300,223300,111800,111800
  赤峰市,  Chifeng,550215,303881,694626,403510,354285,97786
  通辽市,  Tongliao,706035,174230,430695,80903,250033,39719
  鄂尔多斯市,  Erdos,824819,185982,635558,125891,470617,104740
  呼伦贝尔市,  Hulunbuir,855308,108374,626784,76156,285156,21125
  巴彦淖尔市,  Bayannur,522301,133555,257097,113819,121046,63247
  乌兰察布市,  Ulanqab,628700,111502,345000,51856,148822,23405
辽宁省,Liaoning,,,,,,
  沈阳市,  Shenyang,4468596,,3876736,3689771,1755445,
  大连市,  Dalian,3971406,3274893,3641284,3106244,1687975,
  鞍山市,  Anshan,1347067,747016,1007999,774617,407933,276451
  抚顺市,  Fushun,864126,724513,841309,744790,250220,215005
  本溪市,  Benxi,736004,637029,632050,558714,319980,277700
  丹东市,  Dandong,1148416,542399,806437,534344,273000,
  锦州市,  Jinzhou,910745,534122,722470,514712,279013,
  营口市,  Yingkou,1151674,682541,875644,588701,327405,
  阜新市,  Fuxin,639548,168536,547670,444457,163190,109626
  辽阳市,  Liaoyang,820506,297147,617681,504941,224833,107514
  盘锦市,  Panjin,731090,60935,564634,503329,321634,293012
  铁岭市,  Tieling,663575,65748,531738,273365,195700,
  朝阳市,  Chaoyang,806593,296027,568200,251800,239947,107986
  葫芦岛市,  Huludao,664981,200252,621573,148860,212746,60725
吉林省,Jilin,,,,,,
  长春市,  Changchun,3103407,2516648,2047257,1684392,1238178,1093649
  吉林市,  Jilin,1412434,896723,843559,594349,341220,231782
  四平市,  Siping,617754,340738,283086,169592,123568,75250
  辽源市,  Liaoyuan,357158,229180,196340,138497,74928,42241
  通化市,  Tonghua,595939,283580,286440,156784,122849,60350
  白山市,  Baishan,522719,176253,308834,122625,112271,39805
  松原市,  Songyuan,518539,244616,375528,224073,172667,99914
  白城市,  Baicheng,492209,176822,259373,112019,104225,42883
黑龙江省,Heilongjiang,,,,,,
  哈尔滨市,  Harbin,3670874,2664276,2401761,2131152,1119127,
  齐齐哈尔市,  Qiqihar,786724,337392,754085,517992,223166,153474
  鸡西市,  Jixi,684900,484500,403914,324250,169300,129600
  鹤岗市,  Hegang,395691,349209,232215,200760,68975,59978
  双鸭山市,  Shuangyashan,423134,263161,254473,167346,131830,84383
  大庆市,  Daqing,1005490,695136,606513,488514,238636,208730
  伊春市,  Yichun,696882,190101,377211,181629,134829,61998
  佳木斯市,  Jiamusi,592835,354307,380139,260171,164272,126465
  七台河市,  Qitaihe,353145,276151,178122,147294,105120,92099
  牡丹江市,  Mudanjiang,881877,480992,516823,348849,172772,134625
  黑河市,  Heihe,226308,61535,207862,62719,64565,22851
  绥化市,  Suihua,806000,133851,423431,43413,135000,13148
上海市,Shanghai,16893600,16893600,16151300,16151300,10234800,10234800
江苏省,Jiangsu,,,,,,
  南京市,  Nanjing,3754067,3754067,5490500,5490500,3505462,3505462
  无锡市,  Wuxi,4324047,2754696,4374572,2790232,2630029,1762089
  徐州市,  Xuzhou,2066510,1277976,1953940,1337499,1010635,652012
  常州市,  Changzhou,1825044,1612563,2653047,2065835,1535821,1371601
  苏州市,  Suzhou,6205411,3406168,8360454,4429898,5547599,3124331
  南通市,  Nantong,1810796,985839,2672578,1451001,1471085,849490
  连云港市,  Lianyungang,1112993,743454,961081,723134,510423,378100
  淮安市,  Huai'an,798448,457520,1089844,531853,590824,310245
  盐城市,  Yancheng,1227716,501280,1731834,838582,890745,475278
