Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
2-25社会保障主要指标(二),,,,,,,,,
,,,,,,,,,
Main Indicators of Social Security( H ),,,,,,,,,
,,,,,,,,,
城 市,City,提供住宿的 民政机构数 (个) Number of Civil Affairs Institutions with Accommodation (unit),,,,提供住宿的 民政机构床位数 (张) Number of Beds in Civil Affairs Institutions with Accommodation (bed),,,
,,,,养老机构数 (个) Number of Institutions for the Aged (unit),,,,养老机构床位数 (张) Number of Beds in Institutions for the Aged (bed),
,,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City
北京市,Beijing,628,628,581,581,118537,118537,110034,110034
天津市,Tianjin,468,468,438,438,60639,60639,58967,58967
河北省,Hebei,,,,,,,,
  石家庄市,  Shijiazhuang,267,117,262,117,34625,18059,34314,17738
  唐山市,  Tangshan,345,147,331,140,64416,28578,35534,17015
  秦皇岛市,  Qinhuangdao,56,29,51,25,9463,6022,9306,5875
  邯郸市,  Handan,204,83,195,79,57068,16152,23784,7264
  邢台市,  Xingtai,287,56,280,53,57119,13583,26535,6107
  保定市,  Baoding,190,55,184,54,56118,15487,29005,8395
  张家口市,  Zhangjiakou,184,93,180,90,33564,13466,17044,10012
  承德市,  Chengde,134,28,124,26,14695,2438,14219,2054
  沧州市,  Cangzhou,101,13,98,12,38823,2603,15104,1972
  廊坊市,  Langfang,64,12,56,11,35084,3763,22349,2367
  衡水市,  Hengshui,160,57,152,53,27883,8791,15019,5294
山西省,Shanxi,,,,,,,,
  太原市,  Taiyuan,58,38,55,38,8677,4202,7467,4202
  大同市,  Datong,82,46,77,43,13936,7840,13128,7090
  阳泉市,  Yangquan,32,25,29,24,2861,2473,2763,2392
  长治市,  Changzhi,82,35,79,34,7216,4030,6981,3830
  晋城市,  Jincheng,75,14,69,13,7240,1842,7240,1842
  朔州市,  Shuozhou,51,16,42,14,7702,1901,6896,1501
