Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2-27城市交通状况,,,,,
Urban Traffic Condition,,,,,
,,,,,
"注：本表中“年末实有巡游出租汽车营运车数""与""年末实有出租汽车营运车数” 口径一致。",,,,,
,,,,,
城 市,City,城市公共交通客运总量 (万人次) Total Urban Public Transport Passenger Traffic (10 000 persons),,客运量(公路+水路) (万人次) Passenger Volume (Highway + Waterway) (10 000 persons),货运量(公路+水路) (万吨) Volume of Freight Traffic (Highway + Waterway) (10 000 tons)
,,全市 Total City,市辖区 Districts under City,全市 Total City,全市 Total City
北京市,Beijing,554030,554030,25720,19399
天津市,Tianjin,104147,104147,8056,44400
河北省,Hebei,,,,
  石家庄市,  Shijiazhuang,40348,21742,1570,55168
  唐山市,  Tangshan,15168,13669,799,47829
  秦皇岛市,  Qinhuangdao,4794,4647,464,7166
  邯郸市,  Handan,11569,9274,944,20895
  邢台市,  Xingtai,5495,4660,117,21022
  保定市,  Baoding,7378,4496,1928,12384
  张家口市,  Zhangjiakou,9528,7557,313,14236
  承德市,  Chengde,9338,6582,527,3998
  沧州市,  Cangzhou,5146,3661,556,28700
  廊坊市,  Langfang,4356,1568,624,3710
  衡水市,  Hengshui,4011,3147,198,6723
山西省,Shanxi,,,,
  太原市,  Taiyuan,,30182,397,
  大同市,  Datong,16856,16208,,
  阳泉市,  Yangquan,11621,9918,,
  长治市,  Changzhi,9913,6291,,
  晋城市,  Jincheng,3541,,,
  朔州市,  Shuozhou,4911,2821,254,450
  晋中市,  Jinzhong,,,,
  运城市,  Yuncheng,5608,3246,379,20570
  忻州市,  Xinzhou,2382,986,,
  临汾市,  Linfen,6891,3474,693,17108
  吕梁市,  Lvliang,5329,3373,290,
内蒙古自治区,Inner Mongolia,,,,
  呼和浩特市,  Hohhot,26709,26336,238,15196
  包头市,  Baotou,12220,12091,215,14346
  乌海市,  Wuhai,1643,1643,250,7126
  赤峰市,  Chifeng,6448,5729,646,22286
  通辽市,  Tongliao,5399,3537,297,9811
  鄂尔多斯市,  Erdos,4948,3894,119,32824
  呼伦贝尔市,  Hulunbuir,3427,1583,249,8631
  巴彦淖尔市,  Bayannur,554,485,112,12725
  乌兰察布市,  Ulanqab,3584,2368,41,12388
辽宁省,Liaoning,,,,
  沈阳市,  Shenyang,134307,129697,4834,19017
  大连市,  Dalian,117953,109443,4268,22967
  鞍山市,  Anshan,43130,13679,1601,15808
  抚顺市,  Fushun,10530,10000,935,5657
