Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
2-28邮政、电信业发展情况(全市),,,,
,,,,
Development of Postal and Telecommunications Industry (Total City),,,,
,,,,
城 市,City,邮政行业业务收入 (万元) Revenue from Postal Services (10 000 yuan),电信业务收入 (万元) Revenue from Telecommunication Services (10 000 yuan),移动电话 年末用户数 (万户) Number of Subscribers of Mobile Telephones at Year-end (10 000 households)
北京市,Beijing,3917213,7521609,4021
天津市,Tianjin,1863854,1715705,1908
河北省,Hebei,,,
  石家庄市,  Shijiazhuang,1225910,1133598,1493
  唐山市,  Tangshan,331378,645454,966
  秦皇岛市,  Qinhuangdao,130300,252120,386
  邯郸市,  Handan,423951,561163,1010
  邢台市,  Xingtai,459027,431684,749
  保定市,  Baoding,1166207,922040,1288
  张家口市,  Zhangjiakou,129480,385768,470
  承德市,  Chengde,79100,273250,405
  沧州市,  Cangzhou,549815,533787,860
  廊坊市,  Langfang,943721,693280,660
  衡水市,  Hengshui,261907,269794,493
山西省,Shanxi,,,
  太原市,  Taiyuan,600100,716579,806
  大同市,  Datong,143448,254588,378
  阳泉市,  Yangquan,16735,108767,168
  长治市,  Changzhi,101174,310099,390
  晋城市,  Jincheng,57887,192559,267
  朔州市,  Shuozhou,18316,129646,186
  晋中市,  Jinzhong,136200,298358,401
  运城市,  Yuncheng,194200,326543,536
  忻州市,  Xinzhou,59483,188960,314
  临汾市,  Linfen,127394,,478
  吕梁市,  Lvliang,111900,267212,382
内蒙古自治区,Inner Mongolia,,,
  呼和浩特市,  Hohhot,247263,478000,471
  包头市,  Baotou,98100,258255,364
  乌海市,  Wuhai,24178,73163,81
  赤峰市,  Chifeng,138287,336000,550
  通辽市,  Tongliao,63000,238000,376
  鄂尔多斯市,  Erdos,65400,281400,283
  呼伦贝尔市,  Hulunbuir,55287,205918,303
  巴彦淖尔市,  Bayannur,51826,143881,211
  乌兰察布市,  Ulanqab,48829,137087,202
辽宁省,Liaoning,,,
  沈阳市,  Shenyang,1091079,1253622,1235
  大连市,  Dalian,538181,918857,984
  鞍山市,  Anshan,164843,304892,401
  抚顺市,  Fushun,68626,165111,218
  本溪市,  Benxi,49855,136340,161
  丹东市,  Dandong,90560,191658,254
  锦州市,  Jinzhou,105046,224580,309
  营口市,  Yingkou,92197,219504,264
  阜新市,  Fuxin,43658,142749,188
  辽阳市,  Liaoyang,71359,146503,193
  盘锦市,  Panjin,130775,159693,179
  铁岭市,  Tieling,92600,181367,256
  朝阳市,  Chaoyang,99067,222569,291
  葫芦岛市,  Huludao,87593,190033,269
吉林省,Jilin,,,
  长春市,  Changchun,655012,1063404,1122
  吉林市,  Jilin,165022,90077,627
