Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
2-4工业化学需氧量和氨氮排放量(全市),,,
,,,
Emission of Industrial COD and Ammonia Nitrogen(Total City),,,
,,,
单位：吨,,,
,,,
(ton),,,
,,,
城 市,City,工业化学需氧量排放量 Volume of Industrial COD Emission,工业氨氮排放量 Volume of Industrial Ammonia Nitrogen Emission
北京市,Beijing,1360,26
天津市,Tianjin,1714,30
河北省,Hebei,,
  石家庄市,  Shijiazhuang,2197,64
  唐山市,  Tangshan,2558,142
  秦皇岛市,  Qinhuangdao,543,10
  邯郸市,  Handan,401,21
  邢台市,  Xingtai,670,22
  保定市,  Baoding,550,16
  张家口市,  Zhangjiakou,378,25
  承德市,  Chengde,73,26
  沧州市,  Cangzhou,942,32
  廊坊市,  Langfang,164,4
  衡水市,  Hengshui,266,11
山西省,Shanxi,,
  太原市,  Taiyuan,260,9
  大同市,  Datong,,
  阳泉市,  Yangquan,107,16
  长治市,  Changzhi,,
  晋城市,  Jincheng,294,9
  朔州市,  Shuozhou,255,17
  晋中市,  Jinzhong,322,7
  运城市,  Yuncheng,,
  忻州市,  Xinzhou,210,8
  临汾市,  Linfen,60,1
  吕梁市,  Lvliang,,
内蒙古自治区,Inner Mongolia,,
  呼和浩特市,  Hohhot,435,12
  包头市,  Baotou,917,31
  乌海市,  Wuhai,473,62
  赤峰市,  Chifeng,622,19
  通辽市,  Tongliao,761,19
  鄂尔多斯市,  Erdos,152,5
  呼伦贝尔市,  Hulunbuir,520,10
  巴彦淖尔市,  Bayannur,220,14
  乌兰察布市,  Ulanqab,366,5
辽宁省,Liaoning,,
  沈阳市,  Shenyang,1311,25
  大连市,  Dalian,2179,58
  鞍山市,  Anshan,728,32
  抚顺市,  Fushun,503,9
  本溪市,  Benxi,191,7
  丹东市,  Dandong,134,7
  锦州市,  Jinzhou,529,15
  营口市,  Yingkou,428,22
  阜新市,  Fuxin,127,5
  辽阳市,  Liaoyang,266,8
  盘锦市,  Panjin,939,23
  铁岭市,  Tieling,272,9
  朝阳市,  Chaoyang,174,10
  葫芦岛市,  Huludao,561,36
吉林省,Jilin,,
  长春市,  Changchun,568,13
  吉林市,  Jilin,2842,100
  四平市,  Siping,96,2
