Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2-8地方一般公共预算收支状况(全市),,,,,
,,,,,
Local General Public Budget Revenue and Expenditure (Total City),,,,,
,,,,,
单位：万元,,,,,
,,,,,
(10 000 yuan),,,,,
,,,,,
城 市,City,地方本级一般 公共预算收入 Local General Public Budget Revenue,地方一般公共 预算支出 Local General Public Budget Expenditure,,
,,,,科学技术支出 Expenditure for Science and Technology,教育支出 Expenditure for Education
北京市,Beijing,61810970,79716333,5219079,12279032
天津市,Tianjin,20275112,32804209,770293,4917886
河北省,Hebei,,,,
  石家庄市,  Shijiazhuang,7378942,12748334,255005,2551176
  唐山市,  Tangshan,5814346,10015337,121353,1830022
  秦皇岛市,  Qinhuangdao,1725315,3781518,20940,639980
  邯郸市,  Handan,3760253,8716485,116781,1833098
  邢台市,  Xingtai,2144209,6417403,73699,1297743
  保定市,  Baoding,3699767,14206176,206846,2180908
  张家口市,  Zhangjiakou,1803721,6940043,39819,944813
  承德市,  Chengde,1339625,4696114,30526,864835
  沧州市,  Cangzhou,3427282,7309062,64472,1670410
  廊坊市,  Langfang,3202152,5954637,59822,1312948
  衡水市,  Hengshui,1517716,4403376,63873,768701
山西省,Shanxi,,,,
  太原市,  Taiyuan,4492358,7772629,409182,1070737
  大同市,  Datong,1940548,4645991,5039,618340
  阳泉市,  Yangquan,830731,1682091,13964,251855
  长治市,  Changzhi,3150771,5726231,19699,645744
  晋城市,  Jincheng,2771908,4312389,36995,464313
  朔州市,  Shuozhou,1503092,2924664,14263,423864
  晋中市,  Jinzhong,1945678,4395022,53888,619498
  运城市,  Yuncheng,1246367,5191726,22760,846558
  忻州市,  Xinzhou,1476690,4557528,4780,589475
  临汾市,  Linfen,1988912,5441050,6295,751146
  吕梁市,  Lvliang,3315999,6229776,14290,950194
内蒙古自治区,Inner Mongolia,,,,
  呼和浩特市,  Hohhot,2380592,5929730,82136,678760
  包头市,  Baotou,2005459,4749991,61010,652580
  乌海市,  Wuhai,856955,1719272,17673,189689
  赤峰市,  Chifeng,1213315,6782607,33464,1032714
  通辽市,  Tongliao,1002595,5113020,19109,675818
  鄂尔多斯市,  Erdos,9099888,11195007,204900,1229423
  呼伦贝尔市,  Hulunbuir,1106262,5763215,18453,621458
  巴彦淖尔市,  Bayannur,801473,3647315,26112,357765
  乌兰察布市,  Ulanqab,679208,4158282,29394,425876
辽宁省,Liaoning,,,,
  沈阳市,  Shenyang,8008539,10840553,349157,1211684
  大连市,  Dalian,7502361,10135047,136146,1194208
  鞍山市,  Anshan,1603774,3104600,10118,375256
  抚顺市,  Fushun,669268,1779568,2400,210599
  本溪市,  Benxi,800732,1721254,2840,164844
  丹东市,  Dandong,746695,2395131,4855,325907
  锦州市,  Jinzhou,1142927,2789192,15338,331509
  营口市,  Yingkou,1370878,2511315,5438,277063
  阜新市,  Fuxin,474199,1736015,5173,215782
  辽阳市,  Liaoyang,798185,2129469,2294,202387
  盘锦市,  Panjin,1296403,2100965,15861,200098
  铁岭市,  Tieling,516094,2382291,5186,317554
  朝阳市,  Chaoyang,826681,3183135,2535,468707
  葫芦岛市,  Huludao,682111,2335517,-164,311259
吉林省,Jilin,,,,
  长春市,  Changchun,5765154,10749675,157653,1480272
  吉林市,  Jilin,852936,4111089,10177,524065
  四平市,  Siping,403184,2407889,3194,286250
  辽源市,  Liaoyuan,194234,1351873,5080,175235
  通化市,  Tonghua,388204,2015575,10021,259710
  白山市,  Baishan,284756,1767602,3958,221728
  松原市,  Songyuan,461102,3109263,5272,399127
  白城市,  Baicheng,285667,2893478,12143,306808
黑龙江省,Heilongjiang,,,,
  哈尔滨市,  Harbin,3130744,10806970,115925,1278783
  齐齐哈尔市,  Qiqihar,1121713,6058974,27713,617773
  鸡西市,  Jixi,496630,2376472,13984,209444
  鹤岗市,  Hegang,322231,1368999,12511,138206
  双鸭山市,  Shuangyashan,434635,1984343,6120,187415
  大庆市,  Daqing,1700789,3689535,23615,475914
  伊春市,  Yichun,283492,2256528,8942,167710
  佳木斯市,  Jiamusi,771305,3700794,16853,310503
  七台河市,  Qitaihe,343170,1035681,3851,100919
  牡丹江市,  Mudanjiang,882856,3518609,21324,313894
  黑河市,  Heihe,524605,2906825,4177,228381
  绥化市,  Suihua,951250,5133785,16426,546990
上海市,Shanghai,83125008,96385132,5280521,12061443
江苏省,Jiangsu,,,,
  南京市,  Nanjing,16199827,18386959,1126386,3409645
  无锡市,  Wuxi,11954222,13901893,698997,2198255
  徐州市,  Xuzhou,5459594,10568958,248751,2194448
  常州市,  Changzhou,6802990,8547676,556733,1517266
  苏州市,  Suzhou,24568118,26212766,2698628,4699162
  南通市,  Nantong,6801587,11809328,572045,1910722
  连云港市,  Lianyungang,2560185,5746961,112317,1042334
  淮安市,  Huai'an,3166073,7173479,186115,1037664
  盐城市,  Yancheng,4827332,12282290,293065,1626309
