Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2-9地方一般公共预算收支状况(市辖区),,,,,
,,,,,
Local General Public Budget Revenue and Expenditure (Districts under City),,,,,
,,,,,
单位：万元,,,,,
,,,,,
(10 000 yuan),,,,,
,,,,,
城 市,City,地方本级一般 公共预算收入 Local General Public Budget Revenue,地方一般公共 预算支出 Local General Public Budget Expenditure,,
,,,,科学技术支出 Expenditure for Science and Technology,教育支出 Expenditure for Education
北京市,Beijing,61810970,79716333,5219079,12279032
天津市,Tianjin,20275112,32804209,770293,4917886
河北省,Hebei,,,,
  石家庄市,  Shijiazhuang,4964103,7225373,168401,1436829
  唐山市,  Tangshan,3984429,6346669,84731,999624
  秦皇岛市,  Qinhuangdao,1155159,1556059,8070,308623
  邯郸市,  Handan,1902373,3925357,42089,760946
  邢台市,  Xingtai,751348,1346970,13304,354779
  保定市,  Baoding,1112034,1813963,47505,459896
  张家口市,  Zhangjiakou,1029271,3446848,19314,430682
  承德市,  Chengde,562564,1764162,19618,247443
  沧州市,  Cangzhou,437929,504463,24239,131289
  廊坊市,  Langfang,834704,895371,13995,202159
  衡水市,  Hengshui,402174,737158,25372,175235
山西省,Shanxi,,,,
  太原市,  Taiyuan,3927955,6562786,407102,896296
  大同市,  Datong,1618740,2852547,3254,377363
  阳泉市,  Yangquan,564711,935567,11739,155877
  长治市,  Changzhi,1821285,2889316,8842,350992
  晋城市,  Jincheng,946785,1341698,18794,144779
  朔州市,  Shuozhou,968771,1543191,10175,222641
  晋中市,  Jinzhong,751161,1568043,4836,212608
  运城市,  Yuncheng,404584,1432181,9150,196093
  忻州市,  Xinzhou,410476,1106823,2228,156625
  临汾市,  Linfen,784279,1516529,2378,184070
  吕梁市,  Lvliang,1066010,1523685,9476,169582
内蒙古自治区,Inner Mongolia,,,,
  呼和浩特市,  Hohhot,1141528,1483608,22361,306426
  包头市,  Baotou,1332234,3280168,51169,448369
  乌海市,  Wuhai,856955,1719272,17673,189689
  赤峰市,  Chifeng,654468,2699993,25191,403705
  通辽市,  Tongliao,447435,635971,1397,104387
  鄂尔多斯市,  Erdos,4143048,4671580,117978,482124
  呼伦贝尔市,  Hulunbuir,154123,495836,1631,66604
  巴彦淖尔市,  Bayannur,302170,1273051,19701,148239
  乌兰察布市,  Ulanqab,305520,1240031,16480,145920
辽宁省,Liaoning,,,,
  沈阳市,  Shenyang,7615534,9615752,166625,772220
  大连市,  Dalian,6100239,8036569,133060,963446
  鞍山市,  Anshan,1041437,1625226,6149,191734
  抚顺市,  Fushun,240878,1255351,1848,132018
  本溪市,  Benxi,660988,1186319,2275,102822
  丹东市,  Dandong,361723,1184075,4651,121779
  锦州市,  Jinzhou,747514,1393127,14592,135598
  营口市,  Yingkou,902712,1616726,5068,167778
  阜新市,  Fuxin,300979,924829,5021,98723
  辽阳市,  Liaoyang,304699,477836,684,50480
  盘锦市,  Panjin,1190206,1734785,15810,161212
  铁岭市,  Tieling,107597,206233,519,23903
  朝阳市,  Chaoyang,349225,1097090,1364,148885
  葫芦岛市,  Huludao,382629,1087079,-1515,125770
吉林省,Jilin,,,,
  长春市,  Changchun,5314949,7319580,148542,1008007
  吉林市,  Jilin,602481,2112206,8827,247286
  四平市,  Siping,290295,861463,2526,83180
  辽源市,  Liaoyuan,116587,592437,1472,65483
  通化市,  Tonghua,76017,221729,1289,31077
  白山市,  Baishan,174711,752697,1651,75976
  松原市,  Songyuan,207197,827747,3824,96470
  白城市,  Baicheng,112407,709366,6435,91405
黑龙江省,Heilongjiang,,,,
  哈尔滨市,  Harbin,2786800,7258995,100257,890226
  齐齐哈尔市,  Qiqihar,653450,2241695,21267,218874
  鸡西市,  Jixi,349709,1189473,10659,88466
  鹤岗市,  Hegang,236294,859995,2297,81316
  双鸭山市,  Shuangyashan,260058,813100,4278,68933
  大庆市,  Daqing,1502359,2428778,19706,322301
  伊春市,  Yichun,161746,1046746,6828,69499
  佳木斯市,  Jiamusi,429993,1285382,11759,100455
  七台河市,  Qitaihe,307322,691540,3547,77282
  牡丹江市,  Mudanjiang,69001,268342,1915,33337
  黑河市,  Heihe,177178,703016,1652,56178
  绥化市,  Suihua,240284,1040942,3790,97395
上海市,Shanghai,83125008,96385132,5280521,12061443
江苏省,Jiangsu,,,,
  南京市,  Nanjing,16199827,18386959,1126386,3409645
  无锡市,  Wuxi,7033144,6747435,384863,1074301
  徐州市,  Xuzhou,2409281,2916444,86263,694417
  常州市,  Changzhou,5189913,5252568,302000,970720
