Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
3-5年末金融机构存贷款余额,,,
Deposits and Loans of National Banking System at Year-end,,,
,,,
单位：万元                                                                                        (10 000 yuan),,,
,,,
城 市,City,住户储蓄 存款余额 Household Saving Deposits,年末金融机构 各项贷款余额 Loans of Financial Institutions at Year-end
河北省,Hebei,,
  辛集市,  Xinji,,4396879
  晋州市,  Jinzhou,,
  新乐市,  Xinle,,
  遵化市,  Zunhua,7417121,4730605
  迁安市,  Qian'an,10882992,9767780
  滦州市,  Luanzhou,4835489,3128162
  武安市,  Wu'an,9096733,10165528
  南宫市,  Nangong,3436657,2266788
  沙河市,  Shahe,4278130,3516580
  涿州市,  Zhuozhou,7149074,6557065
  定州市,  Dingzhou,8750000,4961000
  安国市,  Anguo,3554344,2306179
  高碑店市,  Gaobeidian,6965159,8416492
  平泉市,  Pingquan,3715500,2945700
  泊头市,  Botou,5517700,2409900
  任丘市,  Renqiu,,5030000
  黄骅市,  Huanghua,6379795,11152133
  河间市,  Hejian,6660583,3131879
  霸州市,  Bazhou,8763989,7101187
  三河市,  Sanhe,10889902,17749664
  深州市,  Shenzhou,3631957,2609916
山西省,Shanxi,,
  古交市,  Gujiao,2549783,1134205
  高平市,  Gaoping,3880144,2653385
  怀仁市,  Huairen,4114859,1997477
  介休市,  Jiexiu,4533725,3693895
  永济市,  Yongji,2436400,1276500
  河津市,  Hejin,2919948,1766969
  原平市,  Yuanping,4125807,1965494
  侯马市,  Houma,2794048,1752359
  霍州市,  Huozhou,2279807,1664789
  孝义市,  Xiaoyi,5763882,3180679
  汾阳市,  Fenyang,3614462,1802049
内蒙古自治区,Inner Mongolia,,
  霍林郭勒市,  Huolinguole,1339875,1460457
  满洲里市,  Manzhouli,2888938,1331900
  牙克石市,  Yakeshi,2735144,979500
  扎兰屯市,  Zhalantun,2118866,1678300
  额尔古纳市,  Eerguna,636281,265800
  根河市,  Genhe,966529,384600
  丰镇市,  Fengzhen,1582206,846351
  乌兰浩特市,  Wulanhaote,3364695,5155494
  阿尔山市,  Aershan,287248,381371
  二连浩特市,  Erlianhaote,925346,990652
  锡林浩特市,  Xilinhaote,3177593,5743704
辽宁省,Liaoning,,
  新民市,  Xinmin,,
  瓦房店市,  Wafangdian,9981248,7636334
  庄河市,  Zhuanghe,8566986,3376962
  海城市,  Haicheng,12270817,5508258
  东港市,  Donggang,7665294,3760145
  凤城市,  Fengcheng,5166791,2568536
  凌海市,  Linghai,3528725,829315
  北镇市,  Beizhen,,
