Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
3-7在校学生数,,,
Number of Students Enrollment,,,
,,,
单位:人,,,
城市,City,普通中学 在校学生数 Total Enrollment of Regular Secondary Schools,普通小学 在校学生数 Total Enrollment of Primary Schools
河北省,Hebei,,
  辛集市,  Xinji,35914,44353
  晋州市,  Jinzhou,28097,44386
  新乐市,  Xinle,38906,42199
  遵化市,  Zunhua,52621,56499
  迁安市,  Qian'an,52254,75398
  滦州市,  Luanzhou,26636,41400
  武安市,  Wu'an,66346,89508
  南宫市,  Nangong,37570,41835
  沙河市,  Shahe,33883,53321
  涿州市,  Zhuozhou,36707,56052
  定州市,  Dingzhou,80922,87379
  安国市,  Anguo,27122,25006
  高碑店市,  Gaobeidian,32746,46454
  平泉市,  Pingquan,25298,24771
  泊头市,  Botou,37566,52234
  任丘市,  Renqiu,59016,75760
  黄骅市,  Huanghua,34466,50744
  河间市,  Hejian,75405,78268
  霸州市,  Bazhou,41561,72653
  三河市,  Sanhe,54935,86040
  深州市,  Shenzhou,26743,32542
山西省,Shanxi,,
  古交市,  Gujiao,11207,12771
  高平市,  Gaoping,18442,24635
  怀仁市,  Huairen,43197,31103
  介休市,  Jiexiu,27346,35468
  永济市,  Yongji,15840,25864
  河津市,  Hejin,20184,30711
  原平市,  Yuanping,18346,21676
  侯马市,  Houma,9092,16778
  霍州市,  Huozhou,13312,20002
  孝义市,  Xiaoyi,35356,38121
  汾阳市,  Fenyang,22439,30190
内蒙古自治区,Inner Mongolia,,
  霍林郭勒市,  Huolinguole,6425,10278
  满洲里市,  Manzhouli,6883,5612
  牙克石市,  Yakeshi,8762,6756
  扎兰屯市,  Zhalantun,13004,16066
  额尔古纳市,  Eerguna,1935,2339
  根河市,  Genhe,709,1290
  丰镇市,  Fengzhen,7354,9290
  乌兰浩特市,  Wulanhaote,22354,23011
  阿尔山市,  Aershan,445,839
  二连浩特市,  Erlianhaote,3510,4585
  锡林浩特市,  Xilinhaote,13709,22973
辽宁省,Liaoning,,
  新民市,  Xinmin,20284,19328
  瓦房店市,  Wafangdian,32574,45939
  庄河市,  Zhuanghe,22783,30737
  海城市,  Haicheng,36098,48735
  东港市,  Donggang,19901,23833
  凤城市,  Fengcheng,17217,17120
  凌海市,  Linghai,12894,12938
  北镇市,  Beizhen,14794,14833
  盖州市,  Gaizhou,17384,26228
  大石桥市,  Dashiqiao,23110,25928
  灯塔市,  Dengta,7347,12631
  调兵山市,  Diaobingshan,6762,7227
  开原市,  Kaiyuan,18214,17513
  北票市,  Beipiao,17060,19092
  凌源市,  Lingyuan,30738,36172
  兴城市,  Xingcheng,19622,21539
吉林省,Jilin,,
  榆树市,  Yushu,42949,32408
  德惠市,  Dehui,35770,29446
  公主岭市,  Gongzhuling,51225,42310
  蛟河市,  Jiaohe,13634,13150
  桦甸市,  Huadian,16201,15498
  舒兰市,  Shulan,14234,16014
  磐石市,  Panshi,17688,16511
  双辽市,  Shuangliao,14764,16270
  梅河口市,  Meihekou,22653,24455
  集安市,  Ji'an,5558,6498
  临江市,  Linjiang,4725,5100
  扶余市,  Fuyu,23383,18871
  洮南市,  Taonan,12565,13886
  大安市,  Daan,5573,9038
  延吉市,  Yanji,25343,33001
  图们市,  Tumen,1605,1833
  敦化市,  Dunhua,15273,17025
  珲春市,  Hunchun,8472,11363
  龙井市,  Longjing,2532,2805
  和龙市,  Helong,2873,3156
黑龙江省,Heilongjiang,,
  尚志市,  Shangzhi,19298,15875
  五常市,  Wuchang,27287,21458
  讷河市,  Nehe,18334,14594
  虎林市,  Hulin,9549,9561
  密山市,  Mishan,14881,10725
  铁力市,  Tieli,7344,6563
  同江市,  Tongjiang,6844,8075
  富锦市,  Fujin,17868,16013
  抚远市,  Fuyuan,3599,4327
  绥芬河市,  Suifenhe,5607,5606
  海林市,  Hailin,10079,8775
  宁安市,  Ning'an,12103,10039
  穆棱市,  Muling,9054,7595
  东宁市,  Dongning,7923,8521
  北安市,  Bei'an,13014,8244
  五大连池市,  Wudalianchi,8386,7295
  嫩江市,  Nenjiang,16292,12698
  安达市,  Anda,15328,9474
  肇东市,  Zhaodong,33182,19224
  海伦市,  Hailun,24827,11692
  漠河市,  Mohe,1274,1512
江苏省,Jiangsu,,
  江阴市,  Jiangyin,69982,112957
  宜兴市,  Yixing,46922,76333
  新沂市,  Xinyi,90161,88841
  邳州市,  Pizhou,146480,130114
  溧阳市,  Liyang,31069,45443
  常熟市,  Changshu,56201,98080
