第一组,教师的教学评分,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
教师1,,专家1号,专家2号,专家3号,专家4号,专家5号,专家6号,专家7号,专家8号,专家9号,专家10号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,7,7,8,8,8,7,7,8,7,8
,理论联系实际，符合学生特点 10,9,9,10,9,10,9,10,10,8,10
,注重学术性与专业思想，内容充实 15,13,14,14,13,15,14,14,14,15,15
,重点突出，条理清楚，循序渐进 7,7,6,6,7,7,7,6,7,6,7
,反映新思想、新概念、新成果 5,5,4,5,5,5,5,5,5,4,5
教学组织  30,教学过程与时间安排合理 10,10,9,8,9,10,9,9,10,9,10
,教学设计完整，启发性强 12,12,11,10,11,12,11,11,12,11,11
,现代教学手段，板书设计 8,8,7,7,8,8,7,7,8,7,8
语言教态  15,普通话讲课，语言清晰流畅 6,6,5,6,5,6,6,5,6,5,6
,肢体语言运用合理恰当 5,5,4,5,5,5,5,5,5,4,5
,教态仪表自然得体，亲和力强 4,4,4,4,4,4,4,4,4,3,4
教学特色/整体评价  10,,10,9,10,8,9,9,9,10,9,10
,,,,,,,,,,,
,,,,,,,,,,,
教师2,,专家1号,专家2号,专家3号,专家4号,专家5号,专家6号,专家7号,专家8号,专家9号,专家10号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,8,8,8,7,8,7,7,8,8,8
,理论联系实际，符合学生特点 10,10,10,9,10,10,8,9,9,10,10
,注重学术性与专业思想，内容充实 15,15,15,13,14,13,14,14,14,15,14
,重点突出，条理清楚，循序渐进 7,7,7,6,7,7,7,7,7,7,7
,反映新思想、新概念、新成果 5,5,5,5,5,5,5,5,5,5,5
教学组织  30,教学过程与时间安排合理 10,10,10,10,10,10,10,10,9,10,10
,教学设计完整，启发性强 12,11,12,12,10,12,10,11,11,11,12
,现代教学手段，板书设计 8,8,8,8,8,8,7,8,8,8,8
语言教态  15,普通话讲课，语言清晰流畅 6,6,6,6,6,6,6,6,6,6,6
,肢体语言运用合理恰当 5,5,5,5,5,5,5,5,5,5,5
,教态仪表自然得体，亲和力强 4,4,4,4,4,4,4,4,4,4,4
教学特色/整体评价  10,,8,9,8,10,9,8,9,8,10,9
,,,,,,,,,,,
,,,,,,,,,,,
教师3,,专家1号,专家2号,专家3号,专家4号,专家5号,专家6号,专家7号,专家8号,专家9号,专家10号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,8,7,8,7,8,8,6,8,7,7
,理论联系实际，符合学生特点 10,10,9,10,8,10,10,9,9,8,9
,注重学术性与专业思想，内容充实 15,14,13,15,14,14,15,14,15,14,14
,重点突出，条理清楚，循序渐进 7,7,7,7,7,7,7,7,7,6,7
,反映新思想、新概念、新成果 5,5,5,5,5,5,5,5,5,4,5
教学组织  30,教学过程与时间安排合理 10,10,10,10,10,10,10,9,10,9,10
,教学设计完整，启发性强 12,11,10,11,12,12,12,11,12,10,11
,现代教学手段，板书设计 8,8,8,8,8,8,8,8,8,7,7
语言教态  15,普通话讲课，语言清晰流畅 6,5,5,6,6,5,5,6,6,6,6
,肢体语言运用合理恰当 5,5,5,5,5,5,5,5,5,5,5
,教态仪表自然得体，亲和力强 4,4,4,4,4,4,4,3,4,4,4
教学特色/整体评价  10,,9,9,9,8,10,10,8,9,10,9
,,,,,,,,,,,
,,,,,,,,,,,
教师4,,专家1号,专家2号,专家3号,专家4号,专家5号,专家6号,专家7号,专家8号,专家9号,专家10号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,7,7,7,7,6,7,6,7,7,7
,理论联系实际，符合学生特点 10,10,8,8,8,8,10,8,8,8,8
,注重学术性与专业思想，内容充实 15,15,14,13,10,12,12,12,13,11,12
,重点突出，条理清楚，循序渐进 7,7,6,6,6,5,6,6,6,6,6
,反映新思想、新概念、新成果 5,4,4,4,4,4,4,4,4,4,4
教学组织  30,教学过程与时间安排合理 10,10,9,8,9,7,9,9,9,6,8
,教学设计完整，启发性强 12,11,10,8,10,9,10,8,10,9,10
,现代教学手段，板书设计 8,8,7,7,7,5,6,7,7,7,6
语言教态  15,普通话讲课，语言清晰流畅 6,6,6,5,5,4,5,6,6,6,4
,肢体语言运用合理恰当 5,5,5,5,5,4,5,5,5,5,5
,教态仪表自然得体，亲和力强 4,4,4,4,4,3,3,4,4,4,3
教学特色/整体评价  10,,9,10,8,9,6,8,6,7,9,8
,,,,,,,,,,,
,,,,,,,,,,,
教师5,,专家1号,专家2号,专家3号,专家4号,专家5号,专家6号,专家7号,专家8号,专家9号,专家10号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,8,8,6,7,7,7,7,6,6,7
,理论联系实际，符合学生特点 10,10,8,9,9,9,9,9,8,9,9
,注重学术性与专业思想，内容充实 15,15,14,12,12,12,14,13,12,13,14
,重点突出，条理清楚，循序渐进 7,7,7,6,6,6,6,6,6,6,6
,反映新思想、新概念、新成果 5,5,5,5,5,5,5,5,4,5,5
教学组织  30,教学过程与时间安排合理 10,10,10,9,9,10,10,8,9,9,10
,教学设计完整，启发性强 12,12,12,9,11,10,11,11,11,11,11
,现代教学手段，板书设计 8,8,8,7,8,8,8,7,7,7,8
语言教态  15,普通话讲课，语言清晰流畅 6,6,6,4,4,5,5,5,5,6,5
,肢体语言运用合理恰当 5,5,5,5,5,4,5,5,5,5,5
,教态仪表自然得体，亲和力强 4,4,4,4,4,4,4,4,4,4,4
教学特色/整体评价  10,,10,9,8,9,9,9,8,8,8,9
,,,,,,,,,,,
,,,,,,,,,,,
教师6,,专家1号,专家2号,专家3号,专家4号,专家5号,专家6号,专家7号,专家8号,专家9号,专家10号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,6,8,7,8,7,7,7,7,8,6
,理论联系实际，符合学生特点 10,10,9,10,10,9,9,10,10,10,9
,注重学术性与专业思想，内容充实 15,14,14,14,14,14,13,13,14,15,14
,重点突出，条理清楚，循序渐进 7,7,7,6,7,6,6,7,7,7,6
,反映新思想、新概念、新成果 5,5,5,4,5,4,4,4,4,5,4
教学组织  30,教学过程与时间安排合理 10,10,10,9,10,9,9,9,9,10,9
,教学设计完整，启发性强 12,12,12,11,12,11,10,11,11,12,11
,现代教学手段，板书设计 8,8,8,7,8,7,7,7,7,8,7
语言教态  15,普通话讲课，语言清晰流畅 6,6,6,5,6,5,5,6,6,6,5
,肢体语言运用合理恰当 5,5,5,5,5,4,4,5,5,5,4
,教态仪表自然得体，亲和力强 4,4,4,4,4,4,4,4,4,4,4
教学特色/整体评价  10,,9,10,8,10,9,8,9,9,9,9
,,,,,,,,,,,
,,,,,,,,,,,
教师7,,专家1号,专家2号,专家3号,专家4号,专家5号,专家6号,专家7号,专家8号,专家9号,专家10号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,5,7,8,5,7,6,6,8,7,6
,理论联系实际，符合学生特点 10,6,8,9,6,6,7,8,8,9,7
,注重学术性与专业思想，内容充实 15,10,10,14,10,12,12,14,14,14,14
,重点突出，条理清楚，循序渐进 7,5,5,7,5,6,6,7,7,5,7
,反映新思想、新概念、新成果 5,4,4,4,4,4,4,4,4,4,4
教学组织  30,教学过程与时间安排合理 10,7,7,9,7,8,8,8,9,9,8
,教学设计完整，启发性强 12,9,8,11,9,9,10,10,11,12,10
,现代教学手段，板书设计 8,6,6,7,6,7,7,7,7,7,7
语言教态  15,普通话讲课，语言清晰流畅 6,5,4,6,5,5,5,5,6,5,5
,肢体语言运用合理恰当 5,4,4,5,4,5,5,5,5,6,5
,教态仪表自然得体，亲和力强 4,3,3,4,3,4,4,4,4,4,4
教学特色/整体评价  10,,8,7,9,7,10,9,8,9,9,9
,,,,,,,,,,,
,,,,,,,,,,,
教师8,,专家1号,专家2号,专家3号,专家4号,专家5号,专家6号,专家7号,专家8号,专家9号,专家10号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,6,8,7,7,6,7,7,7,7,7
,理论联系实际，符合学生特点 10,9,9,9,8,9,9,9,9,9,8
,注重学术性与专业思想，内容充实 15,13,14,13,12,14,14,14,14,14,14
,重点突出，条理清楚，循序渐进 7,6,5,6,6,6,6,6,6,6,6
,反映新思想、新概念、新成果 5,3,4,4,4,4,4,4,5,4,4
教学组织  30,教学过程与时间安排合理 10,9,8,9,9,9,9,9,9,9,9
,教学设计完整，启发性强 12,11,10,11,11,11,11,11,11,11,12
,现代教学手段，板书设计 8,7,7,7,7,7,7,7,7,7,7
语言教态  15,普通话讲课，语言清晰流畅 6,5,5,5,6,6,6,5,5,5,5
,肢体语言运用合理恰当 5,5,4,4,5,5,5,4,4,4,4
,教态仪表自然得体，亲和力强 4,4,4,3,4,4,4,3,3,3,3
教学特色/整体评价  10,,10,10,10,10,10,10,9,9,9,10
,,,,,,,,,,,
,,,,,,,,,,,
教师9,,专家1号,专家2号,专家3号,专家4号,专家5号,专家6号,专家7号,专家8号,专家9号,专家10号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,8,7,7,7,8,7,7,7,7,7
,理论联系实际，符合学生特点 10,10,9,7,8,10,9,7,9,9,9
,注重学术性与专业思想，内容充实 15,14,14,13,14,13,14,13,14,14,14
,重点突出，条理清楚，循序渐进 7,7,6,6,6,7,6,6,6,6,6
,反映新思想、新概念、新成果 5,5,4,4,4,5,4,4,4,4,5
教学组织  30,教学过程与时间安排合理 10,10,9,9,9,10,9,9,9,9,9
,教学设计完整，启发性强 12,11,12,11,11,12,11,9,11,11,11
,现代教学手段，板书设计 8,8,8,8,8,8,8,7,8,7,8
语言教态  15,普通话讲课，语言清晰流畅 6,6,6,6,6,6,6,5,6,5,6
,肢体语言运用合理恰当 5,5,5,5,5,5,5,5,5,5,5
,教态仪表自然得体，亲和力强 4,4,4,4,4,4,4,4,4,4,4
教学特色/整体评价  10,,10,9,9,9,10,8,9,9,9,9
,,,,,,,,,,,
,,,,,,,,,,,
教师10,,专家1号,专家2号,专家3号,专家4号,专家5号,专家6号,专家7号,专家8号,专家9号,专家10号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,6,6,7,6,7,7,6,6,6,6
,理论联系实际，符合学生特点 10,8,8,9,8,7,8,7,7,7,7
,注重学术性与专业思想，内容充实 15,13,12,13,12,13,13,12,8,11,12
,重点突出，条理清楚，循序渐进 7,6,5,5,5,6,6,6,4,5,6
,反映新思想、新概念、新成果 5,4,4,4,3,4,4,4,3,3,4
教学组织  30,教学过程与时间安排合理 10,8,9,9,9,9,9,9,9,9,9
,教学设计完整，启发性强 12,9,8,10,8,9,9,11,8,8,10
,现代教学手段，板书设计 8,7,7,7,7,7,7,7,7,7,7
语言教态  15,普通话讲课，语言清晰流畅 6,5,5,5,5,5,6,5,5,5,5
,肢体语言运用合理恰当 5,5,4,5,4,5,5,5,3,4,5
,教态仪表自然得体，亲和力强 4,4,4,4,4,4,4,4,3,4,4
教学特色/整体评价  10,,8,9,10,9,9,10,9,7,7,9
,,,,,,,,,,,
,,,,,,,,,,,
教师11,,专家1号,专家2号,专家3号,专家4号,专家5号,专家6号,专家7号,专家8号,专家9号,专家10号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,6,6,6,6,6,7,7,6,7,7
,理论联系实际，符合学生特点 10,8,8,8,8,8,9,9,8,9,7
,注重学术性与专业思想，内容充实 15,12,12,14,12,11,13,13,11,12,12
,重点突出，条理清楚，循序渐进 7,5,5,5,5,5,5,5,5,5,5
,反映新思想、新概念、新成果 5,4,4,4,4,4,4,4,3,4,4
教学组织  30,教学过程与时间安排合理 10,8,9,9,9,9,9,8,9,8,8
,教学设计完整，启发性强 12,10,8,8,8,8,10,10,8,11,11
,现代教学手段，板书设计 8,7,7,7,7,7,7,7,7,6,6
语言教态  15,普通话讲课，语言清晰流畅 6,6,5,5,6,6,5,4,5,5,5
,肢体语言运用合理恰当 5,4,4,4,5,5,5,5,4,5,5
,教态仪表自然得体，亲和力强 4,4,4,4,4,4,4,4,4,4,4
教学特色/整体评价  10,,9,9,9,9,9,9,9,8,9,9
,,,,,,,,,,,
,,,,,,,,,,,
