第二组,教师的教学评分,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
教师1,,专家11号,专家12号,专家13号,专家14号,专家15号,专家16号,专家17号,专家18号,专家19号,专家20号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,6,7,8,8,8,8,8,8,8,8
,理论联系实际，符合学生特点 10,9,10,10,10,10,9,10,9,10,9
,注重学术性与专业思想，内容充实 15,10,15,15,14,14,13,13,12,14,13
,重点突出，条理清楚，循序渐进 7,7,7,7,6,6,5,7,6,7,6
,反映新思想、新概念、新成果 5,5,4,5,4,4,4,5,6,5,5
教学组织  30,教学过程与时间安排合理 10,9,9,10,10,10,9,10,6,10,10
,教学设计完整，启发性强 12,10,11,12,11,11,10,12,7,12,12
,现代教学手段，板书设计 8,6,8,8,8,8,8,8,9,8,8
语言教态  15,普通话讲课，语言清晰流畅 6,5,6,6,5,6,6,6,6,6,6
,肢体语言运用合理恰当 5,5,5,5,5,5,4,3,5,5,5
,教态仪表自然得体，亲和力强 4,4,4,4,3,4,5,4,5,4,4
教学特色/整体评价  10,,5,10,9,10,9,10,9,6,10,9
,,,,,,,,,,,
,,,,,,,,,,,
教师2,,专家11号,专家12号,专家13号,专家14号,专家15号,专家16号,专家17号,专家18号,专家19号,专家20号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,7,7,6,7,7,8,7,7,8,8
,理论联系实际，符合学生特点 10,9,9,8,9,9,9,8,8,9,10
,注重学术性与专业思想，内容充实 15,12,13,12,12,12,14,12,12,14,13
,重点突出，条理清楚，循序渐进 7,4,7,6,7,6,7,7,6,6,7
,反映新思想、新概念、新成果 5,4,5,5,5,4,4,4,4,4,5
教学组织  30,教学过程与时间安排合理 10,8,10,10,10,8,9,9,8,9,9
,教学设计完整，启发性强 12,10,12,12,12,10,12,12,10,12,11
,现代教学手段，板书设计 8,7,8,8,8,7,8,8,8,8,8
语言教态  15,普通话讲课，语言清晰流畅 6,3,6,6,6,3,6,6,6,6,6
,肢体语言运用合理恰当 5,4,5,5,5,4,5,5,5,5,5
,教态仪表自然得体，亲和力强 4,4,4,4,4,4,4,4,4,4,4
教学特色/整体评价  10,,8,9,9,9,8,10,10,7,6,8
,,,,,,,,,,,
,,,,,,,,,,,
教师3,,专家11号,专家12号,专家13号,专家14号,专家15号,专家16号,专家17号,专家18号,专家19号,专家20号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,7,8,8,8,7,8,7,7,7,8
,理论联系实际，符合学生特点 10,9,10,9,9,9,8,7,9,9,8
,注重学术性与专业思想，内容充实 15,12,13,14,14,14,14,11,14,15,10
,重点突出，条理清楚，循序渐进 7,4,6,4,6,6,6,7,7,6,6
,反映新思想、新概念、新成果 5,5,4,9,4,4,4,4,4,4,4
教学组织  30,教学过程与时间安排合理 10,9,9,10,9,9,9,9,9,10,9
,教学设计完整，启发性强 12,10,11,10,12,12,12,9,11,12,10
,现代教学手段，板书设计 8,7,8,8,6,8,8,7,7,7,7
语言教态  15,普通话讲课，语言清晰流畅 6,3,6,6,5,6,6,6,6,6,6
,肢体语言运用合理恰当 5,4,5,4,4,5,5,4,4,5,5
,教态仪表自然得体，亲和力强 4,4,4,4,4,4,4,3,3,4,3
教学特色/整体评价  10,,7,10,9,9,10,10,8,10,9,9
,,,,,,,,,,,
,,,,,,,,,,,
教师4,,专家11号,专家12号,专家13号,专家14号,专家15号,专家16号,专家17号,专家18号,专家19号,专家20号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,7,8,8,8,8,8,8,8,8,8
,理论联系实际，符合学生特点 10,9,5,9,8,9,9,5,9,9,9
,注重学术性与专业思想，内容充实 15,12,15,13,14,13,15,15,14,14,15
,重点突出，条理清楚，循序渐进 7,3,6,6,6,3,3,6,6,6,3
,反映新思想、新概念、新成果 5,4,5,4,4,4,4,5,4,4,4
教学组织  30,教学过程与时间安排合理 10,8,8,8,8,8,8,8,8,8,7
,教学设计完整，启发性强 12,5,9,11,11,8,8,9,11,11,9
,现代教学手段，板书设计 8,7,8,8,8,7,7,8,8,8,7
语言教态  15,普通话讲课，语言清晰流畅 6,4,5,5,5,4,4,5,5,5,4
,肢体语言运用合理恰当 5,4,4,4,4,4,4,4,4,4,4
,教态仪表自然得体，亲和力强 4,3,3,4,4,3,3,3,4,3,3
教学特色/整体评价  10,,6,8,8,8,6,6,9,8,9,6
,,,,,,,,,,,
,,,,,,,,,,,
教师5,,专家11号,专家12号,专家13号,专家14号,专家15号,专家16号,专家17号,专家18号,专家19号,专家20号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,8,8,7,8,8,8,8,8,8,8
,理论联系实际，符合学生特点 10,9,9,9,9,8,10,10,10,9,8
,注重学术性与专业思想，内容充实 15,15,14,12,14,14,15,15,15,14,14
,重点突出，条理清楚，循序渐进 7,3,4,4,4,6,7,7,7,4,5
,反映新思想、新概念、新成果 5,4,9,5,9,4,5,5,5,9,5
教学组织  30,教学过程与时间安排合理 10,7,10,9,9,8,10,10,10,9,8
,教学设计完整，启发性强 12,10,10,10,11,11,12,12,12,10,11
,现代教学手段，板书设计 8,7,8,7,8,8,8,8,8,8,8
语言教态  15,普通话讲课，语言清晰流畅 6,4,6,3,6,5,6,6,5,6,5
,肢体语言运用合理恰当 5,4,4,4,4,5,5,5,5,4,5
,教态仪表自然得体，亲和力强 4,3,4,4,4,4,4,4,4,4,4
教学特色/整体评价  10,,6,9,8,9,8,9,8,10,9,8
,,,,,,,,,,,
,,,,,,,,,,,
教师6,,专家11号,专家12号,专家13号,专家14号,专家15号,专家16号,专家17号,专家18号,专家19号,专家20号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,8,8,8,8,8,8,8,8,7,8
,理论联系实际，符合学生特点 10,8,10,10,10,10,10,8,10,10,10
,注重学术性与专业思想，内容充实 15,15,15,15,15,15,15,14,15,15,15
,重点突出，条理清楚，循序渐进 7,6,7,7,7,7,7,5,7,7,7
,反映新思想、新概念、新成果 5,5,5,5,5,5,5,5,5,5,5
教学组织  30,教学过程与时间安排合理 10,8,10,10,10,10,10,8,10,10,9
,教学设计完整，启发性强 12,9,12,12,12,12,12,11,12,12,12
,现代教学手段，板书设计 8,8,8,8,8,8,8,8,8,8,8
语言教态  15,普通话讲课，语言清晰流畅 6,5,5,5,5,6,6,5,5,6,5
,肢体语言运用合理恰当 5,4,3,3,4,3,5,5,4,5,3
,教态仪表自然得体，亲和力强 4,3,4,4,4,4,4,3,4,4,4
教学特色/整体评价  10,,5,10,9,10,8,9,8,9,10,10
,,,,,,,,,,,
,,,,,,,,,,,
教师7,,专家11号,专家12号,专家13号,专家14号,专家15号,专家16号,专家17号,专家18号,专家19号,专家20号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,7,8,8,7,8,8,7,8,8,8
,理论联系实际，符合学生特点 10,9,8,8,9,10,8,9,8,10,9
,注重学术性与专业思想，内容充实 15,12,14,14,11,14,15,12,14,14,15
,重点突出，条理清楚，循序渐进 7,3,5,5,3,7,6,3,5,7,3
,反映新思想、新概念、新成果 5,4,5,5,4,5,5,4,5,5,4
教学组织  30,教学过程与时间安排合理 10,8,8,8,8,9,8,8,8,8,7
,教学设计完整，启发性强 12,5,11,11,5,12,9,5,11,12,9
,现代教学手段，板书设计 8,7,8,8,7,8,8,7,8,8,7
语言教态  15,普通话讲课，语言清晰流畅 6,4,5,4,4,5,5,4,4,5,4
,肢体语言运用合理恰当 5,4,5,5,4,3,4,4,5,3,4
,教态仪表自然得体，亲和力强 4,3,3,3,3,3,3,3,3,3,3
教学特色/整体评价  10,,7,9,8,6,9,6,8,7,9,7
,,,,,,,,,,,
,,,,,,,,,,,
教师8,,专家11号,专家12号,专家13号,专家14号,专家15号,专家16号,专家17号,专家18号,专家19号,专家20号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,7,8,8,7,8,8,8,7,8,8
,理论联系实际，符合学生特点 10,9,10,8,9,8,8,8,9,8,9
,注重学术性与专业思想，内容充实 15,12,14,14,12,14,14,13,12,14,14
,重点突出，条理清楚，循序渐进 7,3,7,5,3,5,5,6,3,5,5
,反映新思想、新概念、新成果 5,4,5,5,4,5,5,5,4,5,5
教学组织  30,教学过程与时间安排合理 10,8,9,8,8,8,8,8,8,8,8
,教学设计完整，启发性强 12,5,12,11,5,12,11,11,5,12,12
,现代教学手段，板书设计 8,6,8,7,7,7,7,7,7,7,7
语言教态  15,普通话讲课，语言清晰流畅 6,4,5,4,4,5,4,4,4,5,5
,肢体语言运用合理恰当 5,4,3,5,4,5,5,5,4,5,5
,教态仪表自然得体，亲和力强 4,3,3,3,3,3,3,3,3,3,3
教学特色/整体评价  10,,7,10,8,8,9,9,8,9,8,8
,,,,,,,,,,,
,,,,,,,,,,,
教师9,,专家11号,专家12号,专家13号,专家14号,专家15号,专家16号,专家17号,专家18号,专家19号,专家20号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,8,8,8,7,8,8,8,8,8,7
,理论联系实际，符合学生特点 10,9,9,10,9,10,8,10,9,10,10
,注重学术性与专业思想，内容充实 15,13,14,14,13,14,15,13,13,14,14
,重点突出，条理清楚，循序渐进 7,3,5,7,3,7,5,6,3,7,7
,反映新思想、新概念、新成果 5,4,5,5,4,5,5,5,4,5,5
教学组织  30,教学过程与时间安排合理 10,8,8,9,8,9,8,9,8,9,8
,教学设计完整，启发性强 12,5,12,12,5,11,12,12,5,10,12
,现代教学手段，板书设计 8,7,7,8,7,8,7,8,7,8,8
语言教态  15,普通话讲课，语言清晰流畅 6,4,5,5,4,5,5,5,4,5,5
,肢体语言运用合理恰当 5,4,5,3,4,3,5,3,4,3,3
,教态仪表自然得体，亲和力强 4,3,3,4,3,3,3,4,4,3,4
教学特色/整体评价  10,,9,9,9,8,9,8,9,10,8,9
,,,,,,,,,,,
,,,,,,,,,,,
教师10,,专家11号,专家12号,专家13号,专家14号,专家15号,专家16号,专家17号,专家18号,专家19号,专家20号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,6,8,8,7,8,8,8,8,8,8
,理论联系实际，符合学生特点 10,9,9,10,9,8,9,9,9,10,8
,注重学术性与专业思想，内容充实 15,13,14,13,13,13,14,14,14,13,13
,重点突出，条理清楚，循序渐进 7,3,5,6,3,6,5,5,3,6,6
,反映新思想、新概念、新成果 5,4,5,5,4,5,5,5,4,5,5
教学组织  30,教学过程与时间安排合理 10,8,8,9,7,8,8,8,7,9,8
,教学设计完整，启发性强 12,5,12,11,5,11,12,11,9,10,10
,现代教学手段，板书设计 8,6,7,8,7,7,6,7,7,8,7
语言教态  15,普通话讲课，语言清晰流畅 6,4,5,5,4,4,5,5,4,5,4
,肢体语言运用合理恰当 5,4,5,3,4,5,5,5,4,3,5
,教态仪表自然得体，亲和力强 4,3,3,3,3,3,3,3,3,3,3
教学特色/整体评价  10,,8,8,9,8,7,9,8,7,9,7
